😀	osinekile, ubuso obusinekile
👨🏻‍🔧	indoda, odayisayo, uhlobo-1-2, umakhenikha, umakhenikha wesilisa, umakhenikha wesilisa: uhlobo-1-2, umkhandi kagesi, uplamba
👨🏼‍🔧	indoda, odayisayo, uhlobo-3, umakhenikha, umakhenikha wesilisa, umakhenikha wesilisa: uhlobo-3, umkhandi kagesi, uplamba
👨🏽‍🔧	indoda, odayisayo, uhlobo-4, umakhenikha, umakhenikha wesilisa, umakhenikha wesilisa: uhlobo-4, umkhandi kagesi, uplamba
👨🏾‍🔧	indoda, odayisayo, uhlobo-5, umakhenikha, umakhenikha wesilisa, umakhenikha wesilisa: uhlobo-5, umkhandi kagesi, uplamba
👨🏿‍🔧	indoda, odayisayo, uhlobo-6, umakhenikha, umakhenikha wesilisa, umakhenikha wesilisa: uhlobo-6, umkhandi kagesi, uplamba
👩‍🔧	odayisayo, owesifazane, umakhenikha, umakhenikha wesimame, umkhandi kagesi, uplamba
👩🏻‍🔧	odayisayo, owesifazane, uhlobo-1-2, umakhenikha, umakhenikha wesimame, umakhenikha wesimame: uhlobo-1-2, umkhandi kagesi, uplamba
👩🏼‍🔧	odayisayo, owesifazane, uhlobo-3, umakhenikha, umakhenikha wesimame, umakhenikha wesimame: uhlobo-3, umkhandi kagesi, uplamba
👩🏽‍🔧	odayisayo, owesifazane, uhlobo-4, umakhenikha, umakhenikha wesimame, umakhenikha wesimame: uhlobo-4, umkhandi kagesi, uplamba
👩🏾‍🔧	odayisayo, owesifazane, uhlobo-5, umakhenikha, umakhenikha wesimame, umakhenikha wesimame: uhlobo-5, umkhandi kagesi, uplamba
👩🏿‍🔧	odayisayo, owesifazane, uhlobo-6, umakhenikha, umakhenikha wesimame, umakhenikha wesimame: uhlobo-6, umkhandi kagesi, uplamba
👨‍🏭	ifemu, owesilisa, ukuhlangana, umsebenzi, umsebenzi wasefemini wesilisa
👨🏻‍🏭	ifemu, owesilisa, uhlobo-1-2, ukuhlangana, umsebenzi, umsebenzi wasefemini wesilisa, umsebenzi wasefemini wesilisa: uhlobo-1-2
👨🏼‍🏭	ifemu, owesilisa, uhlobo-3, ukuhlangana, umsebenzi, umsebenzi wasefemini wesilisa, umsebenzi wasefemini wesilisa: uhlobo-3
👨🏽‍🏭	ifemu, owesilisa, uhlobo-4, ukuhlangana, umsebenzi, umsebenzi wasefemini wesilisa, umsebenzi wasefemini wesilisa: uhlobo-4
👨🏾‍🏭	ifemu, owesilisa, uhlobo-5, ukuhlangana, umsebenzi, umsebenzi wasefemini wesilisa, umsebenzi wasefemini wesilisa: uhlobo-5
👨🏿‍🏭	ifemu, owesilisa, uhlobo-6, ukuhlangana, umsebenzi, umsebenzi wasefemini wesilisa, umsebenzi wasefemini wesilisa: uhlobo-6
👩‍🏭	ifemu, owesifazane, ukuhlangana, umsebenzi, umsebenzi wasefemini wesifazane
👩🏻‍🏭	ifemu, owesifazane, uhlobo-1-2, ukuhlangana, umsebenzi, umsebenzi wasefemini wesifazane, umsebenzi wasefemini wesifazane: uhlobo-1-2
👩🏼‍🏭	ifemu, owesifazane, uhlobo-3, ukuhlangana, umsebenzi, umsebenzi wasefemini wesifazane, umsebenzi wasefemini wesifazane: uhlobo-3
👩🏽‍🏭	ifemu, owesifazane, uhlobo-4, ukuhlangana, umsebenzi, umsebenzi wasefemini wesifazane, umsebenzi wasefemini wesifazane: uhlobo-4
👩🏾‍🏭	ifemu, owesifazane, uhlobo-5, ukuhlangana, umsebenzi, umsebenzi wasefemini wesifazane, umsebenzi wasefemini wesifazane: uhlobo-5
👩🏿‍🏭	ifemu, owesifazane, uhlobo-6, ukuhlangana, umsebenzi, umsebenzi wasefemini wesifazane, umsebenzi wasefemini wesifazane: uhlobo-6
👨‍💼	ihhovisi, indoda, osebenza kahle, umphathi, umsebenzi wasehhovisi wesilisa, usomabhizinisi
👨🏻‍💼	ihhovisi, indoda, osebenza kahle, uhlobo-1-2, umphathi, umsebenzi wasehhovisi wesilisa, umsebenzi wasehhovisi wesilisa: uhlobo-1-2, usomabhizinisi
👨🏼‍💼	ihhovisi, indoda, osebenza kahle, uhlobo-3, umphathi, umsebenzi wasehhovisi wesilisa, umsebenzi wasehhovisi wesilisa: uhlobo-3, usomabhizinisi
👨🏽‍💼	ihhovisi, indoda, osebenza kahle, uhlobo-4, umphathi, umsebenzi wasehhovisi wesilisa, umsebenzi wasehhovisi wesilisa: uhlobo-4, usomabhizinisi
👨🏾‍💼	ihhovisi, indoda, osebenza kahle, uhlobo-5, umphathi, umsebenzi wasehhovisi wesilisa, umsebenzi wasehhovisi wesilisa: uhlobo-5, usomabhizinisi
👨🏿‍💼	ihhovisi, indoda, osebenza kahle, uhlobo-6, umphathi, umsebenzi wasehhovisi wesilisa, umsebenzi wasehhovisi wesilisa: uhlobo-6, usomabhizinisi
👩‍💼	ihhovisi, osebenza kahle, owesifazane, umphathi, umsebenzi wasehhovisi wesifazane, usomabhizinisi
👩🏻‍💼	ihhovisi, osebenza kahle, owesifazane, uhlobo-1-2, umphathi, umsebenzi wasehhovisi wesifazane, umsebenzi wasehhovisi wesifazane: uhlobo-1-2, usomabhizinisi
👩🏼‍💼	ihhovisi, osebenza kahle, owesifazane, uhlobo-3, umphathi, umsebenzi wasehhovisi wesifazane, umsebenzi wasehhovisi wesifazane: uhlobo-3, usomabhizinisi
👩🏽‍💼	ihhovisi, osebenza kahle, owesifazane, uhlobo-4, umphathi, umsebenzi wasehhovisi wesifazane, umsebenzi wasehhovisi wesifazane: uhlobo-4, usomabhizinisi
👩🏾‍💼	ihhovisi, osebenza kahle, owesifazane, uhlobo-5, umphathi, umsebenzi wasehhovisi wesifazane, umsebenzi wasehhovisi wesifazane: uhlobo-5, usomabhizinisi
👩🏿‍💼	ihhovisi, osebenza kahle, owesifazane, uhlobo-6, umphathi, umsebenzi wasehhovisi wesifazane, umsebenzi wasehhovisi wesifazane: uhlobo-6, usomabhizinisi
👨‍🔬	indoda, unjiniyela, usokhemesi, usosayensi, usosayensi wesilisa
👨🏻‍🔬	indoda, uhlobo-1-2, unjiniyela, usokhemesi, usosayensi, usosayensi wesilisa, usosayensi wesilisa: uhlobo-1-2
👨🏼‍🔬	indoda, uhlobo-3, unjiniyela, usokhemesi, usosayensi, usosayensi wesilisa, usosayensi wesilisa: uhlobo-3
👨🏽‍🔬	indoda, uhlobo-4, unjiniyela, usokhemesi, usosayensi, usosayensi wesilisa, usosayensi wesilisa: uhlobo-4
👨🏾‍🔬	indoda, uhlobo-5, unjiniyela, usokhemesi, usosayensi, usosayensi wesilisa, usosayensi wesilisa: uhlobo-5
👨🏿‍🔬	indoda, uhlobo-6, unjiniyela, usokhemesi, usosayensi, usosayensi wesilisa, usosayensi wesilisa: uhlobo-6
👩‍🔬	owesifazane, unjiniyela, usokhemesi, usosayensi, usosayensi wesifazane
👩🏻‍🔬	owesifazane, uhlobo-1-2, unjiniyela, usokhemesi, usosayensi, usosayensi wesifazane, usosayensi wesifazane: uhlobo-1-2
👩🏼‍🔬	owesifazane, uhlobo-3, unjiniyela, usokhemesi, usosayensi, usosayensi wesifazane, usosayensi wesifazane: uhlobo-3
👩🏽‍🔬	owesifazane, uhlobo-4, unjiniyela, usokhemesi, usosayensi, usosayensi wesifazane, usosayensi wesifazane: uhlobo-4
👩🏾‍🔬	owesifazane, uhlobo-5, unjiniyela, usokhemesi, usosayensi, usosayensi wesifazane, usosayensi wesifazane: uhlobo-5
👩🏿‍🔬	owesifazane, uhlobo-6, unjiniyela, usokhemesi, usosayensi, usosayensi wesifazane, usosayensi wesifazane: uhlobo-6
👨‍💻	indoda, isoftiwe, uchwepheshe, umsunguli, usochwepheshe wendoda
👨🏻‍💻	indoda, isoftiwe, uchwepheshe, uhlobo-1-2, umsunguli, usochwepheshe wendoda, usochwepheshe wendoda: uhlobo-1-2
👨🏼‍💻	indoda, isoftiwe, uchwepheshe, uhlobo-3, umsunguli, usochwepheshe wendoda, usochwepheshe wendoda: uhlobo-3
👨🏽‍💻	indoda, isoftiwe, uchwepheshe, uhlobo-4, umsunguli, usochwepheshe wendoda, usochwepheshe wendoda: uhlobo-4
👨🏾‍💻	indoda, isoftiwe, uchwepheshe, uhlobo-5, umsunguli, usochwepheshe wendoda, usochwepheshe wendoda: uhlobo-5
👨🏿‍💻	indoda, isoftiwe, uchwepheshe, uhlobo-6, umsunguli, usochwepheshe wendoda, usochwepheshe wendoda: uhlobo-6
👩‍💻	isoftiwe, owesifazane, uchwepheshe, umsunguli, usochwepheshe wesifazane
👩🏻‍💻	isoftiwe, owesifazane, uchwepheshe, uhlobo-1-2, umsunguli, usochwepheshe wesifazane, usochwepheshe wesifazane: uhlobo-1-2
👩🏼‍💻	isoftiwe, owesifazane, uchwepheshe, uhlobo-3, umsunguli, usochwepheshe wesifazane, usochwepheshe wesifazane: uhlobo-3
👩🏽‍💻	isoftiwe, owesifazane, uchwepheshe, uhlobo-4, umsunguli, usochwepheshe wesifazane, usochwepheshe wesifazane: uhlobo-4
👩🏾‍💻	isoftiwe, owesifazane, uchwepheshe, uhlobo-5, umsunguli, usochwepheshe wesifazane, usochwepheshe wesifazane: uhlobo-5
👩🏿‍💻	isoftiwe, owesifazane, uchwepheshe, uhlobo-6, umsunguli, usochwepheshe wesifazane, usochwepheshe wesifazane: uhlobo-6
👨‍🎤	isilomo, owesilisa, umculi, umculi wesilisa, umlingisi
👨🏻‍🎤	isilomo, owesilisa, uhlobo-1-2, umculi, umculi wesilisa, umculi wesilisa: uhlobo-1-2, umlingisi
👨🏼‍🎤	isilomo, owesilisa, uhlobo-3, umculi, umculi wesilisa, umculi wesilisa: uhlobo-3, umlingisi
👨🏽‍🎤	isilomo, owesilisa, uhlobo-4, umculi, umculi wesilisa, umculi wesilisa: uhlobo-4, umlingisi
👨🏾‍🎤	isilomo, owesilisa, uhlobo-5, umculi, umculi wesilisa, umculi wesilisa: uhlobo-5, umlingisi
👨🏿‍🎤	isilomo, owesilisa, uhlobo-6, umculi, umculi wesilisa, umculi wesilisa: uhlobo-6, umlingisi
👩‍🎤	isilomo, owesifazane, umculi, umculi wesimame, umlingisi
👩🏻‍🎤	isilomo, owesifazane, uhlobo-1-2, umculi, umculi wesimame, umculi wesimame: uhlobo-1-2, umlingisi
👩🏼‍🎤	isilomo, owesifazane, uhlobo-3, umculi, umculi wesimame, umculi wesimame: uhlobo-3, umlingisi
👩🏽‍🎤	isilomo, owesifazane, uhlobo-4, umculi, umculi wesimame, umculi wesimame: uhlobo-4, umlingisi
👩🏾‍🎤	isilomo, owesifazane, uhlobo-5, umculi, umculi wesimame, umculi wesimame: uhlobo-5, umlingisi
👩🏿‍🎤	isilomo, owesifazane, uhlobo-6, umculi, umculi wesimame, umculi wesimame: uhlobo-6, umlingisi
👨‍🎨	indoda, owesilisa, umdwebi, umdwebi wesilisa
👨🏻‍🎨	indoda, owesilisa, uhlobo-1-2, umdwebi, umdwebi wesilisa, umdwebi wesilisa: uhlobo-1-2
👨🏼‍🎨	indoda, owesilisa, uhlobo-3, umdwebi, umdwebi wesilisa, umdwebi wesilisa: uhlobo-3
👨🏽‍🎨	indoda, owesilisa, uhlobo-4, umdwebi, umdwebi wesilisa, umdwebi wesilisa: uhlobo-4
👨🏾‍🎨	indoda, owesilisa, uhlobo-5, umdwebi, umdwebi wesilisa, umdwebi wesilisa: uhlobo-5
👨🏿‍🎨	indoda, owesilisa, uhlobo-6, umdwebi, umdwebi wesilisa, umdwebi wesilisa: uhlobo-6
👩‍🎨	owesimame, umama, umdwebi, umdwebi wesimame
👩🏻‍🎨	owesimame, uhlobo-1-2, umama, umdwebi, umdwebi wesimame, umdwebi wesimame: uhlobo-1-2
👩🏼‍🎨	owesimame, uhlobo-3, umama, umdwebi, umdwebi wesimame, umdwebi wesimame: uhlobo-3
👩🏽‍🎨	owesimame, uhlobo-4, umama, umdwebi, umdwebi wesimame, umdwebi wesimame: uhlobo-4
👩🏾‍🎨	owesimame, uhlobo-5, umama, umdwebi, umdwebi wesimame, umdwebi wesimame: uhlobo-5
👩🏿‍🎨	owesimame, uhlobo-6, umama, umdwebi, umdwebi wesimame, umdwebi wesimame: uhlobo-6
👨‍✈	ibhanoyi, indoda, umqhubi webhanoyi wesilisa
👨🏻‍✈	ibhanoyi, indoda, uhlobo-1-2, umqhubi webhanoyi wesilisa, umqhubi webhanoyi wesilisa: uhlobo-1-2
👨🏼‍✈	ibhanoyi, indoda, uhlobo-3, umqhubi webhanoyi wesilisa, umqhubi webhanoyi wesilisa: uhlobo-3
👨🏽‍✈	ibhanoyi, indoda, uhlobo-4, umqhubi webhanoyi wesilisa, umqhubi webhanoyi wesilisa: uhlobo-4
👨🏾‍✈	ibhanoyi, indoda, uhlobo-5, umqhubi webhanoyi wesilisa, umqhubi webhanoyi wesilisa: uhlobo-5
👨🏿‍✈	ibhanoyi, indoda, uhlobo-6, umqhubi webhanoyi wesilisa, umqhubi webhanoyi wesilisa: uhlobo-6
👩‍✈	ibhanoyi, owesifazane, umqhubi webhanoyi wesifazane
👩🏻‍✈	ibhanoyi, owesifazane, uhlobo-1-2, umqhubi webhanoyi wesifazane, umqhubi webhanoyi wesifazane: uhlobo-1-2
👩🏼‍✈	ibhanoyi, owesifazane, uhlobo-3, umqhubi webhanoyi wesifazane, umqhubi webhanoyi wesifazane: uhlobo-3
👩🏽‍✈	ibhanoyi, owesifazane, uhlobo-4, umqhubi webhanoyi wesifazane, umqhubi webhanoyi wesifazane: uhlobo-4
👩🏾‍✈	ibhanoyi, owesifazane, uhlobo-5, umqhubi webhanoyi wesifazane, umqhubi webhanoyi wesifazane: uhlobo-5
👩🏿‍✈	ibhanoyi, owesifazane, uhlobo-6, umqhubi webhanoyi wesifazane, umqhubi webhanoyi wesifazane: uhlobo-6
👨‍🚀	i-astronaut, i-astronaut yesilisa, indoda, irokhethi, omunye umhlaba
👨🏻‍🚀	i-astronaut, i-astronaut yesilisa, i-astronaut yesilisa: uhlobo-1-2, indoda, irokhethi, omunye umhlaba, uhlobo-1-2
👨🏼‍🚀	i-astronaut, i-astronaut yesilisa, i-astronaut yesilisa: uhlobo-3, indoda, irokhethi, omunye umhlaba, uhlobo-3
👨🏽‍🚀	i-astronaut, i-astronaut yesilisa, i-astronaut yesilisa: uhlobo-4, indoda, irokhethi, omunye umhlaba, uhlobo-4
👨🏾‍🚀	i-astronaut, i-astronaut yesilisa, i-astronaut yesilisa: uhlobo-5, indoda, irokhethi, omunye umhlaba, uhlobo-5
👨🏿‍🚀	i-astronaut, i-astronaut yesilisa, i-astronaut yesilisa: uhlobo-6, indoda, irokhethi, omunye umhlaba, uhlobo-6
👩‍🚀	i-astronaut, i-astronaut yesifazane, irokhethi, omunye umhlaba, owesifazane
👩🏻‍🚀	i-astronaut, i-astronaut yesifazane, i-astronaut yesifazane: uhlobo-1-2, irokhethi, omunye umhlaba, owesifazane, uhlobo-1-2
👩🏼‍🚀	i-astronaut, i-astronaut yesifazane, i-astronaut yesifazane: uhlobo-3, irokhethi, omunye umhlaba, owesifazane, uhlobo-3
👩🏽‍🚀	i-astronaut, i-astronaut yesifazane, i-astronaut yesifazane: uhlobo-4, irokhethi, omunye umhlaba, owesifazane, uhlobo-4
👩🏾‍🚀	i-astronaut, i-astronaut yesifazane, i-astronaut yesifazane: uhlobo-5, irokhethi, omunye umhlaba, owesifazane, uhlobo-5
👩🏿‍🚀	i-astronaut, i-astronaut yesifazane, i-astronaut yesifazane: uhlobo-6, irokhethi, omunye umhlaba, owesifazane, uhlobo-6
👨‍🚒	iloli lezicishamlilo, indoda, isicishamlilo, isicishamlilo sesilisa
👨🏻‍🚒	iloli lezicishamlilo, indoda, isicishamlilo, isicishamlilo sesilisa, isicishamlilo sesilisa: uhlobo-1-2, uhlobo-1-2
👨🏼‍🚒	iloli lezicishamlilo, indoda, isicishamlilo, isicishamlilo sesilisa, isicishamlilo sesilisa: uhlobo-3, uhlobo-3
👨🏽‍🚒	iloli lezicishamlilo, indoda, isicishamlilo, isicishamlilo sesilisa, isicishamlilo sesilisa: uhlobo-4, uhlobo-4
👨🏾‍🚒	iloli lezicishamlilo, indoda, isicishamlilo, isicishamlilo sesilisa, isicishamlilo sesilisa: uhlobo-5, uhlobo-5
👨🏿‍🚒	iloli lezicishamlilo, indoda, isicishamlilo, isicishamlilo sesilisa, isicishamlilo sesilisa: uhlobo-6, uhlobo-6
👩‍🚒	iloli lezicishamlilo, isicishamlilo, isicishamlilo sowesifazane, owesifazane
👩🏻‍🚒	iloli lezicishamlilo, isicishamlilo, isicishamlilo sowesifazane, isicishamlilo sowesifazane: uhlobo-1-2, owesifazane, uhlobo-1-2
👩🏼‍🚒	iloli lezicishamlilo, isicishamlilo, isicishamlilo sowesifazane, isicishamlilo sowesifazane: uhlobo-3, owesifazane, uhlobo-3
👩🏽‍🚒	iloli lezicishamlilo, isicishamlilo, isicishamlilo sowesifazane, isicishamlilo sowesifazane: uhlobo-4, owesifazane, uhlobo-4
👩🏾‍🚒	iloli lezicishamlilo, isicishamlilo, isicishamlilo sowesifazane, isicishamlilo sowesifazane: uhlobo-5, owesifazane, uhlobo-5
👩🏿‍🚒	iloli lezicishamlilo, isicishamlilo, isicishamlilo sowesifazane, isicishamlilo sowesifazane: uhlobo-6, owesifazane, uhlobo-6
👮	iphoyisa
👮🏻	iphoyisa, iphoyisa: uhlobo-1-2, uhlobo-1-2
👮🏼	iphoyisa, iphoyisa: uhlobo-3, uhlobo-3
👮🏽	iphoyisa, iphoyisa: uhlobo-4, uhlobo-4
👮🏾	iphoyisa, iphoyisa: uhlobo-5, uhlobo-5
👮🏿	iphoyisa, iphoyisa: uhlobo-6, uhlobo-6
👮‍♂	indoda, iphoyisa, iphoyisa lesilisa
👮🏻‍♂	indoda, iphoyisa, iphoyisa lesilisa, iphoyisa lesilisa: uhlobo-1-2, uhlobo-1-2
👮🏼‍♂	indoda, iphoyisa, iphoyisa lesilisa, iphoyisa lesilisa: uhlobo-3, uhlobo-3
👮🏽‍♂	indoda, iphoyisa, iphoyisa lesilisa, iphoyisa lesilisa: uhlobo-4, uhlobo-4
👮🏾‍♂	indoda, iphoyisa, iphoyisa lesilisa, iphoyisa lesilisa: uhlobo-5, uhlobo-5
👮🏿‍♂	indoda, iphoyisa, iphoyisa lesilisa, iphoyisa lesilisa: uhlobo-6, uhlobo-6
👮‍♀	iphoyisa, iphoyisa lesifazane, owesifazane
👮🏻‍♀	iphoyisa, iphoyisa lesifazane, iphoyisa lesifazane: uhlobo-1-2, owesifazane, uhlobo-1-2
👮🏼‍♀	iphoyisa, iphoyisa lesifazane, iphoyisa lesifazane: uhlobo-3, owesifazane, uhlobo-3
👮🏽‍♀	iphoyisa, iphoyisa lesifazane, iphoyisa lesifazane: uhlobo-4, owesifazane, uhlobo-4
👮🏾‍♀	iphoyisa, iphoyisa lesifazane, iphoyisa lesifazane: uhlobo-5, owesifazane, uhlobo-5
👮🏿‍♀	iphoyisa, iphoyisa lesifazane, iphoyisa lesifazane: uhlobo-6, owesifazane, uhlobo-6
🕵️	impimpi, umpheyi, umseshi
🕵🏻	impimpi, uhlobo-1-2, umpheyi, umseshi, umseshi: uhlobo-1-2
🕵🏼	impimpi, uhlobo-3, umpheyi, umseshi, umseshi: uhlobo-3
🕵🏽	impimpi, uhlobo-4, umpheyi, umseshi, umseshi: uhlobo-4
🕵🏾	impimpi, uhlobo-5, umpheyi, umseshi, umseshi: uhlobo-5
🕵🏿	impimpi, uhlobo-6, umpheyi, umseshi, umseshi: uhlobo-6
🕵‍♂	impimpi, indoda, umphenyi, umseshi, umseshi wesilisa
🕵🏻‍♂	impimpi, indoda, uhlobo-1-2, umphenyi, umseshi, umseshi wesilisa, umseshi wesilisa: uhlobo-1-2
🕵🏼‍♂	impimpi, indoda, uhlobo-3, umphenyi, umseshi, umseshi wesilisa, umseshi wesilisa: uhlobo-3
🕵🏽‍♂	impimpi, indoda, uhlobo-4, umphenyi, umseshi, umseshi wesilisa, umseshi wesilisa: uhlobo-4
🕵🏾‍♂	impimpi, indoda, uhlobo-5, umphenyi, umseshi, umseshi wesilisa, umseshi wesilisa: uhlobo-5
🕵🏿‍♂	impimpi, indoda, uhlobo-6, umphenyi, umseshi, umseshi wesilisa, umseshi wesilisa: uhlobo-6
🕵‍♀	impimpi, owesifazane, umphenyi, umseshi, umseshi wesifazane
🕵🏻‍♀	impimpi, owesifazane, uhlobo-1-2, umphenyi, umseshi, umseshi wesifazane, umseshi wesifazane: uhlobo-1-2
🕵🏼‍♀	impimpi, owesifazane, uhlobo-3, umphenyi, umseshi, umseshi wesifazane, umseshi wesifazane: uhlobo-3
🕵🏽‍♀	impimpi, owesifazane, uhlobo-4, umphenyi, umseshi, umseshi wesifazane, umseshi wesifazane: uhlobo-4
🕵🏾‍♀	impimpi, owesifazane, uhlobo-5, umphenyi, umseshi, umseshi wesifazane, umseshi wesifazane: uhlobo-5
🕵🏿‍♀	impimpi, owesifazane, uhlobo-6, umphenyi, umseshi, umseshi wesifazane, umseshi wesifazane: uhlobo-6
💂	unogada
💂🏻	uhlobo-1-2, unogada, unogada: uhlobo-1-2
💂🏼	uhlobo-3, unogada, unogada: uhlobo-3
💂🏽	uhlobo-4, unogada, unogada: uhlobo-4
💂🏾	uhlobo-5, unogada, unogada: uhlobo-5
💂🏿	uhlobo-6, unogada, unogada: uhlobo-6
💂‍♂	indoda, unogada, unogada wesilisa
💂🏻‍♂	indoda, uhlobo-1-2, unogada, unogada wesilisa, unogada wesilisa: uhlobo-1-2
💂🏼‍♂	indoda, uhlobo-3, unogada, unogada wesilisa, unogada wesilisa: uhlobo-3
💂🏽‍♂	indoda, uhlobo-4, unogada, unogada wesilisa, unogada wesilisa: uhlobo-4
💂🏾‍♂	indoda, uhlobo-5, unogada, unogada wesilisa, unogada wesilisa: uhlobo-5
💂🏿‍♂	indoda, uhlobo-6, unogada, unogada wesilisa, unogada wesilisa: uhlobo-6
💂‍♀	owesifazane, unogada, unogada wesifazane
💂🏻‍♀	owesifazane, uhlobo-1-2, unogada, unogada wesifazane, unogada wesifazane: uhlobo-1-2
💂🏼‍♀	owesifazane, uhlobo-3, unogada, unogada wesifazane, unogada wesifazane: uhlobo-3
💂🏽‍♀	owesifazane, uhlobo-4, unogada, unogada wesifazane, unogada wesifazane: uhlobo-4
💂🏾‍♀	owesifazane, uhlobo-5, unogada, unogada wesifazane, unogada wesifazane: uhlobo-5
💂🏿‍♀	owesifazane, uhlobo-6, unogada, unogada wesifazane, unogada wesifazane: uhlobo-6
👷	inkontileka, isigqoko, owesifazane, umsebenzi wenkontileka
👷🏻	inkontileka, isigqoko, owesifazane, uhlobo-1-2, umsebenzi wenkontileka, umsebenzi wenkontileka: uhlobo-1-2
👷🏼	inkontileka, isigqoko, owesifazane, uhlobo-3, umsebenzi wenkontileka, umsebenzi wenkontileka: uhlobo-3
👷🏽	inkontileka, isigqoko, owesifazane, uhlobo-4, umsebenzi wenkontileka, umsebenzi wenkontileka: uhlobo-4
👷🏾	inkontileka, isigqoko, owesifazane, uhlobo-5, umsebenzi wenkontileka, umsebenzi wenkontileka: uhlobo-5
👷🏿	inkontileka, isigqoko, owesifazane, uhlobo-6, umsebenzi wenkontileka, umsebenzi wenkontileka: uhlobo-6
👷‍♂	indoda, inkontileka, umsebenzi, umsebenzi wenkontileka wesilisa
👷🏻‍♂	indoda, inkontileka, uhlobo-1-2, umsebenzi, umsebenzi wenkontileka wesilisa, umsebenzi wenkontileka wesilisa: uhlobo-1-2
👷🏼‍♂	indoda, inkontileka, uhlobo-3, umsebenzi, umsebenzi wenkontileka wesilisa, umsebenzi wenkontileka wesilisa: uhlobo-3
👷🏽‍♂	indoda, inkontileka, uhlobo-4, umsebenzi, umsebenzi wenkontileka wesilisa, umsebenzi wenkontileka wesilisa: uhlobo-4
👷🏾‍♂	indoda, inkontileka, uhlobo-5, umsebenzi, umsebenzi wenkontileka wesilisa, umsebenzi wenkontileka wesilisa: uhlobo-5
👷🏿‍♂	indoda, inkontileka, uhlobo-6, umsebenzi, umsebenzi wenkontileka wesilisa, umsebenzi wenkontileka wesilisa: uhlobo-6
👷‍♀	inkontileka, owesifazane, umsebenzi, umsebenzi wenkontileka wesifazane
👷🏻‍♀	inkontileka, owesifazane, uhlobo-1-2, umsebenzi, umsebenzi wenkontileka wesifazane, umsebenzi wenkontileka wesifazane: uhlobo-1-2
👷🏼‍♀	inkontileka, owesifazane, uhlobo-3, umsebenzi, umsebenzi wenkontileka wesifazane, umsebenzi wenkontileka wesifazane: uhlobo-3
👷🏽‍♀	inkontileka, owesifazane, uhlobo-4, umsebenzi, umsebenzi wenkontileka wesifazane, umsebenzi wenkontileka wesifazane: uhlobo-4
👷🏾‍♀	inkontileka, owesifazane, uhlobo-5, umsebenzi, umsebenzi wenkontileka wesifazane, umsebenzi wenkontileka wesifazane: uhlobo-5
👷🏿‍♀	inkontileka, owesifazane, uhlobo-6, umsebenzi, umsebenzi wenkontileka wesifazane, umsebenzi wenkontileka wesifazane: uhlobo-6
🤴	inkosana
🤴🏻	inkosana, inkosana: uhlobo-1-2, uhlobo-1-2
🤴🏼	inkosana, inkosana: uhlobo-3, uhlobo-3
🤴🏽	inkosana, inkosana: uhlobo-4, uhlobo-4
🤴🏾	inkosana, inkosana: uhlobo-5, uhlobo-5
🤴🏿	inkosana, inkosana: uhlobo-6, uhlobo-6
👸	inkosazane, insumansumane
👸🏻	inkosazane, inkosazane: uhlobo-1-2, insumansumane, uhlobo-1-2
👸🏼	inkosazane, inkosazane: uhlobo-3, insumansumane, uhlobo-3
👸🏽	inkosazane, inkosazane: uhlobo-4, insumansumane, uhlobo-4
👸🏾	inkosazane, inkosazane: uhlobo-5, insumansumane, uhlobo-5
👸🏿	inkosazane, inkosazane: uhlobo-6, insumansumane, uhlobo-6
👳	ithalibhani, umuntu ogqoke ithalibhani
👳🏻	ithalibhani, uhlobo-1-2, umuntu ogqoke ithalibhani, umuntu ogqoke ithalibhani: uhlobo-1-2
👳🏼	ithalibhani, uhlobo-3, umuntu ogqoke ithalibhani, umuntu ogqoke ithalibhani: uhlobo-3
👳🏽	ithalibhani, uhlobo-4, umuntu ogqoke ithalibhani, umuntu ogqoke ithalibhani: uhlobo-4
👳🏾	ithalibhani, uhlobo-5, umuntu ogqoke ithalibhani, umuntu ogqoke ithalibhani: uhlobo-5
👳🏿	ithalibhani, uhlobo-6, umuntu ogqoke ithalibhani, umuntu ogqoke ithalibhani: uhlobo-6
👳‍♂	indoda, indoda egqoke ithalibhani, ithalibhani
👳🏻‍♂	indoda, indoda egqoke ithalibhani, indoda egqoke ithalibhani: uhlobo-1-2, ithalibhani, uhlobo-1-2
