😀	gülmək, gülən üz, üz
👨‍🎤	aktyor, estrada artisti, kişi, kişi müğənni, müğənni, rok, ulduz
👨🏻‍🎤	aktyor, açıq dəri tonu, estrada artisti, kişi, kişi müğənni: açıq dəri tonu, müğənni, rok, ulduz
👨🏼‍🎤	aktyor, estrada artisti, kişi, kişi müğənni: orta-açıq dəri tonu, müğənni, orta-açıq dəri tonu, rok, ulduz
👨🏽‍🎤	aktyor, estrada artisti, kişi, kişi müğənni: orta dəri tonu, müğənni, orta dəri tonu, rok, ulduz
👨🏾‍🎤	aktyor, estrada artisti, kişi, kişi müğənni: orta-tünd dəri tonu, müğənni, orta-tünd dəri tonu, rok, ulduz
👨🏿‍🎤	aktyor, estrada artisti, kişi, kişi müğənni: tünd dəri tonu, müğənni, rok, tünd dəri tonu, ulduz
👩‍🎤	aktyor, estrada artisti, müğənni, qadın, qadın müğənni, rok, ulduz
👩🏻‍🎤	aktyor, açıq dəri tonu, estrada artisti, müğənni, qadın, qadın müğənni: açıq dəri tonu, rok, ulduz
👩🏼‍🎤	aktyor, estrada artisti, müğənni, orta-açıq dəri tonu, qadın, qadın müğənni: orta-açıq dəri tonu, rok, ulduz
👩🏽‍🎤	aktyor, estrada artisti, müğənni, orta dəri tonu, qadın, qadın müğənni: orta dəri tonu, rok, ulduz
👩🏾‍🎤	aktyor, estrada artisti, müğənni, orta-tünd dəri tonu, qadın, qadın müğənni: orta-tünd dəri tonu, rok, ulduz
👩🏿‍🎤	aktyor, estrada artisti, müğənni, qadın, qadın müğənni: tünd dəri tonu, rok, tünd dəri tonu, ulduz
👨‍🎨	kişi, kişi rəssam, palitra, rəssam
👨🏻‍🎨	açıq dəri tonu, kişi, kişi rəssam: açıq dəri tonu, palitra, rəssam
👨🏼‍🎨	kişi, kişi rəssam: orta-açıq dəri tonu, orta-açıq dəri tonu, palitra, rəssam
👨🏽‍🎨	kişi, kişi rəssam: orta dəri tonu, orta dəri tonu, palitra, rəssam
👨🏾‍🎨	kişi, kişi rəssam: orta-tünd dəri tonu, orta-tünd dəri tonu, palitra, rəssam
👨🏿‍🎨	kişi, kişi rəssam: tünd dəri tonu, palitra, rəssam, tünd dəri tonu
👩‍🎨	palitra, qadın, qadın rəssam, rəssam
👩🏻‍🎨	açıq dəri tonu, palitra, qadın, qadın rəssam: açıq dəri tonu, rəssam
👩🏼‍🎨	orta-açıq dəri tonu, palitra, qadın, qadın rəssam: orta-açıq dəri tonu, rəssam
👩🏽‍🎨	orta dəri tonu, palitra, qadın, qadın rəssam: orta dəri tonu, rəssam
👩🏾‍🎨	orta-tünd dəri tonu, palitra, qadın, qadın rəssam: orta-tünd dəri tonu, rəssam
👩🏿‍🎨	palitra, qadın, qadın rəssam: tünd dəri tonu, rəssam, tünd dəri tonu
👨‍✈	kişi, kişi pilot, pilot, təyyarə
👨🏻‍✈	açıq dəri tonu, kişi, kişi pilot: açıq dəri tonu, pilot, təyyarə
👨🏼‍✈	kişi, kişi pilot: orta-açıq dəri tonu, orta-açıq dəri tonu, pilot, təyyarə
👨🏽‍✈	kişi, kişi pilot: orta dəri tonu, orta dəri tonu, pilot, təyyarə
👨🏾‍✈	kişi, kişi pilot: orta-tünd dəri tonu, orta-tünd dəri tonu, pilot, təyyarə
👨🏿‍✈	kişi, kişi pilot: tünd dəri tonu, pilot, tünd dəri tonu, təyyarə
👩‍✈	pilot təyyarə, qadın, qadın pilot
👩🏻‍✈	açıq dəri tonu, pilot təyyarə, qadın, qadın pilot, qadın pilot: açıq dəri tonu
👩🏼‍✈	orta-açıq dəri tonu, pilot təyyarə, qadın, qadın pilot, qadın pilot: orta-açıq dəri tonu
👩🏽‍✈	orta dəri tonu, pilot təyyarə, qadın, qadın pilot, qadın pilot: orta dəri tonu
👩🏾‍✈	orta-tünd dəri tonu, pilot təyyarə, qadın, qadın pilot, qadın pilot: orta-tünd dəri tonu
👩🏿‍✈	pilot təyyarə, qadın, qadın pilot, qadın pilot: tünd dəri tonu, tünd dəri tonu
👨‍🚀	astronavt, kişi, kişi astronavt, kosmos, raket
👨🏻‍🚀	astronavt, açıq dəri tonu, kişi, kişi astronavt: açıq dəri tonu, kosmos, raket
👨🏼‍🚀	astronavt, kişi, kişi astronavt: orta-açıq dəri tonu, kosmos, orta-açıq dəri tonu, raket
👨🏽‍🚀	astronavt, kişi, kişi astronavt: orta dəri tonu, kosmos, orta dəri tonu, raket
👨🏾‍🚀	astronavt, kişi, kişi astronavt: orta-tünd dəri tonu, kosmos, orta-tünd dəri tonu, raket
👨🏿‍🚀	astronavt, kişi, kişi astronavt: tünd dəri tonu, kosmos, raket, tünd dəri tonu
👩‍🚀	astronavt, kosmos, qadın, qadın astronavt, raket
👩🏻‍🚀	astronavt, açıq dəri tonu, kosmos, qadın, qadın astronavt: açıq dəri tonu, raket
👩🏼‍🚀	astronavt, kosmos, orta-açıq dəri tonu, qadın, qadın astronavt: orta-açıq dəri tonu, raket
👩🏽‍🚀	astronavt, kosmos, orta dəri tonu, qadın, qadın astronavt: orta dəri tonu, raket
👩🏾‍🚀	astronavt, kosmos, orta-tünd dəri tonu, qadın, qadın astronavt: orta-tünd dəri tonu, raket
👩🏿‍🚀	astronavt, kosmos, qadın, qadın astronavt: tünd dəri tonu, raket, tünd dəri tonu
👨‍🚒	kişi, kişi yanğınsöndürən, yanğınsöndürən, yanğınsöndürən maşın
👨🏻‍🚒	açıq dəri tonu, kişi, kişi yanğınsöndürən: açıq dəri tonu, yanğınsöndürən, yanğınsöndürən maşın
👨🏼‍🚒	kişi, kişi yanğınsöndürən: orta-açıq dəri tonu, orta-açıq dəri tonu, yanğınsöndürən, yanğınsöndürən maşın
👨🏽‍🚒	kişi, kişi yanğınsöndürən: orta dəri tonu, orta dəri tonu, yanğınsöndürən, yanğınsöndürən maşın
👨🏾‍🚒	kişi, kişi yanğınsöndürən: orta-tünd dəri tonu, orta-tünd dəri tonu, yanğınsöndürən, yanğınsöndürən maşın
👨🏿‍🚒	kişi, kişi yanğınsöndürən: tünd dəri tonu, tünd dəri tonu, yanğınsöndürən, yanğınsöndürən maşın
👩‍🚒	qadın, qadın yanğınsöndürən, yanğınsöndürən, yanğınsöndürən maşın
👩🏻‍🚒	açıq dəri tonu, qadın, qadın yanğınsöndürən: açıq dəri tonu, yanğınsöndürən, yanğınsöndürən maşın
👩🏼‍🚒	orta-açıq dəri tonu, qadın, qadın yanğınsöndürən: orta-açıq dəri tonu, yanğınsöndürən, yanğınsöndürən maşın
👩🏽‍🚒	orta dəri tonu, qadın, qadın yanğınsöndürən: orta dəri tonu, yanğınsöndürən, yanğınsöndürən maşın
👩🏾‍🚒	orta-tünd dəri tonu, qadın, qadın yanğınsöndürən: orta-tünd dəri tonu, yanğınsöndürən, yanğınsöndürən maşın
👩🏿‍🚒	qadın, qadın yanğınsöndürən: tünd dəri tonu, tünd dəri tonu, yanğınsöndürən, yanğınsöndürən maşın
👮	məmur, polis, polis məmuru
👮🏻	açıq dəri tonu, məmur, polis, polis məmuru, polis məmuru: açıq dəri tonu
👮🏼	məmur, orta-açıq dəri tonu, polis, polis məmuru, polis məmuru: orta-açıq dəri tonu
👮🏽	məmur, orta dəri tonu, polis, polis məmuru, polis məmuru: orta dəri tonu
👮🏾	məmur, orta-tünd dəri tonu, polis, polis məmuru, polis məmuru: orta-tünd dəri tonu
👮🏿	məmur, polis, polis məmuru, polis məmuru: tünd dəri tonu, tünd dəri tonu
👮‍♂	kişi, kişi polis, polis, polis nəfəri, zabit
👮🏻‍♂	açıq dəri tonu, kişi, kişi polis: açıq dəri tonu, polis, polis nəfəri, zabit
👮🏼‍♂	kişi, kişi polis: orta-açıq dəri tonu, orta-açıq dəri tonu, polis, polis nəfəri, zabit
👮🏽‍♂	kişi, kişi polis: orta dəri tonu, orta dəri tonu, polis, polis nəfəri, zabit
👮🏾‍♂	kişi, kişi polis: orta-tünd dəri tonu, orta-tünd dəri tonu, polis, polis nəfəri, zabit
👮🏿‍♂	kişi, kişi polis: tünd dəri tonu, polis, polis nəfəri, tünd dəri tonu, zabit
👮‍♀	polis, polis nəfəri, qadın, qadın polis, zabit
👮🏻‍♀	açıq dəri tonu, polis, polis nəfəri, qadın, qadın polis: açıq dəri tonu, zabit
👮🏼‍♀	orta-açıq dəri tonu, polis, polis nəfəri, qadın, qadın polis: orta-açıq dəri tonu, zabit
👮🏽‍♀	orta dəri tonu, polis, polis nəfəri, qadın, qadın polis: orta dəri tonu, zabit
👮🏾‍♀	orta-tünd dəri tonu, polis, polis nəfəri, qadın, qadın polis: orta-tünd dəri tonu, zabit
👮🏿‍♀	polis, polis nəfəri, qadın, qadın polis: tünd dəri tonu, tünd dəri tonu, zabit
🕵️	casus, detektiv, xəfiyyə
🕵🏻	açıq dəri tonu, casus, detektiv, detektiv: açıq dəri tonu, xəfiyyə
🕵🏼	casus, detektiv, detektiv: orta-açıq dəri tonu, orta-açıq dəri tonu, xəfiyyə
🕵🏽	casus, detektiv, detektiv: orta dəri tonu, orta dəri tonu, xəfiyyə
🕵🏾	casus, detektiv, detektiv: orta-tünd dəri tonu, orta-tünd dəri tonu, xəfiyyə
🕵🏿	casus, detektiv, detektiv: tünd dəri tonu, tünd dəri tonu, xəfiyyə
🕵‍♂	casus, detektiv, kişi, kişi detektiv, xəfiyyə
🕵🏻‍♂	açıq dəri tonu, casus, detektiv, kişi, kişi detektiv: açıq dəri tonu, xəfiyyə
🕵🏼‍♂	casus, detektiv, kişi, kişi detektiv: orta-açıq dəri tonu, orta-açıq dəri tonu, xəfiyyə
🕵🏽‍♂	casus, detektiv, kişi, kişi detektiv: orta dəri tonu, orta dəri tonu, xəfiyyə
🕵🏾‍♂	casus, detektiv, kişi, kişi detektiv: orta-tünd dəri tonu, orta-tünd dəri tonu, xəfiyyə
🕵🏿‍♂	casus, detektiv, kişi, kişi detektiv: tünd dəri tonu, tünd dəri tonu, xəfiyyə
🕵‍♀	casus, detektiv, qadın, qadın detektiv, xəfiyyə
🕵🏻‍♀	açıq dəri tonu, casus, detektiv, qadın, qadın detektiv: açıq dəri tonu, xəfiyyə
🕵🏼‍♀	casus, detektiv, orta-açıq dəri tonu, qadın, qadın detektiv: orta-açıq dəri tonu, xəfiyyə
🕵🏽‍♀	casus, detektiv, orta dəri tonu, qadın, qadın detektiv: orta dəri tonu, xəfiyyə
🕵🏾‍♀	casus, detektiv, orta-tünd dəri tonu, qadın, qadın detektiv: orta-tünd dəri tonu, xəfiyyə
🕵🏿‍♀	casus, detektiv, qadın, qadın detektiv: tünd dəri tonu, tünd dəri tonu, xəfiyyə
💂	keşikçi
💂🏻	açıq dəri tonu, keşikçi, keşikçi: açıq dəri tonu
💂🏼	keşikçi, keşikçi: orta-açıq dəri tonu, orta-açıq dəri tonu
💂🏽	keşikçi, keşikçi: orta dəri tonu, orta dəri tonu
💂🏾	keşikçi, keşikçi: orta-tünd dəri tonu, orta-tünd dəri tonu
💂🏿	keşikçi, keşikçi: tünd dəri tonu, tünd dəri tonu
💂‍♂	keçikçi, kişi, kişi keşikçi
💂🏻‍♂	açıq dəri tonu, keçikçi, kişi, kişi keşikçi, kişi keşikçi: açıq dəri tonu
💂🏼‍♂	keçikçi, kişi, kişi keşikçi, kişi keşikçi: orta-açıq dəri tonu, orta-açıq dəri tonu
💂🏽‍♂	keçikçi, kişi, kişi keşikçi, kişi keşikçi: orta dəri tonu, orta dəri tonu
💂🏾‍♂	keçikçi, kişi, kişi keşikçi, kişi keşikçi: orta-tünd dəri tonu, orta-tünd dəri tonu
💂🏿‍♂	keçikçi, kişi, kişi keşikçi, kişi keşikçi: tünd dəri tonu, tünd dəri tonu
💂‍♀	keşikçi, qadın, qadın keşikçi
💂🏻‍♀	açıq dəri tonu, keşikçi, qadın, qadın keşikçi: açıq dəri tonu
💂🏼‍♀	keşikçi, orta-açıq dəri tonu, qadın, qadın keşikçi: orta-açıq dəri tonu
💂🏽‍♀	keşikçi, orta dəri tonu, qadın, qadın keşikçi: orta dəri tonu
💂🏾‍♀	keşikçi, orta-tünd dəri tonu, qadın, qadın keşikçi: orta-tünd dəri tonu
💂🏿‍♀	keşikçi, qadın, qadın keşikçi: tünd dəri tonu, tünd dəri tonu
👷	işçi, papaq, tikinti, tikinti işçisi
👷🏻	açıq dəri tonu, işçi, papaq, tikinti, tikinti işçisi, tikinti işçisi: açıq dəri tonu
👷🏼	işçi, orta-açıq dəri tonu, papaq, tikinti, tikinti işçisi, tikinti işçisi: orta-açıq dəri tonu
👷🏽	işçi, orta dəri tonu, papaq, tikinti, tikinti işçisi, tikinti işçisi: orta dəri tonu
👷🏾	işçi, orta-tünd dəri tonu, papaq, tikinti, tikinti işçisi, tikinti işçisi: orta-tünd dəri tonu
👷🏿	işçi, papaq, tikinti, tikinti işçisi, tikinti işçisi: tünd dəri tonu, tünd dəri tonu
👷‍♂	fəhlə, kişi, kişi bənna, tikinti
👷🏻‍♂	açıq dəri tonu, fəhlə, kişi, kişi bənna, kişi bənna: açıq dəri tonu, tikinti
👷🏼‍♂	fəhlə, kişi, kişi bənna, kişi bənna: orta-açıq dəri tonu, orta-açıq dəri tonu, tikinti
👷🏽‍♂	fəhlə, kişi, kişi bənna, kişi bənna: orta dəri tonu, orta dəri tonu, tikinti
👷🏾‍♂	fəhlə, kişi, kişi bənna, kişi bənna: orta-tünd dəri tonu, orta-tünd dəri tonu, tikinti
👷🏿‍♂	fəhlə, kişi, kişi bənna, kişi bənna: tünd dəri tonu, tikinti, tünd dəri tonu
👷‍♀	fəhlə, qadın, qadın bənna, tikinti
👷🏻‍♀	açıq dəri tonu, fəhlə, qadın, qadın bənna, qadın bənna: açıq dəri tonu, tikinti
👷🏼‍♀	fəhlə, orta-açıq dəri tonu, qadın, qadın bənna, qadın bənna: orta-açıq dəri tonu, tikinti
👷🏽‍♀	fəhlə, orta dəri tonu, qadın, qadın bənna, qadın bənna: orta dəri tonu, tikinti
👷🏾‍♀	fəhlə, orta-tünd dəri tonu, qadın, qadın bənna, qadın bənna: orta-tünd dəri tonu, tikinti
👷🏿‍♀	fəhlə, qadın, qadın bənna, qadın bənna: tünd dəri tonu, tikinti, tünd dəri tonu
🤴	oğlan şahzadə, şah, şahzadə
🤴🏻	açıq dəri tonu, oğlan şahzadə, oğlan şahzadə: açıq dəri tonu, şah, şahzadə
🤴🏼	orta-açıq dəri tonu, oğlan şahzadə, oğlan şahzadə: orta-açıq dəri tonu, şah, şahzadə
🤴🏽	orta dəri tonu, oğlan şahzadə, oğlan şahzadə: orta dəri tonu, şah, şahzadə
🤴🏾	orta-tünd dəri tonu, oğlan şahzadə, oğlan şahzadə: orta-tünd dəri tonu, şah, şahzadə
🤴🏿	oğlan şahzadə, oğlan şahzadə: tünd dəri tonu, tünd dəri tonu, şah, şahzadə
👸	fantastika, nağıl, qız şahzadə
👸🏻	açıq dəri tonu, fantastika, nağıl, qız şahzadə, qız şahzadə: açıq dəri tonu
👸🏼	fantastika, nağıl, orta-açıq dəri tonu, qız şahzadə, qız şahzadə: orta-açıq dəri tonu
👸🏽	fantastika, nağıl, orta dəri tonu, qız şahzadə, qız şahzadə: orta dəri tonu
👸🏾	fantastika, nağıl, orta-tünd dəri tonu, qız şahzadə, qız şahzadə: orta-tünd dəri tonu
👸🏿	fantastika, nağıl, qız şahzadə, qız şahzadə: tünd dəri tonu, tünd dəri tonu
👳	kişi, çalma, çalmalı kişi
👳🏻	açıq dəri tonu, kişi, çalma, çalmalı kişi, çalmalı kişi: açıq dəri tonu
👳🏼	kişi, orta-açıq dəri tonu, çalma, çalmalı kişi, çalmalı kişi: orta-açıq dəri tonu
👳🏽	kişi, orta dəri tonu, çalma, çalmalı kişi, çalmalı kişi: orta dəri tonu
👳🏾	kişi, orta-tünd dəri tonu, çalma, çalmalı kişi, çalmalı kişi: orta-tünd dəri tonu
👳🏿	kişi, tünd dəri tonu, çalma, çalmalı kişi, çalmalı kişi: tünd dəri tonu
👳‍♂	kişi, türban, türbanlı kişi
👳🏻‍♂	açıq dəri tonu, kişi, türban, türbanlı kişi, türbanlı kişi: açıq dəri tonu
👳🏼‍♂	kişi, orta-açıq dəri tonu, türban, türbanlı kişi, türbanlı kişi: orta-açıq dəri tonu
👳🏽‍♂	kişi, orta dəri tonu, türban, türbanlı kişi, türbanlı kişi: orta dəri tonu
👳🏾‍♂	kişi, orta-tünd dəri tonu, türban, türbanlı kişi, türbanlı kişi: orta-tünd dəri tonu
👳🏿‍♂	kişi, tünd dəri tonu, türban, türbanlı kişi, türbanlı kişi: tünd dəri tonu
👳‍♀	qadın, türban, türbanlı qadın
👳🏻‍♀	açıq dəri tonu, qadın, türban, türbanlı qadın, türbanlı qadın: açıq dəri tonu
👳🏼‍♀	orta-açıq dəri tonu, qadın, türban, türbanlı qadın, türbanlı qadın: orta-açıq dəri tonu
👳🏽‍♀	orta dəri tonu, qadın, türban, türbanlı qadın, türbanlı qadın: orta dəri tonu
👳🏾‍♀	orta-tünd dəri tonu, qadın, türban, türbanlı qadın, türbanlı qadın: orta-tünd dəri tonu
👳🏿‍♀	qadın, tünd dəri tonu, türban, türbanlı qadın, türbanlı qadın: tünd dəri tonu
👲	araqçın, kişi, papaq, çin kepkalı kişi
👲🏻	araqçın, açıq dəri tonu, kişi, papaq, çin kepkalı kişi, çin kepkalı kişi: açıq dəri tonu
👲🏼	araqçın, kişi, orta-açıq dəri tonu, papaq, çin kepkalı kişi, çin kepkalı kişi: orta-açıq dəri tonu
👲🏽	araqçın, kişi, orta dəri tonu, papaq, çin kepkalı kişi, çin kepkalı kişi: orta dəri tonu
👲🏾	araqçın, kişi, orta-tünd dəri tonu, papaq, çin kepkalı kişi, çin kepkalı kişi: orta-tünd dəri tonu
👲🏿	araqçın, kişi, papaq, tünd dəri tonu, çin kepkalı kişi, çin kepkalı kişi: tünd dəri tonu
🧕	hicab, mantilya, tişel, şərf, şərfli qadın
🧕🏻	açıq dəri tonu, hicab, mantilya, tişel, şərf, şərfli qadın, şərfli qadın: açıq dəri tonu
🧕🏼	hicab, mantilya, orta-açıq dəri tonu, tişel, şərf, şərfli qadın, şərfli qadın: orta-açıq dəri tonu
🧕🏽	hicab, mantilya, orta dəri tonu, tişel, şərf, şərfli qadın, şərfli qadın: orta dəri tonu
🧕🏾	hicab, mantilya, orta-tünd dəri tonu, tişel, şərf, şərfli qadın, şərfli qadın: orta-tünd dəri tonu
🧕🏿	hicab, mantilya, tişel, tünd dəri tonu, şərf, şərfli qadın, şərfli qadın: tünd dəri tonu
🤵	adam, smokinq, smokinqli kişi
🤵🏻	adam, açıq dəri tonu, smokinq, smokinqli kişi, smokinqli kişi: açıq dəri tonu
🤵🏼	adam, orta-açıq dəri tonu, smokinq, smokinqli kişi, smokinqli kişi: orta-açıq dəri tonu
🤵🏽	adam, orta dəri tonu, smokinq, smokinqli kişi, smokinqli kişi: orta dəri tonu
🤵🏾	adam, orta-tünd dəri tonu, smokinq, smokinqli kişi, smokinqli kişi: orta-tünd dəri tonu
🤵🏿	adam, smokinq, smokinqli kişi, smokinqli kişi: tünd dəri tonu, tünd dəri tonu
👰	duvaq, duvaqlı gəlin, gəlin, toy
👰🏻	açıq dəri tonu, duvaq, duvaqlı gəlin, duvaqlı gəlin: açıq dəri tonu, gəlin, toy
👰🏼	duvaq, duvaqlı gəlin, duvaqlı gəlin: orta-açıq dəri tonu, gəlin, orta-açıq dəri tonu, toy
👰🏽	duvaq, duvaqlı gəlin, duvaqlı gəlin: orta dəri tonu, gəlin, orta dəri tonu, toy
👰🏾	duvaq, duvaqlı gəlin, duvaqlı gəlin: orta-tünd dəri tonu, gəlin, orta-tünd dəri tonu, toy
👰🏿	duvaq, duvaqlı gəlin, duvaqlı gəlin: tünd dəri tonu, gəlin, toy, tünd dəri tonu
🤰	hamilə, hamilə qadın, qadın, uşaq
🤰🏻	açıq dəri tonu, hamilə, hamilə qadın: açıq dəri tonu, qadın, uşaq
🤰🏼	hamilə, hamilə qadın: orta-açıq dəri tonu, orta-açıq dəri tonu, qadın, uşaq
🤰🏽	hamilə, hamilə qadın: orta dəri tonu, orta dəri tonu, qadın, uşaq
🤰🏾	hamilə, hamilə qadın: orta-tünd dəri tonu, orta-tünd dəri tonu, qadın, uşaq
🤰🏿	hamilə, hamilə qadın: tünd dəri tonu, qadın, tünd dəri tonu, uşaq
🤱	döş, körpə, uşaq əmizdirmə, yedirtmə
🤱🏻	açıq dəri tonu, döş, körpə, uşaq əmizdirmə, uşaq əmizdirmə: açıq dəri tonu, yedirtmə
🤱🏼	döş, körpə, orta-açıq dəri tonu, uşaq əmizdirmə, uşaq əmizdirmə: orta-açıq dəri tonu, yedirtmə
🤱🏽	döş, körpə, orta dəri tonu, uşaq əmizdirmə, uşaq əmizdirmə: orta dəri tonu, yedirtmə
🤱🏾	döş, körpə, orta-tünd dəri tonu, uşaq əmizdirmə, uşaq əmizdirmə: orta-tünd dəri tonu, yedirtmə
🤱🏿	döş, körpə, tünd dəri tonu, uşaq əmizdirmə, uşaq əmizdirmə: tünd dəri tonu, yedirtmə
👼	fantastika, körpə, körpə mələk, mələk, nağıl, üz
👼🏻	açıq dəri tonu, fantastika, körpə, körpə mələk: açıq dəri tonu, mələk, nağıl, üz
👼🏼	fantastika, körpə, körpə mələk: orta-açıq dəri tonu, mələk, nağıl, orta-açıq dəri tonu, üz
👼🏽	fantastika, körpə, körpə mələk: orta dəri tonu, mələk, nağıl, orta dəri tonu, üz
👼🏾	fantastika, körpə, körpə mələk: orta-tünd dəri tonu, mələk, nağıl, orta-tünd dəri tonu, üz
👼🏿	fantastika, körpə, körpə mələk: tünd dəri tonu, mələk, nağıl, tünd dəri tonu, üz
🎅	Santa Klaus, ata, bayram, fantastika, milad, nağıl, santa, santa klaus
🎅🏻	Santa Klaus, Santa Klaus: açıq dəri tonu, ata, açıq dəri tonu, bayram, fantastika, milad, nağıl, santa, santa klaus
