😀	инээсэн царай, инээх, царай
👩🏾‍🍳	бордуу, тогооч, эм, эмэгтэй, эмэгтэй тогооч: бордуу
👩🏿‍🍳	бор, тогооч, эм, эмэгтэй, эмэгтэй тогооч: бор
👨‍🔧	механик, сантехникч, худалдаачин, цахилгаанчин, эрэгтэй, эрэгтэй механикч
👨🏻‍🔧	механик, сантехникч, худалдаачин, цайвар, цахилгаанчин, эрэгтэй, эрэгтэй механикч, эрэгтэй механикч: цайвар
👨🏼‍🔧	бага зэргийн цайвар, механик, сантехникч, худалдаачин, цахилгаанчин, эрэгтэй, эрэгтэй механикч, эрэгтэй механикч: бага зэргийн цайвар
👨🏽‍🔧	дунд зэргийн, механик, сантехникч, худалдаачин, цахилгаанчин, эрэгтэй, эрэгтэй механикч, эрэгтэй механикч: дунд зэргийн
👨🏾‍🔧	бордуу, механик, сантехникч, худалдаачин, цахилгаанчин, эрэгтэй, эрэгтэй механикч, эрэгтэй механикч: бордуу
👨🏿‍🔧	бор, механик, сантехникч, худалдаачин, цахилгаанчин, эрэгтэй, эрэгтэй механикч, эрэгтэй механикч: бор
👩‍🔧	механикч, сантехникч, худалдаачин, цахилгаанчин, эмэгтэй, эмэгтэй механикч
👩🏻‍🔧	механикч, сантехникч, худалдаачин, цайвар, цахилгаанчин, эмэгтэй, эмэгтэй механикч: цайвар
👩🏼‍🔧	бага зэргийн цайвар, механикч, сантехникч, худалдаачин, цахилгаанчин, эмэгтэй, эмэгтэй механикч: бага зэргийн цайвар
👩🏽‍🔧	дунд зэргийн, механикч, сантехникч, худалдаачин, цахилгаанчин, эмэгтэй, эмэгтэй механикч: дунд зэргийн
👩🏾‍🔧	бордуу, механикч, сантехникч, худалдаачин, цахилгаанчин, эмэгтэй, эмэгтэй механикч: бордуу
👩🏿‍🔧	бор, механикч, сантехникч, худалдаачин, цахилгаанчин, эмэгтэй, эмэгтэй механикч: бор
👨‍🏭	аж үйлдвэрийн, ажилтан, угсрах, эрэгтэй, эрэгтэй үйлдвэрийн ажилтан, үйлдвэр
👨🏻‍🏭	аж үйлдвэрийн, ажилтан, угсрах, цайвар, эрэгтэй, эрэгтэй үйлдвэрийн ажилтан, эрэгтэй үйлдвэрийн ажилтан: цайвар, үйлдвэр
👨🏼‍🏭	аж үйлдвэрийн, ажилтан, бага зэргийн цайвар, угсрах, эрэгтэй, эрэгтэй үйлдвэрийн ажилтан, эрэгтэй үйлдвэрийн ажилтан: бага зэргийн цайвар, үйлдвэр
👨🏽‍🏭	аж үйлдвэрийн, ажилтан, дунд зэргийн, угсрах, эрэгтэй, эрэгтэй үйлдвэрийн ажилтан, эрэгтэй үйлдвэрийн ажилтан: дунд зэргийн, үйлдвэр
👨🏾‍🏭	аж үйлдвэрийн, ажилтан, бордуу, угсрах, эрэгтэй, эрэгтэй үйлдвэрийн ажилтан, эрэгтэй үйлдвэрийн ажилтан: бордуу, үйлдвэр
👨🏿‍🏭	аж үйлдвэрийн, ажилтан, бор, угсрах, эрэгтэй, эрэгтэй үйлдвэрийн ажилтан, эрэгтэй үйлдвэрийн ажилтан: бор, үйлдвэр
👩‍🏭	аж үйлдвэрийн, ажилтан, угсрах, эмэгтэй, эмэгтэй үйлдвэрийн ажилтан, үйлдвэр
👩🏻‍🏭	аж үйлдвэрийн, ажилтан, угсрах, цайвар, эмэгтэй, эмэгтэй үйлдвэрийн ажилтан, эмэгтэй үйлдвэрийн ажилтан: цайвар, үйлдвэр
👩🏼‍🏭	аж үйлдвэрийн, ажилтан, бага зэргийн цайвар, угсрах, эмэгтэй, эмэгтэй үйлдвэрийн ажилтан, эмэгтэй үйлдвэрийн ажилтан: бага зэргийн цайвар, үйлдвэр
👩🏽‍🏭	аж үйлдвэрийн, ажилтан, дунд зэргийн, угсрах, эмэгтэй, эмэгтэй үйлдвэрийн ажилтан, эмэгтэй үйлдвэрийн ажилтан: дунд зэргийн, үйлдвэр
👩🏾‍🏭	аж үйлдвэрийн, ажилтан, бордуу, угсрах, эмэгтэй, эмэгтэй үйлдвэрийн ажилтан, эмэгтэй үйлдвэрийн ажилтан: бордуу, үйлдвэр
👩🏿‍🏭	аж үйлдвэрийн, ажилтан, бор, угсрах, эмэгтэй, эмэгтэй үйлдвэрийн ажилтан, эмэгтэй үйлдвэрийн ажилтан: бор, үйлдвэр
👨‍💼	архитект, бизнес, менежер, оффисын ажилтан эрэгтэй, эрэгтэй, эрэгтэй оффисын ажилтан
👨🏻‍💼	архитект, бизнес, менежер, оффисын ажилтан эрэгтэй, цайвар, эрэгтэй, эрэгтэй оффисын ажилтан, эрэгтэй оффисын ажилтан: цайвар
👨🏼‍💼	архитект, бага зэргийн цайвар, бизнес, менежер, оффисын ажилтан эрэгтэй, эрэгтэй, эрэгтэй оффисын ажилтан, эрэгтэй оффисын ажилтан: бага зэргийн цайвар
👨🏽‍💼	архитект, бизнес, дунд зэргийн, менежер, оффисын ажилтан эрэгтэй, эрэгтэй, эрэгтэй оффисын ажилтан, эрэгтэй оффисын ажилтан: дунд зэргийн
👨🏾‍💼	архитект, бизнес, бордуу, менежер, оффисын ажилтан эрэгтэй, эрэгтэй, эрэгтэй оффисын ажилтан, эрэгтэй оффисын ажилтан: бордуу
👨🏿‍💼	архитект, бизнес, бор, менежер, оффисын ажилтан эрэгтэй, эрэгтэй, эрэгтэй оффисын ажилтан, эрэгтэй оффисын ажилтан: бор
👩‍💼	архитект, бизнес, менежер, оффисын ажилтан эмэгтэй, эмэгтэй, эмэгтэй оффисын ажилтан
👩🏻‍💼	архитект, бизнес, менежер, оффисын ажилтан эмэгтэй, цайвар, эмэгтэй, эмэгтэй оффисын ажилтан, эмэгтэй оффисын ажилтан: цайвар
👩🏼‍💼	архитект, бага зэргийн цайвар, бизнес, менежер, оффисын ажилтан эмэгтэй, эмэгтэй, эмэгтэй оффисын ажилтан, эмэгтэй оффисын ажилтан: бага зэргийн цайвар
👩🏽‍💼	архитект, бизнес, дунд зэргийн, менежер, оффисын ажилтан эмэгтэй, эмэгтэй, эмэгтэй оффисын ажилтан, эмэгтэй оффисын ажилтан: дунд зэргийн
👩🏾‍💼	архитект, бизнес, бордуу, менежер, оффисын ажилтан эмэгтэй, эмэгтэй, эмэгтэй оффисын ажилтан, эмэгтэй оффисын ажилтан: бордуу
👩🏿‍💼	архитект, бизнес, бор, менежер, оффисын ажилтан эмэгтэй, эмэгтэй, эмэгтэй оффисын ажилтан, эмэгтэй оффисын ажилтан: бор
👨‍🔬	биологич, инженер, физикч, химич, эрэгтэй, эрэгтэй эрдэмтэн
👨🏻‍🔬	биологич, инженер, физикч, химич, цайвар, эрэгтэй, эрэгтэй эрдэмтэн, эрэгтэй эрдэмтэн: цайвар
👨🏼‍🔬	бага зэргийн цайвар, биологич, инженер, физикч, химич, эрэгтэй, эрэгтэй эрдэмтэн, эрэгтэй эрдэмтэн: бага зэргийн цайвар
👨🏽‍🔬	биологич, дунд зэргийн, инженер, физикч, химич, эрэгтэй, эрэгтэй эрдэмтэн, эрэгтэй эрдэмтэн: дунд зэргийн
👨🏾‍🔬	биологич, бордуу, инженер, физикч, химич, эрэгтэй, эрэгтэй эрдэмтэн, эрэгтэй эрдэмтэн: бордуу
👨🏿‍🔬	биологич, бор, инженер, физикч, химич, эрэгтэй, эрэгтэй эрдэмтэн, эрэгтэй эрдэмтэн: бор
👩‍🔬	биологич, инженер, физикч, химич, эмэгтэй, эмэгтэй эрдэмтэн
👩🏻‍🔬	биологич, инженер, физикч, химич, цайвар, эмэгтэй, эмэгтэй эрдэмтэн, эмэгтэй эрдэмтэн: цайвар
👩🏼‍🔬	бага зэргийн цайвар, биологич, инженер, физикч, химич, эмэгтэй, эмэгтэй эрдэмтэн, эмэгтэй эрдэмтэн: бага зэргийн цайвар
👩🏽‍🔬	биологич, дунд зэргийн, инженер, физикч, химич, эмэгтэй, эмэгтэй эрдэмтэн, эмэгтэй эрдэмтэн: дунд зэргийн
👩🏾‍🔬	биологич, бордуу, инженер, физикч, химич, эмэгтэй, эмэгтэй эрдэмтэн, эмэгтэй эрдэмтэн: бордуу
👩🏿‍🔬	биологич, бор, инженер, физикч, химич, эмэгтэй, эмэгтэй эрдэмтэн, эмэгтэй эрдэмтэн: бор
👨‍💻	зохион бүтээгч, кодлогч, програм хангамж, технологич, хөгжүүлэгч, эрэгтэй технологич
👨🏻‍💻	зохион бүтээгч, кодлогч, програм хангамж, технологич, хөгжүүлэгч, цайвар, эрэгтэй технологич, эрэгтэй технологич: цайвар
👨🏼‍💻	бага зэргийн цайвар, зохион бүтээгч, кодлогч, програм хангамж, технологич, хөгжүүлэгч, эрэгтэй технологич, эрэгтэй технологич: бага зэргийн цайвар
👨🏽‍💻	дунд зэргийн, зохион бүтээгч, кодлогч, програм хангамж, технологич, хөгжүүлэгч, эрэгтэй технологич, эрэгтэй технологич: дунд зэргийн
👨🏾‍💻	бордуу, зохион бүтээгч, кодлогч, програм хангамж, технологич, хөгжүүлэгч, эрэгтэй технологич, эрэгтэй технологич: бордуу
👨🏿‍💻	бор, зохион бүтээгч, кодлогч, програм хангамж, технологич, хөгжүүлэгч, эрэгтэй технологич, эрэгтэй технологич: бор
