😀	guyu, rai, rai ngguyu
🧰	bekakas, kothak bekakas, montir, pethi
🧲	magnet, tapal jaran, tarik-tinarik, wesi magnet
⚗️	alembik, kimia, pranti, pranti suling alembik
🧪	ahli kimia, eksperimen, kimia, laborat, sains, tabung reaksi
🧫	ahli biologi, bakteri, biologi, cawan petri, kultur, laborat
🧬	adn, ahli biologi, evolusi, gen, genetik, kauripan
🔬	mikroskop, pranti, sains
🔭	pranti, sains, teleskop
📡	antena, antena satelit, parabola, satelit
💉	bat, dom, lara, siring, suntik
🩸	donor getih, menstruasi, obat, satetes getih
💊	dhokter, lara, obat, pil
🩹	perban, plester
🩺	dhokter, jantung, obat, stetoskop
🚪	lawang
🛏️	amben, hotel, turu
🛋️	hotel, lampu, sofa, sofa lan lampu
🪑	jagongan, kursi, njagong
🚽	kakus
🚿	banyu, pancuran
🛁	adus, bak kungkum
🪒	cukur, landhep, peso cukur
🧴	botol losion, krim kulit, losion, sampo, tabir surya
🧷	peniti, popok, punk rock
🧹	nyapu, penyihir, reresik, sapu
🧺	kranjang, kumbahan, piknik, tani
🧻	lap tisu, tisu gulung, tisu wese
🧼	adus, kothak, reresik, sabun, sabunan, wadhah sabun
🧽	bolong-bolong, nyerep, reresik, sepon
🧯	geni, mateni, mbasmi, pambasmi geni
🛒	blanja, troli, troli blanja
🚬	ngrokok, rokok
⚰️	pati, pethi mati
⚱️	awu, guci, guci awu, pamulasaran, pati
🗿	moai, moyai, patung, patung moai, rai
🏧	atm, bank, otomatis, tandha ATM, teller
🚮	rereged, tandha mbuwang rereged ing wadhahe, wadhah sampah
🚰	banyu, banyu kran kena diombe, ngombe, ombe langsung
♿️	dalan, tandha kursi rodha
🚹️	jumbleng, lanang, pakiwan, pakiwan lanang, wese
🚺️	jumbleng, pakiwan, pakiwan wadon, wadon, wese
🚻	jumbleng, pakiwan, wese
🚼️	bayi, nyalini bayi, tandha bayi
🚾	banyu, jedhing, jumbleng, pakiwan, wese
🛂	pamriksan, paspor, priksa paspor
🛃	pabean
🛄	koper, njupuk, njupuk koper
🛅	koper, koper ditinggal, loker
⚠️	pepenget
🚸	bocah, lalu lintas, sabrangan bocah, sabrangan bocah sekolah, wong mlaku
⛔️	aja, aja mlebu, lalu lintas, larangan, mlebu, ora kena
🚫	aja, larangan, mlebu, ora kena
🚳	aja, larangan, pit, pit ora kena liwat, sepedha
🚭️	aja, larangan, ngrokok, ora kena, ora kena ngrokok
🚯	aja, larangan, ora kena, ora kena mbuwang sampah, rereged, sampah
🚱	banyu, banyu kran ora kena diombe, ora diombe langsung
🚷	aja, larangan, ora kena, wong mlaku, wong mlaku ora kena liwat
📵	aja, hp, larangan, ora kena nguripke hp, ponsel, telpun
🔞	18, durung cukup umur, larangan, sing umur sangisore 18 ora kena, wates umur, wolulas
☢️	radhioaktip, tandha
☣️	bebaya hayati, tandha
⬆️	arah, kardinal, lor, panah, panah munggah
↗️	arah, interkardinal, lor-wetan, panah, panah munggah-nengen
➡️	arah, kardinal, panah, panah nengen, wetan
↘️	arah, interkardinal, panah, panah mudhun-nengen, wetan-kidul
⬇️	arah, kardinal, kidul, panah, panah mudhun
↙️	arah, interkardinal, kidul-kulon, panah, panah mudhun-ngiwa
⬅️	arah, kardinal, kulon, panah, panah ngiwa
↖️	arah, interkardinal, kulon-lor, panah, panah munggah-ngiwa
↕️	panah, panah munggah-mudhun
↔️	panah, panah ngiwa-nengen
↩️	panah, panah nengen menggok ngiwa
↪️	panah, panah ngiwa menggok nengen
⤴️	panah, panah nengen menggok munggah
⤵️	panah, panah nengen menggok mudhun
🔃	arah ubenge jam, ngisi maneh, panah, panah ngadeg arahe padha ubenge jam
🔄	panah, tombol panah arahe walikan ubenge jam, walikan arahe srengenge, walikan ubenge jam
🔙	mbalik, panah, panah MBALIK
🔚	mentok, panah, panah MENTOK
🔛	on, panah, panah ON!, tenger
🔜	gage, panah, panah SOON, soon
🔝	munggah, panah, panah TOP, top
🛐	agama, papan sembahyang, sembahyang
⚛️	ateis, atom, tandha atom
🕉️	Hindu, Om, agama, om
✡️	Dawud, Yahudi, agama, lintang, lintang Dawud, wong Yahudi
☸️	Buda, agama, darma, rodha, rodha darma
☯️	agama, tao, umat tao, yang, yin, yinyang
✝️	Kristen, agama, salib, salib latin
☦️	Kristen, agama, salib, salib ortodoks
☪️	Islam, Muslim, agama, lintang lan mbulan anyaran
☮️	perdhamean, tandha perdhamean
🕎	agama, lilin, menorah, menorah lilin, wadhah lilin sanga
🔯	kabegjan, lintang, lintang mata enem mawa titik tengah
♈️	Aries, Lintang Aries, palintangan, wedhus gembel
♉️	Lintang Taurus, Taurus, bantheng, palintangan
♊️	Gemini, Lintang Gemini, anak kembar, palintangan
♋️	Cancer, Lintang Cancer, palintangan, yuyu
♌️	Leo, Lintang Leo, palintangan, singa
♍️	Lintang Virgo, Virgo, palintangan
♎️	Libra, Lintang Libra, adil, imbang, palintangan, timbangan
♏️	Lintang Scorpio, Scorpio, ketonggeng, palintangan, scorpius
♐️	Lintang Sagittarius, Sagitarius, palintangan, pamanah
♑️	Capricorn, Lintang Capricorn, palintangan, wedhus
♒️	Aquarius, Lintang Aquarius, banyu, palintangan, sing nggawa
♓️	Lintang Pisces, Pisces, iwak, palintangan
⛎	Lintang Ophiuchus, Ophiuchus, nggremet, palintangan, sing nggawa, ula
🔀	panah, tempuk, tombol ngacak lagu
🔁	arah mubenge jam, baleni, panah, tombol baleni
🔂	arah mubenge jam, panah, sepisan, tombol baleni sepisan
▶	main, marep nengen, panah, pesagi telu, tombol main
⏩	cepet, dhobel, maju, panah, tombol maju cepet
⏭	lagu sabanjure, layar sabanjure, panah, pesagi telu, tombol lagu sabanjure
⏯	main, mandheg, marep nengen, panah, pesagi telu, tombol main utawa mandheg
◀	marep kiwa, mbalik, panah, pesagi telu, tombol mbalik
⏪	dhobel, panah, tombol mbalik cepet, ukel mbalik
⏮	lagu sadurunge, layar sadurunge, panah, pesagi telu, tombol lagu pungkasan
🔼	abang, panah, tombol, tombol munggah
⏫	dhobel, panah, tombol munggah cepet
🔽	abang, mudhun, panah, tombol, tombol mudhun
⏬	dhobel, mudhun, panah, tombol mudhun cepet
⏸️	balok, dhobel, mandheg, ngadeg, tombol mandheg
⏹️	kothak, mati, tombol mati
⏺️	bunder, rekam, tombol rekam
⏏️	metu, tombol metu
🎦	film, kamera, tontonan
🔅	endhek, lamat-lamat, takeran padhang, tombol lamat-lamat
🔆	kadhar padhang, padhang, tombol padhang
📶	antena, balok, balok sinyal, hp, ponsel, sinyal
📳	hp, kedher, modhe, modhe kedher, ponsel, tilpun
📴	hp, hp mati, mati, ponsel, tilpun
♀️	tandha wanita, wadon
♂️	lanang, tandha priya
⚕️	aesculapius, obat, pegawe, tandha medhis
♾️	abadi, tanpa kaiket, tanpa wates, universal
♻️	dhaur ulang, tandha dhaur ulang
⚜	lambang fleur-de-lis, lambang fleur-de-lis [kembang Lili]
🔱	emblem, jangkar, kapal, lambang trisula, pranti, trisula
📛	emblem, emblem jeneng, jeneng
🔰	anyaran, emblem, godhong, tandha wong anyaran cara Jepang, wong Jepang
⭕️	abang, bunder, bunderan abang bolong, gendhe, o
✅	centhang, tenger, tombol, tombol tenger centhang, ✓
☑️	centhang, kothak, kothak centhang ana centhange, ✓
✔️	centhang, tenger, tenger centhang, ✓
✖️	ditikelake, ping-pingan, tandha, tandha ping-pingan, wurung, x, ×
❌	ditikelake, ping, ping-pingan, tenger, tenger ping, wurung, x, ×
❎	kothak, tenger, tombol tenger ping, x, ×
➕	+, matematika, tambah, tandha, tandha tambah
➖	-, kurang, matematika, tandha, tandha kurang, −
➗	matematika, paran, tandha, tandha para, ÷
➰	cunthel, garis cunthel, mlungker
➿	cunthel, dhobel, garis cunthel dhobel, mlungker
〽️	bageyan, tandha, tandha rikala sindhen wiwit nyanyi
✳️	*, asterisk, asterisk kembang wolu
✴️	*, lintang, lintang mata wolu
❇️	*, kelip-kelip
‼️	!, !!, mak cethor pindho, mbangetake, tandha, tandha penthung dhobel
⁉️	!, !?, ?, mbangetake, pitakon, tandha, tandha penthung lan pitakon, tandha wacan
❓️	?, pitakon, tandha, tandha pitakon, tandha wacan
❔	?, garis pinggir cetha, pitakon, tandha, tandha pitakon putih, tandha wacan
❕	!, garis pinggir cetha, mbangetake, tandha, tandha penthung putih
❗️	!, mbangetake, tandha, tandha penthung, tandha wacan
〰️	ngeluk, setrip, setrip ngeluk, tandha wacan
©️	c, hak cipta
®️	kadhaptar, r
™️	merek dagang, tandha, tm
🔠	ABCD, aksara, gedhe, latin, lebokake, lebokake aksara latin gedhe
🔡	abcd, aksara, cilik, latin, lebokake, lebokake aksara latin cilik
🔢	1234, angka, lebokake, lebokake angka
🔣	lebokake, lebokake simbol, 〒♪&%
🔤	abc, aksara, alfabet, latin, lebokake, lebokake aksara latin
🅰️	a, golongane getih, tombol A [golongane getih]
🆎	ab, golongane getih, tombol AB [golongane getih]
🅱️	b, golongane getih, tombol B [golongane getih]
🆑	busak, cl, tombol CL
🆒	cool, tombol COOL
🆓	free, tombol FREE
ℹ️	i, informasi
🆔	id, idhentitas, tombol ID
Ⓜ️	M dibunderi, bunder, m
🆕	new, tombol NEW
🆖	ng, tombol NG, tombol No Good
🅾️	golongane getih, o, tombol O [golongane getih]
🆗	OK, tombol OK
🅿️	parkir, tombol P
🆘	sos, tombol SOS, tulung
🆙	ndhuwur, tandha, tombol UP!
🆚	nglawan, tombol VS, versus, vs
🈁	Jepang, katakana, tombol Jepang "ing kene", “ing kene”
🈂️	Jepang, katakana, tombol Jepang "beya laden", “beya laden”
🈷	Jepang, ideografi, tombol Jepang "gunggung sesasen", “gunggung sesasen”
🈶	Jepang, ideografi, tombol Jepang "ora gratis", “ora gratis”
🈯	Jepang, ideografi, tombol Jepang "wis dipesen", “wis dipesen”
🉐	Jepang, ideografi, tombol Jepang "rega murah", “rega murah”
🈹	Jepang, ideografi, tombol Jepang "diskon", “diskon”
🈚	Jepang, ideografi, tombol Jepang "gratis", “gratis”
🈲	Jepang, ideografi, tombol Jepang "larangan", “larangan”
🉑	Jepang, ideografi, tombol Jepang "oleh", “oleh”
🈸	"aplikasi", Jepang, ideografi, tombol Jepang "aplikasi"
🈴	"munggah kelas", Jepang, ideografi, tombol Jepang "munggah kelas"
🈳	"lowongan", Jepang, ideografi, tombol Jepang "lowongan"
㊗️	"sugeng", Jepang, ideografi, tombol Jepang "sugeng"
㊙️	"rahasia", Jepang, ideografi, tombol Jepang "rahasia"
🈺	"kantor bukak", Jepang, ideografi, tombol Jepang "kantor bukak"
🈵	"lowongan kosong", Jepang, ideografi, tombol Jepang "lowongan kosong"
🔴	abang, bunder, bunderan abang, geometrik
🟠	bunder, bunderan kunir, kunir
🟡	bunder, bunderan kuning, kuning
🟢	bunder, bunderan ijo, ijo
🔵	biru, bunder, bunderan biru, geometrik
🟣	bunder, bunderan wungu, wungu
🟤	bunderan, bunderan soklat, soklat
⚫️	bunder, bunderan ireng, geometrik
⚪️	bunder, bunderan putih, geometrik
🟥	abang, kothak, kothak abang
🟧	kothak, kothak kunir, kunir
🟨	kothak, kothak kuning, kuning
🟩	ijo, kothak, kothak ijo
🟦	biru, kothak, kothak biru
🟪	kothak, kothak wungu, wungu
🟫	kothak, kothak soklat, soklat
⬛️	geometrik, kothak, kothak gedhe ireng
⬜️	geometrik, kothak, kothak gedhe putih
◼️	geometrik, kothak, kothak sedhengan ireng
◻️	geometrik, kothak, kothak sedhengan putih
◾️	geometrik, kothak, kothak cilik-sedhengan ireng
◽️	geometrik, kothak, kothak cilik-sedhengan putih
▪️	geometrik, kothak, kothak cilik ireng
▫️	geometrik, kothak, kothak cilik putih
🔶	geometrik, kunir, kupatan, kupatan gedhe kunir
🔷	biru, geometrik, kupatan, kupatan gedhe biru
🔸	geometrik, kunir, kupatan, kupatan cilik kunir
🔹	biru, geometrik, kupatan, kupatan cilik biru
🔺	abang, geometrik, pesagi telu abang pucuke marep ndhuwur
🔻	abang, geometrik, ngisor, pesagi telu abang pucuke marep ngisor
💠	geometrik, komik, kupatan, kupatan mawa titik ing tengah, njero
🔘	geometrik, radio, tombol, tombol radio
🔳	garis pinggir cetha, geometrik, kothak, tombol, tombol kothak putih
🔲	geometrik, kothak, tombol, tombol kothak ireng
🏁	balapan, gendera balapan, gendera kothak-kothak, kothak-kothak
🚩	gendera segi telu, tenger
🎌	Jepang, ditempukake, gendera, gendera loro ditempuk, pista, tempuk
🏴	gendera ireng, ngawe-awe
🏳️	gendera putih, ngawe-awe
🏳‍🌈	gendera plangi, plangi
🏴‍☠	Jolly Roger, bandhane karun, begal segara, gendera begal segara, jarah
🇦🇨	gendera, gendera: Pulo Ascension
🇦🇩	gendera, gendera: Andora
🇦🇪	gendera, gendera: Uni Émirat Arab
🇦🇫	gendera, gendera: Afganistan
🇦🇬	gendera, gendera: Antigua lan Barbuda
🇦🇮	gendera, gendera: Anguilla
🇦🇱	gendera, gendera: Albani
🇦🇲	gendera, gendera: Arménia
🇦🇴	gendera, gendera: Angola
🇦🇶	gendera, gendera: Antartika
🇦🇷	gendera, gendera: Argèntina
🇦🇸	gendera, gendera: Samoa Amerika
🇦🇹	gendera, gendera: Ostenrik
🇦🇺	gendera, gendera: Ostrali
🇦🇼	gendera, gendera: Aruba
🇦🇽	gendera, gendera: Kapuloan Alan
🇦🇿	gendera, gendera: Azerbaijan
🇧🇦	gendera, gendera: Bosnia lan Hèrségovina
🇧🇧	gendera, gendera: Barbadhos
🇧🇩	gendera, gendera: Banggaladésa
🇧🇪	gendera, gendera: Bèlgi
🇧🇫	gendera, gendera: Burkina Faso
🇧🇬	gendera, gendera: Bulgari
🇧🇭	gendera, gendera: Bahrain
🇧🇮	gendera, gendera: Burundi
🇧🇯	gendera, gendera: Bénin
🇧🇱	gendera, gendera: Saint Barthélémi
🇧🇲	gendera, gendera: Bermuda
🇧🇳	gendera, gendera: Brunéi
🇧🇴	gendera, gendera: Bolivia
🇧🇶	gendera, gendera: Karibia Walanda
🇧🇷	gendera, gendera: Brasil
🇧🇸	gendera, gendera: Bahamas
🇧🇹	gendera, gendera: Bhutan
🇧🇻	gendera, gendera: Pulo Bovèt
🇧🇼	gendera, gendera: Botswana
🇧🇾	gendera, gendera: Bélarus
🇧🇿	gendera, gendera: Bélisé
🇨🇦	gendera, gendera: Kanada
🇨🇨	gendera, gendera: Kapuloan Cocos (Keeling)
🇨🇩	gendera, gendera: Kongo - Kinshasa
🇨🇫	gendera, gendera: Républik Afrika Tengah
🇨🇬	gendera, gendera: Kongo - Brassaville
🇨🇭	gendera, gendera: Switserlan
🇨🇮	gendera, gendera: Pasisir Gadhing
🇨🇰	gendera, gendera: Kapuloan Cook
🇨🇱	gendera, gendera: Cilé
🇨🇲	gendera, gendera: Kamerun
🇨🇳	gendera, gendera: Tyongkok
🇨🇴	gendera, gendera: Kolombia
🇨🇵	gendera, gendera: Pulo Clipperton
🇨🇷	gendera, gendera: Kosta Rika
🇨🇺	gendera, gendera: Kuba
🇨🇻	gendera, gendera: Pongol Verdé
🇨🇼	gendera, gendera: Kurasao
🇨🇽	gendera, gendera: Pulo Natal
🇨🇾	gendera, gendera: Siprus
🇨🇿	gendera, gendera: Céko
🇩🇪	gendera, gendera: Jérman
🇩🇬	gendera, gendera: Diego Garcia
🇩🇯	gendera, gendera: Jibuti
🇩🇰	gendera, gendera: Dhènemarken
🇩🇲	gendera, gendera: Dominika
🇩🇴	gendera, gendera: Républik Dominika
🇩🇿	gendera, gendera: Aljasair
🇪🇦	gendera, gendera: Séuta lan Melila
🇪🇨	gendera, gendera: Ékuadhor
🇪🇪	gendera, gendera: Éstonia
🇪🇬	gendera, gendera: Mesir
🇪🇭	gendera, gendera: Sahara Kulon
🇪🇷	gendera, gendera: Éritréa
🇪🇸	gendera, gendera: Sepanyol
🇪🇹	gendera, gendera: Étiopia
🇪🇺	gendera, gendera: Uni Éropah
🇫🇮	gendera, gendera: Finlan
🇫🇯	gendera, gendera: Fiji
🇫🇰	gendera, gendera: Kapuloan Falkland
🇫🇲	gendera, gendera: Féderasi Mikronésia
🇫🇴	gendera, gendera: Kapuloan Faro
🇫🇷	gendera, gendera: Prancis
🇬🇦	gendera, gendera: Gabon
🇬🇧	gendera, gendera: Karajan Manunggal
🇬🇩	gendera, gendera: Grénada
🇬🇪	gendera, gendera: Géorgia
🇬🇫	gendera, gendera: Guyana Prancis
🇬🇬	gendera, gendera: Guernsei
🇬🇭	gendera, gendera: Ghana
🇬🇮	gendera, gendera: Gibraltar
🇬🇱	gendera, gendera: Greenland
🇬🇲	gendera, gendera: Gambia
🇬🇳	gendera, gendera: Guinea
🇬🇵	gendera, gendera: Guadélup
🇬🇶	gendera, gendera: Guinéa Katulistiwa
🇬🇷	gendera, gendera: Grikenlan
🇬🇸	gendera, gendera: Georgia Kidul lan Kapuloan Sandwich Kidul
🇬🇹	gendera, gendera: Guatémala
🇬🇺	gendera, gendera: Guam
🇬🇼	gendera, gendera: Guinea-Bissau
🇬🇾	gendera, gendera: Guyana
🇭🇰	gendera, gendera: Laladan Administratif Astamiwa Hong Kong
🇭🇲	gendera, gendera: Kapuloan Heard lan McDonald
🇭🇳	gendera, gendera: Honduras
🇭🇷	gendera, gendera: Kroasia
🇭🇹	gendera, gendera: Haiti
🇭🇺	gendera, gendera: Honggari
🇮🇨	gendera, gendera: Kapuloan Kanari
🇮🇩	gendera, gendera: Indonésia
🇮🇪	gendera, gendera: Républik Irlan
🇮🇱	gendera, gendera: Israèl
🇮🇲	gendera, gendera: Pulo Man
🇮🇳	gendera, gendera: Indhi
🇮🇴	gendera, gendera: Wilayah Inggris nang Segoro Hindia
🇮🇶	gendera, gendera: Irak
🇮🇷	gendera, gendera: Iran
🇮🇸	gendera, gendera: Èslan
🇮🇹	gendera, gendera: Itali
🇯🇪	gendera, gendera: Jersey
🇯🇲	gendera, gendera: Jamaika
🇯🇴	gendera, gendera: Yordania
🇯🇵	gendera, gendera: Jepang
🇰🇪	gendera, gendera: Kénya
🇰🇬	gendera, gendera: Kirgistan
🇰🇭	gendera, gendera: Kamboja
🇰🇮	gendera, gendera: Kiribati
🇰🇲	gendera, gendera: Komoro
🇰🇳	gendera, gendera: Saint Kits lan Nèvis
🇰🇵	gendera, gendera: Koréa Lèr
🇰🇷	gendera, gendera: Koréa Kidul
🇰🇼	gendera, gendera: Kuwait
🇰🇾	gendera, gendera: Kapuloan Kéman
🇰🇿	gendera, gendera: Kasakstan
🇱🇦	gendera, gendera: Laos
🇱🇧	gendera, gendera: Libanon
🇱🇨	gendera, gendera: Santa Lusia
🇱🇮	gendera, gendera: Liktenstén
🇱🇰	gendera, gendera: Sri Lanka
🇱🇷	gendera, gendera: Libèria
🇱🇸	gendera, gendera: Lésotho
🇱🇹	gendera, gendera: Litowen
🇱🇺	gendera, gendera: Luksemburg
🇱🇻	gendera, gendera: Latvia
🇱🇾	gendera, gendera: Libya
🇲🇦	gendera, gendera: Maroko
🇲🇨	gendera, gendera: Monako
🇲🇩	gendera, gendera: Moldova
🇲🇪	gendera, gendera: Montenégro
🇲🇫	gendera, gendera: Santa Martin
🇲🇬	gendera, gendera: Madagaskar
🇲🇭	gendera, gendera: Kapuloan Marshall
🇲🇰	gendera, gendera: Makédonia
🇲🇱	gendera, gendera: Mali
🇲🇲	gendera, gendera: Myanmar (Burma)
🇲🇳	gendera, gendera: Mongolia
🇲🇴	gendera, gendera: Laladan Administratif Astamiwa Makau
🇲🇵	gendera, gendera: Kapuloan Mariana Lor
🇲🇶	gendera, gendera: Martinik
🇲🇷	gendera, gendera: Mauritania
🇲🇸	gendera, gendera: Monsérat
🇲🇹	gendera, gendera: Malta
🇲🇺	gendera, gendera: Mauritius
🇲🇻	gendera, gendera: Maladéwa
🇲🇼	gendera, gendera: Malawi
🇲🇽	gendera, gendera: Mèksiko
🇲🇾	gendera, gendera: Malaysia
🇲🇿	gendera, gendera: Mosambik
🇳🇦	gendera, gendera: Namibia
🇳🇨	gendera, gendera: Kalédonia Anyar
🇳🇪	gendera, gendera: Nigér
🇳🇫	gendera, gendera: Pulo Norfolk
🇳🇬	gendera, gendera: Nigéria
🇳🇮	gendera, gendera: Nikaragua
🇳🇱	gendera, gendera: Walanda
🇳🇴	gendera, gendera: Nurwègen
🇳🇵	gendera, gendera: Népal
🇳🇷	gendera, gendera: Nauru
🇳🇺	gendera, gendera: Niue
🇳🇿	gendera, gendera: Niu Sélan
🇴🇲	gendera, gendera: Oman
🇵🇦	gendera, gendera: Panama
🇵🇪	gendera, gendera: Peru
🇵🇫	gendera, gendera: Polinesia Prancis
🇵🇬	gendera, gendera: Papua Nugini
🇵🇭	gendera, gendera: Pilipina
🇵🇰	gendera, gendera: Pakistan
🇵🇱	gendera, gendera: Polen
🇵🇲	gendera, gendera: Saint Pièr lan Mikuélon
🇵🇳	gendera, gendera: Kapuloan Pitcairn
🇵🇷	gendera, gendera: Puèrto Riko
🇵🇸	gendera, gendera: Tlatah Palèstina
🇵🇹	gendera, gendera: Portugal
🇵🇼	gendera, gendera: Palau
🇵🇾	gendera, gendera: Paraguay
🇶🇦	gendera, gendera: Katar
🇷🇪	gendera, gendera: Réunion
🇷🇴	gendera, gendera: Ruméni
🇷🇸	gendera, gendera: Sèrbi
🇷🇺	gendera, gendera: Rusia
🇷🇼	gendera, gendera: Rwanda
🇸🇦	gendera, gendera: Arab Saudi
