😀	dareenka wajiga, gariir, wajiga
👨🏽‍🏫	barafasoor, hagge, jidh nooc dhexe, macallin, nin, nin macallin ah, nin macallin ah: jidh nooc dhexe
👨🏾‍🏫	barafasoor, hagge, jidh nooc madaw oo dhexe, macallin, nin, nin macallin ah, nin macallin ah: jidh nooc madaw oo dhexe
👨🏿‍🏫	barafasoor, hagge, jidh madaw, macallin, nin, nin macallin ah, nin macallin ah: jidh madaw
👩‍🏫	barafasoor, hagge, macallin, naag, naag macallimad ah
👩🏻‍🏫	barafasoor, hagge, jidh fudud, macallin, naag, naag macallimad ah, naag macallimad ah: jidh fudud
👩🏼‍🏫	barafasoor, hagge, jidh fudud oo dhexe, macallin, naag, naag macallimad ah, naag macallimad ah: jidh fudud oo dhexe
👩🏽‍🏫	barafasoor, hagge, jidh nooc dhexe, macallin, naag, naag macallimad ah, naag macallimad ah: jidh nooc dhexe
👩🏾‍🏫	barafasoor, hagge, jidh nooc madaw oo dhexe, macallin, naag, naag macallimad ah, naag macallimad ah: jidh nooc madaw oo dhexe
👩🏿‍🏫	barafasoor, hagge, jidh madaw, macallin, naag, naag macallimad ah, naag macallimad ah: jidh madaw
👨‍⚖	caddaalad, miisaan, nin, nin garsoore ah
👨🏻‍⚖	caddaalad, jidh fudud, miisaan, nin, nin garsoore ah, nin garsoore ah: jidh fudud
👨🏼‍⚖	caddaalad, jidh fudud oo dhexe, miisaan, nin, nin garsoore ah, nin garsoore ah: jidh fudud oo dhexe
👨🏽‍⚖	caddaalad, jidh nooc dhexe, miisaan, nin, nin garsoore ah, nin garsoore ah: jidh nooc dhexe
👨🏾‍⚖	caddaalad, jidh nooc madaw oo dhexe, miisaan, nin, nin garsoore ah, nin garsoore ah: jidh nooc madaw oo dhexe
👨🏿‍⚖	caddaalad, jidh madaw, miisaan, nin, nin garsoore ah, nin garsoore ah: jidh madaw
👩‍⚖	garsoore, miisaanka, naag, naag garsoore ah
👩🏻‍⚖	garsoore, jidh fudud, miisaanka, naag, naag garsoore ah, naag garsoore ah: jidh fudud
👩🏼‍⚖	garsoore, jidh fudud oo dhexe, miisaanka, naag, naag garsoore ah, naag garsoore ah: jidh fudud oo dhexe
👩🏽‍⚖	garsoore, jidh nooc dhexe, miisaanka, naag, naag garsoore ah, naag garsoore ah: jidh nooc dhexe
👩🏾‍⚖	garsoore, jidh nooc madaw oo dhexe, miisaanka, naag, naag garsoore ah, naag garsoore ah: jidh nooc madaw oo dhexe
👩🏿‍⚖	garsoore, jidh madaw, miisaanka, naag, naag garsoore ah, naag garsoore ah: jidh madaw
👨‍🌾	beer-qote, beeraleey, beerinfoof, nin, nin beeraleey ah
👨🏻‍🌾	beer-qote, beeraleey, beerinfoof, jidh fudud, nin, nin beeraleey ah, nin beeraleey ah: jidh fudud
👨🏼‍🌾	beer-qote, beeraleey, beerinfoof, jidh fudud oo dhexe, nin, nin beeraleey ah, nin beeraleey ah: jidh fudud oo dhexe
👨🏽‍🌾	beer-qote, beeraleey, beerinfoof, jidh nooc dhexe, nin, nin beeraleey ah, nin beeraleey ah: jidh nooc dhexe
👨🏾‍🌾	beer-qote, beeraleey, beerinfoof, jidh nooc madaw oo dhexe, nin, nin beeraleey ah, nin beeraleey ah: jidh nooc madaw oo dhexe
👨🏿‍🌾	beer-qote, beeraleey, beerinfoof, jidh madaw, nin, nin beeraleey ah, nin beeraleey ah: jidh madaw
👩‍🌾	beer-qote, beeraleey, beerinfoof, naag, naag beeraleeyad ah
👩🏻‍🌾	beer-qote, beeraleey, beerinfoof, jidh fudud, naag, naag beeraleeyad ah, naag beeraleeyad ah: jidh fudud
👩🏼‍🌾	beer-qote, beeraleey, beerinfoof, jidh fudud oo dhexe, naag, naag beeraleeyad ah, naag beeraleeyad ah: jidh fudud oo dhexe
👩🏽‍🌾	beer-qote, beeraleey, beerinfoof, jidh nooc dhexe, naag, naag beeraleeyad ah, naag beeraleeyad ah: jidh nooc dhexe
👩🏾‍🌾	beer-qote, beeraleey, beerinfoof, jidh nooc madaw oo dhexe, naag, naag beeraleeyad ah, naag beeraleeyad ah: jidh nooc madaw oo dhexe
👩🏿‍🌾	beer-qote, beeraleey, beerinfoof, jidh madaw, naag, naag beeraleeyad ah, naag beeraleeyad ah: jidh madaw
👨‍🍳	kariye, madaxa kariyaha, nin, nin kariye ah
👨🏻‍🍳	jidh fudud, kariye, madaxa kariyaha, nin, nin kariye ah, nin kariye ah: jidh fudud
👨🏼‍🍳	jidh fudud oo dhexe, kariye, madaxa kariyaha, nin, nin kariye ah, nin kariye ah: jidh fudud oo dhexe
👨🏽‍🍳	jidh nooc dhexe, kariye, madaxa kariyaha, nin, nin kariye ah, nin kariye ah: jidh nooc dhexe
👨🏾‍🍳	jidh nooc madaw oo dhexe, kariye, madaxa kariyaha, nin, nin kariye ah, nin kariye ah: jidh nooc madaw oo dhexe
👨🏿‍🍳	jidh madaw, kariye, madaxa kariyaha, nin, nin kariye ah, nin kariye ah: jidh madaw
👩‍🍳	kariye, madaxa kariyaha, naag, naag kariso ah
👩🏻‍🍳	jidh fudud, kariye, madaxa kariyaha, naag, naag kariso ah, naag kariso ah: jidh fudud
👩🏼‍🍳	jidh fudud oo dhexe, kariye, madaxa kariyaha, naag, naag kariso ah, naag kariso ah: jidh fudud oo dhexe
👩🏽‍🍳	jidh nooc dhexe, kariye, madaxa kariyaha, naag, naag kariso ah, naag kariso ah: jidh nooc dhexe
👩🏾‍🍳	jidh nooc madaw oo dhexe, kariye, madaxa kariyaha, naag, naag kariso ah, naag kariso ah: jidh nooc madaw oo dhexe
👩🏿‍🍳	jidh madaw, kariye, madaxa kariyaha, naag, naag kariso ah, naag kariso ah: jidh madaw
👨‍🔧	dhuumo yaqaan, ganacsade, koronto yaqaan, makaanik, nin, nin makaanik ah
👨🏻‍🔧	dhuumo yaqaan, ganacsade, jidh fudud, koronto yaqaan, makaanik, nin, nin makaanik ah, nin makaanik ah: jidh fudud
👨🏼‍🔧	dhuumo yaqaan, ganacsade, jidh fudud oo dhexe, koronto yaqaan, makaanik, nin, nin makaanik ah, nin makaanik ah: jidh fudud oo dhexe
👨🏽‍🔧	dhuumo yaqaan, ganacsade, jidh nooc dhexe, koronto yaqaan, makaanik, nin, nin makaanik ah, nin makaanik ah: jidh nooc dhexe
👨🏾‍🔧	dhuumo yaqaan, ganacsade, jidh nooc madaw oo dhexe, koronto yaqaan, makaanik, nin, nin makaanik ah, nin makaanik ah: jidh nooc madaw oo dhexe
👨🏿‍🔧	dhuumo yaqaan, ganacsade, jidh madaw, koronto yaqaan, makaanik, nin, nin makaanik ah, nin makaanik ah: jidh madaw
👩‍🔧	dhuumo yaqaan, ganacsade, koronto yaqaan, makaanik, naag, naag makaanikad ah
👩🏻‍🔧	dhuumo yaqaan, ganacsade, jidh fudud, koronto yaqaan, makaanik, naag, naag makaanikad ah, naag makaanikad ah: jidh fudud
👩🏼‍🔧	dhuumo yaqaan, ganacsade, jidh fudud oo dhexe, koronto yaqaan, makaanik, naag, naag makaanikad ah, naag makaanikad ah: jidh fudud oo dhexe
👩🏽‍🔧	dhuumo yaqaan, ganacsade, jidh nooc dhexe, koronto yaqaan, makaanik, naag, naag makaanikad ah, naag makaanikad ah: jidh nooc dhexe
👩🏾‍🔧	dhuumo yaqaan, ganacsade, jidh nooc madaw oo dhexe, koronto yaqaan, makaanik, naag, naag makaanikad ah, naag makaanikad ah: jidh nooc madaw oo dhexe
👩🏿‍🔧	dhuumo yaqaan, ganacsade, jidh madaw, koronto yaqaan, makaanik, naag, naag makaanikad ah, naag makaanikad ah: jidh madaw
👨‍🏭	isugeynta, nin, nin shaqaale warshad ah, shaqaale, warshad, warshad ah
👨🏻‍🏭	isugeynta, jidh fudud, nin, nin shaqaale warshad ah, nin shaqaale warshad ah: jidh fudud, shaqaale, warshad, warshad ah
👨🏼‍🏭	isugeynta, jidh fudud oo dhexe, nin, nin shaqaale warshad ah, nin shaqaale warshad ah: jidh fudud oo dhexe, shaqaale, warshad, warshad ah
👨🏽‍🏭	isugeynta, jidh nooc dhexe, nin, nin shaqaale warshad ah, nin shaqaale warshad ah: jidh nooc dhexe, shaqaale, warshad, warshad ah
👨🏾‍🏭	isugeynta, jidh nooc madaw oo dhexe, nin, nin shaqaale warshad ah, nin shaqaale warshad ah: jidh nooc madaw oo dhexe, shaqaale, warshad, warshad ah
👨🏿‍🏭	isugeynta, jidh madaw, nin, nin shaqaale warshad ah, nin shaqaale warshad ah: jidh madaw, shaqaale, warshad, warshad ah
👩‍🏭	isugeynta, naag, naag shaqaale warshad ah, shaqaale, warshad, warshad ah
👩🏻‍🏭	isugeynta, jidh fudud, naag, naag shaqaale warshad ah, naag shaqaale warshad ah: jidh fudud, shaqaale, warshad, warshad ah
👩🏼‍🏭	isugeynta, jidh fudud oo dhexe, naag, naag shaqaale warshad ah, naag shaqaale warshad ah: jidh fudud oo dhexe, shaqaale, warshad, warshad ah
👩🏽‍🏭	isugeynta, jidh nooc dhexe, naag, naag shaqaale warshad ah, naag shaqaale warshad ah: jidh nooc dhexe, shaqaale, warshad, warshad ah
👩🏾‍🏭	isugeynta, jidh nooc madaw oo dhexe, naag, naag shaqaale warshad ah, naag shaqaale warshad ah: jidh nooc madaw oo dhexe, shaqaale, warshad, warshad ah
👩🏿‍🏭	isugeynta, jidh madaw, naag, naag shaqaale warshad ah, naag shaqaale warshad ah: jidh madaw, shaqaale, warshad, warshad ah
👨‍💼	ganacsi, maamule, muhindis dhismo, nin, nin shaqaale xafiis ah, shaqo xafiiseed
👨🏻‍💼	ganacsi, jidh fudud, maamule, muhindis dhismo, nin, nin shaqaale xafiis ah, nin shaqaale xafiis ah: jidh fudud, shaqo xafiiseed
👨🏼‍💼	ganacsi, jidh fudud oo dhexe, maamule, muhindis dhismo, nin, nin shaqaale xafiis ah, nin shaqaale xafiis ah: jidh fudud oo dhexe, shaqo xafiiseed
👨🏽‍💼	ganacsi, jidh nooc dhexe, maamule, muhindis dhismo, nin, nin shaqaale xafiis ah, nin shaqaale xafiis ah: jidh nooc dhexe, shaqo xafiiseed
👨🏾‍💼	ganacsi, jidh nooc madaw oo dhexe, maamule, muhindis dhismo, nin, nin shaqaale xafiis ah, nin shaqaale xafiis ah: jidh nooc madaw oo dhexe, shaqo xafiiseed
👨🏿‍💼	ganacsi, jidh madaw, maamule, muhindis dhismo, nin, nin shaqaale xafiis ah, nin shaqaale xafiis ah: jidh madaw, shaqo xafiiseed
👩‍💼	ganacsi, maamule, muhindiska dhismaha, naag, naag shaqaale xafiis ah, naag xafiis ka shaqaysa, shaqo xafiis
👩🏻‍💼	ganacsi, jidh fudud, maamule, muhindiska dhismaha, naag, naag shaqaale xafiis ah, naag shaqaale xafiis ah: jidh fudud, naag xafiis ka shaqaysa, shaqo xafiis
👩🏼‍💼	ganacsi, jidh fudud oo dhexe, maamule, muhindiska dhismaha, naag, naag shaqaale xafiis ah, naag shaqaale xafiis ah: jidh fudud oo dhexe, naag xafiis ka shaqaysa, shaqo xafiis
👩🏽‍💼	ganacsi, jidh nooc dhexe, maamule, muhindiska dhismaha, naag, naag shaqaale xafiis ah, naag shaqaale xafiis ah: jidh nooc dhexe, naag xafiis ka shaqaysa, shaqo xafiis
👩🏾‍💼	ganacsi, jidh nooc madaw oo dhexe, maamule, muhindiska dhismaha, naag, naag shaqaale xafiis ah, naag shaqaale xafiis ah: jidh nooc madaw oo dhexe, naag xafiis ka shaqaysa, shaqo xafiis
👩🏿‍💼	ganacsi, jidh madaw, maamule, muhindiska dhismaha, naag, naag shaqaale xafiis ah, naag shaqaale xafiis ah: jidh madaw, naag xafiis ka shaqaysa, shaqo xafiis
👨‍🔬	cilmiga nafleeyda barta, farmashiiste, injineer, khabiirka cilmiga sayniska, khabiirka fiisikiska, nin, saynisyahan
👨🏻‍🔬	cilmiga nafleeyda barta, farmashiiste, injineer, jidh fudud, khabiirka cilmiga sayniska, khabiirka fiisikiska, nin, saynisyahan, saynisyahan: jidh fudud
👨🏼‍🔬	cilmiga nafleeyda barta, farmashiiste, injineer, jidh fudud oo dhexe, khabiirka cilmiga sayniska, khabiirka fiisikiska, nin, saynisyahan, saynisyahan: jidh fudud oo dhexe
👨🏽‍🔬	cilmiga nafleeyda barta, farmashiiste, injineer, jidh nooc dhexe, khabiirka cilmiga sayniska, khabiirka fiisikiska, nin, saynisyahan, saynisyahan: jidh nooc dhexe
👨🏾‍🔬	cilmiga nafleeyda barta, farmashiiste, injineer, jidh nooc madaw oo dhexe, khabiirka cilmiga sayniska, khabiirka fiisikiska, nin, saynisyahan, saynisyahan: jidh nooc madaw oo dhexe
👨🏿‍🔬	cilmiga nafleeyda barta, farmashiiste, injineer, jidh madaw, khabiirka cilmiga sayniska, khabiirka fiisikiska, nin, saynisyahan, saynisyahan: jidh madaw
👩‍🔬	cilmiga nafleeyda barta, farmashiiste, haweeney cilmi sayniska taqaan, injineer, khabiirka cilmiga sayniska, khabiirka fiisikiska, naag
👩🏻‍🔬	cilmiga nafleeyda barta, farmashiiste, haweeney cilmi sayniska taqaan, haweeney cilmi sayniska taqaan: jidh fudud, injineer, jidh fudud, khabiirka cilmiga sayniska, khabiirka fiisikiska, naag
👩🏼‍🔬	cilmiga nafleeyda barta, farmashiiste, haweeney cilmi sayniska taqaan, haweeney cilmi sayniska taqaan: jidh fudud oo dhexe, injineer, jidh fudud oo dhexe, khabiirka cilmiga sayniska, khabiirka fiisikiska, naag
👩🏽‍🔬	cilmiga nafleeyda barta, farmashiiste, haweeney cilmi sayniska taqaan, haweeney cilmi sayniska taqaan: jidh nooc dhexe, injineer, jidh nooc dhexe, khabiirka cilmiga sayniska, khabiirka fiisikiska, naag
👩🏾‍🔬	cilmiga nafleeyda barta, farmashiiste, haweeney cilmi sayniska taqaan, haweeney cilmi sayniska taqaan: jidh nooc madaw oo dhexe, injineer, jidh nooc madaw oo dhexe, khabiirka cilmiga sayniska, khabiirka fiisikiska, naag
👩🏿‍🔬	cilmiga nafleeyda barta, farmashiiste, haweeney cilmi sayniska taqaan, haweeney cilmi sayniska taqaan: jidh madaw, injineer, jidh madaw, khabiirka cilmiga sayniska, khabiirka fiisikiska, naag
👨‍💻	Injineer, hindise, injineer, naag, nin tiknoolijiste ah, soo saare, sooftawee, tinkoolijiste
👨🏻‍💻	Injineer, hindise, injineer, jidh fudud, naag, nin tiknoolijiste ah, nin tiknoolijiste ah: jidh fudud, soo saare, sooftawee, tinkoolijiste
👨🏼‍💻	Injineer, hindise, injineer, jidh fudud oo dhexe, naag, nin tiknoolijiste ah, nin tiknoolijiste ah: jidh fudud oo dhexe, soo saare, sooftawee, tinkoolijiste
👨🏽‍💻	Injineer, hindise, injineer, jidh nooc dhexe, naag, nin tiknoolijiste ah, nin tiknoolijiste ah: jidh nooc dhexe, soo saare, sooftawee, tinkoolijiste
👨🏾‍💻	Injineer, hindise, injineer, jidh nooc madaw oo dhexe, naag, nin tiknoolijiste ah, nin tiknoolijiste ah: jidh nooc madaw oo dhexe, soo saare, sooftawee, tinkoolijiste
👨🏿‍💻	Injineer, hindise, injineer, jidh madaw, naag, nin tiknoolijiste ah, nin tiknoolijiste ah: jidh madaw, soo saare, sooftawee, tinkoolijiste
👩‍💻	hindise, injineer, naag, naag tiknoolijisate ah, soo saare, sooftawee, tiknoolijiste
👩🏻‍💻	hindise, injineer, jidh fudud, naag, naag tiknoolijisate ah, naag tiknoolijisate ah: jidh fudud, soo saare, sooftawee, tiknoolijiste
👩🏼‍💻	hindise, injineer, jidh fudud oo dhexe, naag, naag tiknoolijisate ah, naag tiknoolijisate ah: jidh fudud oo dhexe, soo saare, sooftawee, tiknoolijiste
👩🏽‍💻	hindise, injineer, jidh nooc dhexe, naag, naag tiknoolijisate ah, naag tiknoolijisate ah: jidh nooc dhexe, soo saare, sooftawee, tiknoolijiste
👩🏾‍💻	hindise, injineer, jidh nooc madaw oo dhexe, naag, naag tiknoolijisate ah, naag tiknoolijisate ah: jidh nooc madaw oo dhexe, soo saare, sooftawee, tiknoolijiste
👩🏿‍💻	hindise, injineer, jidh madaw, naag, naag tiknoolijisate ah, naag tiknoolijisate ah: jidh madaw, soo saare, sooftawee, tiknoolijiste
👨‍🎤	atoore, fannaan, maddadaaleeye, nin, nin fannaan ah, xiddig, xiddig heesaa
👨🏻‍🎤	atoore, fannaan, jidh fudud, maddadaaleeye, nin, nin fannaan ah, nin fannaan ah: jidh fudud, xiddig, xiddig heesaa
👨🏼‍🎤	atoore, fannaan, jidh fudud oo dhexe, maddadaaleeye, nin, nin fannaan ah, nin fannaan ah: jidh fudud oo dhexe, xiddig, xiddig heesaa
👨🏽‍🎤	atoore, fannaan, jidh nooc dhexe, maddadaaleeye, nin, nin fannaan ah, nin fannaan ah: jidh nooc dhexe, xiddig, xiddig heesaa
👨🏾‍🎤	atoore, fannaan, jidh nooc madaw oo dhexe, maddadaaleeye, nin, nin fannaan ah, nin fannaan ah: jidh nooc madaw oo dhexe, xiddig, xiddig heesaa
👨🏿‍🎤	atoore, fannaan, jidh madaw, maddadaaleeye, nin, nin fannaan ah, nin fannaan ah: jidh madaw, xiddig, xiddig heesaa
👩‍🎤	atoore, fannaan, maddadaaleeye, naag, naag fannaanad ah, xiddig, xiddig heesaa
👩🏻‍🎤	atoore, fannaan, jidh fudud, maddadaaleeye, naag, naag fannaanad ah, naag fannaanad ah: jidh fudud, xiddig, xiddig heesaa
👩🏼‍🎤	atoore, fannaan, jidh fudud oo dhexe, maddadaaleeye, naag, naag fannaanad ah, naag fannaanad ah: jidh fudud oo dhexe, xiddig, xiddig heesaa
👩🏽‍🎤	atoore, fannaan, jidh nooc dhexe, maddadaaleeye, naag, naag fannaanad ah, naag fannaanad ah: jidh nooc dhexe, xiddig, xiddig heesaa
👩🏾‍🎤	atoore, fannaan, jidh nooc madaw oo dhexe, maddadaaleeye, naag, naag fannaanad ah, naag fannaanad ah: jidh nooc madaw oo dhexe, xiddig, xiddig heesaa
👩🏿‍🎤	atoore, fannaan, jidh madaw, maddadaaleeye, naag, naag fannaanad ah, naag fannaanad ah: jidh madaw, xiddig, xiddig heesaa
👨‍🎨	farsama yaqaan, nin, nin farsama yaqaan ah, qalab farsamo
👨🏻‍🎨	farsama yaqaan, jidh fudud, nin, nin farsama yaqaan ah, nin farsama yaqaan ah: jidh fudud, qalab farsamo
👨🏼‍🎨	farsama yaqaan, jidh fudud oo dhexe, nin, nin farsama yaqaan ah, nin farsama yaqaan ah: jidh fudud oo dhexe, qalab farsamo
👨🏽‍🎨	farsama yaqaan, jidh nooc dhexe, nin, nin farsama yaqaan ah, nin farsama yaqaan ah: jidh nooc dhexe, qalab farsamo
👨🏾‍🎨	farsama yaqaan, jidh nooc madaw oo dhexe, nin, nin farsama yaqaan ah, nin farsama yaqaan ah: jidh nooc madaw oo dhexe, qalab farsamo
👨🏿‍🎨	farsama yaqaan, jidh madaw, nin, nin farsama yaqaan ah, nin farsama yaqaan ah: jidh madaw, qalab farsamo
👩‍🎨	farsama yaqaan, naag, naag farsama yaqaan ah, qalab farsamo
👩🏻‍🎨	farsama yaqaan, jidh fudud, naag, naag farsama yaqaan ah, naag farsama yaqaan ah: jidh fudud, qalab farsamo
👩🏼‍🎨	farsama yaqaan, jidh fudud oo dhexe, naag, naag farsama yaqaan ah, naag farsama yaqaan ah: jidh fudud oo dhexe, qalab farsamo
👩🏽‍🎨	farsama yaqaan, jidh nooc dhexe, naag, naag farsama yaqaan ah, naag farsama yaqaan ah: jidh nooc dhexe, qalab farsamo
👩🏾‍🎨	farsama yaqaan, jidh nooc madaw oo dhexe, naag, naag farsama yaqaan ah, naag farsama yaqaan ah: jidh nooc madaw oo dhexe, qalab farsamo
👩🏿‍🎨	farsama yaqaan, jidh madaw, naag, naag farsama yaqaan ah, naag farsama yaqaan ah: jidh madaw, qalab farsamo
👨‍✈	diyaarad, duuliye, nin, nin duuliye ah
👨🏻‍✈	diyaarad, duuliye, jidh fudud, nin, nin duuliye ah, nin duuliye ah: jidh fudud
👨🏼‍✈	diyaarad, duuliye, jidh fudud oo dhexe, nin, nin duuliye ah, nin duuliye ah: jidh fudud oo dhexe
👨🏽‍✈	diyaarad, duuliye, jidh nooc dhexe, nin, nin duuliye ah, nin duuliye ah: jidh nooc dhexe
👨🏾‍✈	diyaarad, duuliye, jidh nooc madaw oo dhexe, nin, nin duuliye ah, nin duuliye ah: jidh nooc madaw oo dhexe
👨🏿‍✈	diyaarad, duuliye, jidh madaw, nin, nin duuliye ah, nin duuliye ah: jidh madaw
👩‍✈	diyaarad, duuliye, naag, naag duuliye ah
👩🏻‍✈	diyaarad, duuliye, jidh fudud, naag, naag duuliye ah, naag duuliye ah: jidh fudud
👩🏼‍✈	diyaarad, duuliye, jidh fudud oo dhexe, naag, naag duuliye ah, naag duuliye ah: jidh fudud oo dhexe
👩🏽‍✈	diyaarad, duuliye, jidh nooc dhexe, naag, naag duuliye ah, naag duuliye ah: jidh nooc dhexe
👩🏾‍✈	diyaarad, duuliye, jidh nooc madaw oo dhexe, naag, naag duuliye ah, naag duuliye ah: jidh nooc madaw oo dhexe
👩🏿‍✈	diyaarad, duuliye, jidh madaw, naag, naag duuliye ah, naag duuliye ah: jidh madaw
👨‍🚀	cir bixiyeen, gantaal, nin, nin cirbixiyeen ah
👨🏻‍🚀	cir bixiyeen, gantaal, jidh fudud, nin, nin cirbixiyeen ah, nin cirbixiyeen ah: jidh fudud
👨🏼‍🚀	cir bixiyeen, gantaal, jidh fudud oo dhexe, nin, nin cirbixiyeen ah, nin cirbixiyeen ah: jidh fudud oo dhexe
👨🏽‍🚀	cir bixiyeen, gantaal, jidh nooc dhexe, nin, nin cirbixiyeen ah, nin cirbixiyeen ah: jidh nooc dhexe
👨🏾‍🚀	cir bixiyeen, gantaal, jidh nooc madaw oo dhexe, nin, nin cirbixiyeen ah, nin cirbixiyeen ah: jidh nooc madaw oo dhexe
👨🏿‍🚀	cir bixiyeen, gantaal, jidh madaw, nin, nin cirbixiyeen ah, nin cirbixiyeen ah: jidh madaw
👩‍🚀	cir bixiyeen, gantaal, naag, naag cir bixiyeenad ah
👩🏻‍🚀	cir bixiyeen, gantaal, jidh fudud, naag, naag cir bixiyeenad ah, naag cir bixiyeenad ah: jidh fudud
👩🏼‍🚀	cir bixiyeen, gantaal, jidh fudud oo dhexe, naag, naag cir bixiyeenad ah, naag cir bixiyeenad ah: jidh fudud oo dhexe
👩🏽‍🚀	cir bixiyeen, gantaal, jidh nooc dhexe, naag, naag cir bixiyeenad ah, naag cir bixiyeenad ah: jidh nooc dhexe
👩🏾‍🚀	cir bixiyeen, gantaal, jidh nooc madaw oo dhexe, naag, naag cir bixiyeenad ah, naag cir bixiyeenad ah: jidh nooc madaw oo dhexe
👩🏿‍🚀	cir bixiyeen, gantaal, jidh madaw, naag, naag cir bixiyeenad ah, naag cir bixiyeenad ah: jidh madaw
👨‍🚒	dab-demis, gaariga dab-demiska, nin, ninka dab-demiska ah
👨🏻‍🚒	dab-demis, gaariga dab-demiska, jidh fudud, nin, ninka dab-demiska ah, ninka dab-demiska ah: jidh fudud
👨🏼‍🚒	dab-demis, gaariga dab-demiska, jidh fudud oo dhexe, nin, ninka dab-demiska ah, ninka dab-demiska ah: jidh fudud oo dhexe
👨🏽‍🚒	dab-demis, gaariga dab-demiska, jidh nooc dhexe, nin, ninka dab-demiska ah, ninka dab-demiska ah: jidh nooc dhexe
👨🏾‍🚒	dab-demis, gaariga dab-demiska, jidh nooc madaw oo dhexe, nin, ninka dab-demiska ah, ninka dab-demiska ah: jidh nooc madaw oo dhexe
👨🏿‍🚒	dab-demis, gaariga dab-demiska, jidh madaw, nin, ninka dab-demiska ah, ninka dab-demiska ah: jidh madaw
👩‍🚒	dab-demis, gaariga dab-demiska, naag, naag dab-demis ah
👩🏻‍🚒	dab-demis, gaariga dab-demiska, jidh fudud, naag, naag dab-demis ah, naag dab-demis ah: jidh fudud
👩🏼‍🚒	dab-demis, gaariga dab-demiska, jidh fudud oo dhexe, naag, naag dab-demis ah, naag dab-demis ah: jidh fudud oo dhexe
👩🏽‍🚒	dab-demis, gaariga dab-demiska, jidh nooc dhexe, naag, naag dab-demis ah, naag dab-demis ah: jidh nooc dhexe
👩🏾‍🚒	dab-demis, gaariga dab-demiska, jidh nooc madaw oo dhexe, naag, naag dab-demis ah, naag dab-demis ah: jidh nooc madaw oo dhexe
👩🏿‍🚒	dab-demis, gaariga dab-demiska, jidh madaw, naag, naag dab-demis ah, naag dab-demis ah: jidh madaw
