😀	muka, muka tersengih, sengih
☣️	biobahaya, simbol
⬆️	anak panah, anak panah ke atas, arah, kardinal, utara
↗️	anak panah, anak panah penjuru atas kanan, antara kardinal, arah, timur laut
➡️	anak panah, anak panah ke kanan, arah, kardinal, timur
↘️	anak panah, anak panah penjuru bawah kanan, antara kardinal, arah, tenggara
⬇️	anak panah, anak panah ke bawah, arah, kardinal, ke bawah, selatan
↙️	anak panah, anak panah ke penjuru kiri bawah, antara kardinal, arah, barat daya
⬅️	anak panah, anak panah ke kiri, arah, barat, kardinal
↖️	anak panah, anak panah ke penjuru kiri atas, antara kardinal, arah, barat laut
↕️	anak panah, anak panah ke atas ke bawah
↔️	anak panah, anak panah ke kiri ke kanan
↩️	anak panah, anak panah ke kanan melengkung ke kiri
↪️	anak panah, anak panah ke kiri melengkung ke kanan
⤴️	anak panah, anak panah ke kanan melengkung ke atas
⤵️	anak panah, anak panah ke kanan melengkung ke bawah, ke bawah
🔃	anak panah, anak panah menegak ikut jam, ikut arah jam, muat semula
🔄	anak panah, arah lawan jam, bertentangan arah jam, butang anak panah lawan jam, lawan jam
🔙	anak panah, anak panah ‘BACK’, kembali
🔚	anak panah, anak panah ‘END’, tamat
🔛	anak panah, anak panah ON!, hidup, tanda
🔜	anak panah, anak panah ‘SOON’, tidak lama lagi
🔝	anak panah, anak panah ‘TOP’, atas, top
🛐	agama, ibadah, tempat ibadat
⚛️	ateis, atom, simbol atom
🕉️	agama, hindu, om
✡️	agama, bintang, bintang daud, daud, orang yahudi, yahudi
☸️	agama, dharma, penganut buddha, roda, roda dharma
☯️	agama, penganut tao, tao, yang, yin, yin yang
✝️	agama, kristian, salib, salib latin
☦️	agama, kristian, salib, salib ortodoks
☪️	agama, bintang dan bulan sabit, islam, orang islam
☮️	keamanan, simbol keamanan
🕎	agama, kaki lilin, kandelabrum, menorah
🔯	bintang, bintang berpenjuru enam berbintik, nasib
♈️	Aries, ram, zodiak
♉️	Taurus, lembu, lembu jantan, zodiak
♊️	Gemini, kembar, zodiak
♋️	Cancer, ketam, zodiak
♌️	Leo, singa, zodiak
♍️	Virgo, anak dara, perempuan muda, zodiak
♎️	Libra, keadilan, kira-kira, penimbang, zodiak
♏️	Scorpio, kala jengking, scorpio, zodiak
♐️	Sagittarius, pemanah, zodiak
♑️	Capricorn, kambing, zodiak
♒️	Aquarius, air, pembawa, zodiak
♓️	Pisces, ikan, zodiak
⛎	Ophiuchus, pembawa, ular, zodiak
🔀	anak panah, butang rombak trek, melintasi
🔁	anak panah, butang ulang, ikut jam, ulang
🔂	anak panah, butang ulang sekali, ikut jam, sekali
▶	anak panah, butang main, kanan, main, segi tiga
⏩	anak panah, berganda, butang mara laju, maju, pantas
⏭	adegan berikutnya, anak panah, butang trek berikutnya, segi tiga, trek berikutnya
⏯	anak panah, butang main atau jeda, jeda, kanan, main, segi tiga
◀	anak panah, butang undur, kiri, segi tiga, undur
⏪	anak panah, berganda, butang undur laju, mandir
⏮	adegan sebelumnya, anak panah, butang runut terakhir, runut sebelumnya, segi tiga
🔼	anak panah, butang, butang ke atas, merah
⏫	anak panah, berganda, butang laju ke atas
🔽	anak panah, butang, butang ke bawah, ke bawah, merah
⏬	anak panah, berganda, butang laju ke bawah, ke bawah
⏸️	berganda, butang jeda, jeda, menegak, palang
⏹️	butang henti, henti, persegi
⏺️	bulatan, butang rakam, rekod
⏏️	butang keluarkan, keluarkan
🎦	filem, kamera, panggung, wayang
🔅	butang malap, kecerahan, malap, rendah
🔆	butang cerah, cerah, kecerahan
📶	antena, fon, isyarat, mudah alih, palang, palang antena, sel, telefon
📳	fon, getaran, mod, mod getaran, mudah alih, sel, telefon
📴	fon, matikan, mudah alih, sel, telefon, telefon mudah alih dimatikan
♀️	simbol perempuan, wanita
♂️	lelaki, simbol lelaki
⚕️	perubatan, simbol perubatan, staf
♾️	infiniti, sejagat, selama-lamanya, tidak terbatas
♻️	kitar semula, simbol kitar semula
⚜	fleur-de-lis
🔱	alat, kapal, lambang, lambang trisula, sauh, trisula
📛	lencana, lencana nama, nama
🔰	alat, chevron, daun, hijau, jepun, kuning, pemula, simbol Jepun untuk pemula
⭕️	besar, bulatan, lohong bulatan besar, merah, o
✅	butang, butang tanda rait, rait, tanda, ✓
☑️	kotak, peti undi dengan tanda rait, peti undi dengan tanda semak, rait, ✓
✔️	rait, tanda, tanda rait, ✓
✖️	batal, darab, darab x tebal, pendaraban, tanda darab, x
❌	batal, darab, pendaraban, tanda, tanda pangkah, x, ×
❎	butang tanda pangkah, segi empat sama, tanda, x, ×
➕	+, campur, matematik, tanda, tanda campur
➖	-, matematik, tanda, tanda tolak, tolak, −
➗	bahagi, matematik, tanda, tanda bahagi, ÷
➰	gelung, gelung ikal, ikal
➿	berganda, gelung, gelung ikal berganda, ikal
〽️	bahagian, tanda, tanda penyelingan bahagian
✳️	*, asterisk, asterisk berjejari lapan
✴️	*, bintang, bintang berpenjuru lapan
❇️	*, kilauan
‼️	bangbang, seru, tanda, tanda baca, tanda seru berganda
⁉️	interrobang, seru, soalan, tanda, tanda baca, tanda soal seru
❓️	?, soalan, tanda, tanda baca, tanda soal
❔	?, digaris, soalan, tanda, tanda baca, tanda soal putih, tanda soalan putih
❕	digariskan, seru, tanda, tanda baca, tanda seru putih
❗️	!, seru, tanda, tanda baca, tanda seru
〰️	berombak-ombak, sengkang, sengkang berombak-ombak, tanda baca
©️	c, hak cipta
®️	berdaftar
™️	tanda, tanda dagangan, tm
#⃣	butang kekunci, butang kekunci: #
*⃣	butang kekunci, butang kekunci: *
0⃣	butang kekunci, butang kekunci: 0
1⃣	butang kekunci, butang kekunci: 1
2⃣	butang kekunci, butang kekunci: 2
3⃣	butang kekunci, butang kekunci: 3
4⃣	butang kekunci, butang kekunci: 4
5⃣	butang kekunci, butang kekunci: 5
6⃣	butang kekunci, butang kekunci: 6
7⃣	butang kekunci, butang kekunci: 7
8⃣	butang kekunci, butang kekunci: 8
9⃣	butang kekunci, butang kekunci: 9
🔟	butang kekunci, butang kekunci: 10
🔠	huruf, huruf besar, huruf besar latin input, input, latin
🔡	abcd, huruf, huruf kecil, huruf kecil latin input, input, latin
🔢	1234, input, nombor, nombor input
🔣	input, simbol input
🔤	abc, abjad, huruf, huruf latin input, input, latin
🅰️	a, butang A (jenis darah), darah
🆎	ab, butang AB (jenis darah), darah
🅱️	b, butang B (jenis darah), darah
🆑	butang CL, cl
🆒	butang COOL, sejuk
🆓	butang FREE, percuma
ℹ️	i, maklumat, sumber maklumat
🆔	butang ID, id, identiti
Ⓜ️	bulatan, huruf M dibulatkan, m
🆕	baharu, butang NEW
🆖	butang NG, ng
🅾️	butang O (jenis darah), darah, o
🆗	butang OK, ok
🅿️	butang P, letak kereta
🆘	bantu, butang SOS, sos
🆙	butang UP!, ke atas, tanda
🆚	butang VS, lawan, lwn.
🈁	butang ‘di sini’ Jepun, jepun
🈂️	Jepun, butang ‘caj perkhidmatan’ Jepun, katakana, サ
🈷	Jepun, butang “amaun bulanan” Jepun, ideograf, “amaun bulanan”, 月
🈶	Jepun, butang “bukan percuma” Jepun, ideograf, “bukan percuma”, 有
🈯	Jepun, butang “ditempah” Jepun, ideograf, “ditempah”, 指
🉐	Jepun, butang “murah” Jepun, ideograf, “murah”, 得
🈹	Jepun, butang “diskaun” Jepun, butang “ditempah” Jepun, ideograf, “diskaun”, 割
🈚	Jepun, butang “percuma” Jepun, ideograf, “percuma”, 無
🈲	Jepun, butang “dilarang” Jepun, butang “ditempah” Jepun, ideograf, “dilarang”, 禁
🉑	Jepun, butang “boleh diterima” Jepun, ideograf, “boleh diterima”, 可
🈸	Jepun, butang “aplikasi” Jepun, ideograf, “aplikasi”, 申
🈴	Jepun, butang “gred lulus” Jepun, ideograf, “gred lulus”, 合
🈳	Jepun, butang “kerja kosong” Jepun, ideograf, “kerja kosong”, 空
㊗️	Jepun, butang “tahniah” Jepun, ideograf, “tahniah”, 祝
㊙️	Jepun, butang “rahsia” Jepun, butang “tahniah” Jepun, ideograf, “tahniah”, 秘
🈺	Jepun, butang “dibuka untuk perniagaan” Jepun, ideograf, “dibuka untuk perniagaan”, 営
🈵	Jepun, butang “tiada kekosongan” Jepun, ideograf, “tiada kekosongan”, 満
🔴	bulatan, bulatan merah, geometri, merah
🟠	bulatan, bulatan jingga, jingga
🟡	bulatan, bulatan kuning, kuning
🟢	bulatan, bulatan hijau, hijau
🔵	biru, bulatan, bulatan biru, geometri
🟣	bulatan, bulatan ungu, ungu
🟤	bulatan, bulatan perang, perang
⚫️	bulatan, bulatan hitam, geometri
⚪️	bulatan, bulatan putih, geometri
🟥	merah, persegi, persegi merah
🟧	jingga, persegi, persegi jingga
🟨	kuning, persegi, persegi kuning
🟩	hijau, persegi, persegi hijau
🟦	biru, persegi, persegi biru
🟪	persegi, persegi ungu, ungu
🟫	perang, persegi, persegi perang
⬛️	geometri, persegi, persegi besar hitam
⬜️	geometri, persegi, persegi besar putih
◼️	geometri, persegi, persegi sederhana hitam
◻️	geometri, persegi, persegi sederhana putih
◾️	geometri, persegi, persegi sederhana kecil hitam
◽️	geometri, persegi, persegi sederhana kecil putih
▪️	geometri, persegi, persegi kecil hitam
▫️	geometri, persegi, persegi kecil putih
🔶	berlian, berlian jingga besar, geometri, oren
🔷	berlian, berlian biru besar, biru, geometri
🔸	berlian, berlian jingga kecil, geometri, oren
🔹	berlian, berlian biru kecil, biru, geometri
🔺	geometri, merah, segi tiga merah menunjuk ke atas
🔻	geometri, ke bawah, merah, segi tiga merah menunjuk ke bawah
💠	berlian, berlian berbintik, di dalam, geometri, komik
🔘	butang, butang radio, geometri, radio
🔳	butang, butang persegi putih, digariskan, geometri, persegi
🔲	butang, butang persegi hitam, geometri, persegi
🏁	bendera pelepas, bercorak dam, berpetak, lumba
🚩	bendera tiga segi, tiang
🎌	Jepun, bendera bersilang, bersilang, perayaan, silang
🏴	bendera hitam, mengibar
🏳️	bendera putih, mengibar
🏳‍🌈	bendera, bendera pelangi, pelangi
🏴‍☠	Jolly Roger, bendera lanun, harta karun, lanun, rampasan
🇦🇨	bendera, bendera: Pulau Ascension
🇦🇩	bendera, bendera: Andorra
🇦🇪	bendera, bendera: Emiriah Arab Bersatu
🇦🇫	bendera, bendera: Afghanistan
🇦🇬	bendera, bendera: Antigua dan Barbuda
🇦🇮	bendera, bendera: Anguilla
🇦🇱	bendera, bendera: Albania
🇦🇲	bendera, bendera: Armenia
🇦🇴	bendera, bendera: Angola
🇦🇶	bendera, bendera: Antartika
🇦🇷	bendera, bendera: Argentina
🇦🇸	bendera, bendera: Samoa Amerika
🇦🇹	bendera, bendera: Austria
🇦🇺	bendera, bendera: Australia
🇦🇼	bendera, bendera: Aruba
🇦🇽	bendera, bendera: Kepulauan Aland
🇦🇿	bendera, bendera: Azerbaijan
🇧🇦	bendera, bendera: Bosnia dan Herzegovina
🇧🇧	bendera, bendera: Barbados
🇧🇩	bendera, bendera: Bangladesh
🇧🇪	bendera, bendera: Belgium
🇧🇫	bendera, bendera: Burkina Faso
🇧🇬	bendera, bendera: Bulgaria
🇧🇭	bendera, bendera: Bahrain
🇧🇮	bendera, bendera: Burundi
🇧🇯	bendera, bendera: Benin
🇧🇱	bendera, bendera: St. Barthelemy
🇧🇲	bendera, bendera: Bermuda
🇧🇳	bendera, bendera: Brunei
🇧🇴	bendera, bendera: Bolivia
🇧🇶	bendera, bendera: Belanda Caribbean
🇧🇷	bendera, bendera: Brazil
🇧🇸	bendera, bendera: Bahamas
🇧🇹	bendera, bendera: Bhutan
🇧🇻	bendera, bendera: Pulau Bouvet
🇧🇼	bendera, bendera: Botswana
🇧🇾	bendera, bendera: Belarus
🇧🇿	bendera, bendera: Belize
🇨🇦	bendera, bendera: Kanada
🇨🇨	bendera, bendera: Kepulauan Cocos (Keeling)
🇨🇩	bendera, bendera: Congo - Kinshasa
🇨🇫	bendera, bendera: Republik Afrika Tengah
🇨🇬	bendera, bendera: Congo - Brazzaville
🇨🇭	bendera, bendera: Switzerland
🇨🇮	bendera, bendera: Cote d’Ivoire
🇨🇰	bendera, bendera: Kepulauan Cook
🇨🇱	bendera, bendera: Chile
🇨🇲	bendera, bendera: Cameroon
🇨🇳	bendera, bendera: China
🇨🇴	bendera, bendera: Colombia
🇨🇵	bendera, bendera: Pulau Clipperton
🇨🇷	bendera, bendera: Costa Rica
🇨🇺	bendera, bendera: Cuba
🇨🇻	bendera, bendera: Cape Verde
🇨🇼	bendera, bendera: Curacao
🇨🇽	bendera, bendera: Pulau Krismas
🇨🇾	bendera, bendera: Cyprus
🇨🇿	bendera, bendera: Czechia
🇩🇪	bendera, bendera: Jerman
🇩🇬	bendera, bendera: Diego Garcia
🇩🇯	bendera, bendera: Djibouti
🇩🇰	bendera, bendera: Denmark
🇩🇲	bendera, bendera: Dominica
🇩🇴	bendera, bendera: Republik Dominica
🇩🇿	bendera, bendera: Algeria
🇪🇦	bendera, bendera: Ceuta dan Melilla
🇪🇨	bendera, bendera: Ecuador
🇪🇪	bendera, bendera: Estonia
🇪🇬	bendera, bendera: Mesir
🇪🇭	bendera, bendera: Sahara Barat
🇪🇷	bendera, bendera: Eritrea
🇪🇸	bendera, bendera: Sepanyol
🇪🇹	bendera, bendera: Ethiopia
🇪🇺	bendera, bendera: Kesatuan Eropah
🇫🇮	bendera, bendera: Finland
🇫🇯	bendera, bendera: Fiji
🇫🇰	bendera, bendera: Kepulauan Falkland
🇫🇲	bendera, bendera: Micronesia
🇫🇴	bendera, bendera: Kepulauan Faroe
🇫🇷	bendera, bendera: Perancis
🇬🇦	bendera, bendera: Gabon
🇬🇧	bendera, bendera: United Kingdom
🇬🇩	bendera, bendera: Grenada
🇬🇪	bendera, bendera: Georgia
🇬🇫	bendera, bendera: Guiana Perancis
🇬🇬	bendera, bendera: Guernsey
🇬🇭	bendera, bendera: Ghana
🇬🇮	bendera, bendera: Gibraltar
🇬🇱	bendera, bendera: Greenland
🇬🇲	bendera, bendera: Gambia
🇬🇳	bendera, bendera: Guinea
🇬🇵	bendera, bendera: Guadeloupe
🇬🇶	bendera, bendera: Guinea Khatulistiwa
🇬🇷	bendera, bendera: Greece
🇬🇸	bendera, bendera: Kepulauan Georgia Selatan & Sandwich Selatan
🇬🇹	bendera, bendera: Guatemala
🇬🇺	bendera, bendera: Guam
🇬🇼	bendera, bendera: Guinea Bissau
🇬🇾	bendera, bendera: Guyana
🇭🇰	bendera, bendera: Hong Kong SAR China
🇭🇲	bendera, bendera: Kepulauan Heard & McDonald
🇭🇳	bendera, bendera: Honduras
🇭🇷	bendera, bendera: Croatia
🇭🇹	bendera, bendera: Haiti
🇭🇺	bendera, bendera: Hungary
🇮🇨	bendera, bendera: Kepulauan Canary
🇮🇩	bendera, bendera: Indonesia
🇮🇪	bendera, bendera: Ireland
🇮🇱	bendera, bendera: Israel
🇮🇲	bendera, bendera: Isle of Man
🇮🇳	bendera, bendera: India
🇮🇴	bendera, bendera: Wilayah Lautan Hindi British
🇮🇶	bendera, bendera: Iraq
🇮🇷	bendera, bendera: Iran
🇮🇸	bendera, bendera: Iceland
🇮🇹	bendera, bendera: Itali
🇯🇪	bendera, bendera: Jersey
🇯🇲	bendera, bendera: Jamaica
🇯🇴	bendera, bendera: Jordan
🇯🇵	bendera, bendera: Jepun
🇰🇪	bendera, bendera: Kenya
🇰🇬	bendera, bendera: Kyrgyzstan
🇰🇭	bendera, bendera: Kemboja
🇰🇮	bendera, bendera: Kiribati
🇰🇲	bendera, bendera: Comoros
🇰🇳	bendera, bendera: Saint Kitts dan Nevis
🇰🇵	bendera, bendera: Korea Utara
🇰🇷	bendera, bendera: Korea Selatan
🇰🇼	bendera, bendera: Kuwait
🇰🇾	bendera, bendera: Kepulauan Cayman
🇰🇿	bendera, bendera: Kazakhstan
🇱🇦	bendera, bendera: Laos
🇱🇧	bendera, bendera: Lubnan
🇱🇨	bendera, bendera: Saint Lucia
🇱🇮	bendera, bendera: Liechtenstein
🇱🇰	bendera, bendera: Sri Lanka
🇱🇷	bendera, bendera: Liberia
🇱🇸	bendera, bendera: Lesotho
🇱🇹	bendera, bendera: Lithuania
🇱🇺	bendera, bendera: Luxembourg
🇱🇻	bendera, bendera: Latvia
🇱🇾	bendera, bendera: Libya
🇲🇦	bendera, bendera: Maghribi
🇲🇨	bendera, bendera: Monaco
🇲🇩	bendera, bendera: Moldova
🇲🇪	bendera, bendera: Montenegro
🇲🇫	bendera, bendera: Saint Martin
🇲🇬	bendera, bendera: Madagaskar
🇲🇭	bendera, bendera: Kepulauan Marshall
🇲🇰	bendera, bendera: Macedonia Utara
🇲🇱	bendera, bendera: Mali
🇲🇲	bendera, bendera: Myanmar (Burma)
🇲🇳	bendera, bendera: Mongolia
🇲🇴	bendera, bendera: Macau SAR China
🇲🇵	bendera, bendera: Kepulauan Mariana Utara
🇲🇶	bendera, bendera: Martinique
🇲🇷	bendera, bendera: Mauritania
🇲🇸	bendera, bendera: Montserrat
🇲🇹	bendera, bendera: Malta
🇲🇺	bendera, bendera: Mauritius
🇲🇻	bendera, bendera: Maldives
🇲🇼	bendera, bendera: Malawi
🇲🇽	bendera, bendera: Mexico
🇲🇾	bendera, bendera: Malaysia
🇲🇿	bendera, bendera: Mozambique
🇳🇦	bendera, bendera: Namibia
🇳🇨	bendera, bendera: New Caledonia
🇳🇪	bendera, bendera: Niger
🇳🇫	bendera, bendera: Pulau Norfolk
🇳🇬	bendera, bendera: Nigeria
🇳🇮	bendera, bendera: Nicaragua
🇳🇱	bendera, bendera: Belanda
🇳🇴	bendera, bendera: Norway
🇳🇵	bendera, bendera: Nepal
🇳🇷	bendera, bendera: Nauru
🇳🇺	bendera, bendera: Niue
🇳🇿	bendera, bendera: New Zealand
🇴🇲	bendera, bendera: Oman
🇵🇦	bendera, bendera: Panama
🇵🇪	bendera, bendera: Peru
🇵🇫	bendera, bendera: Polinesia Perancis
🇵🇬	bendera, bendera: Papua New Guinea
🇵🇭	bendera, bendera: Filipina
🇵🇰	bendera, bendera: Pakistan
🇵🇱	bendera, bendera: Poland
🇵🇲	bendera, bendera: Saint Pierre dan Miquelon
🇵🇳	bendera, bendera: Kepulauan Pitcairn
🇵🇷	bendera, bendera: Puerto Rico
🇵🇸	bendera, bendera: Wilayah Palestin
🇵🇹	bendera, bendera: Portugal
🇵🇼	bendera, bendera: Palau
🇵🇾	bendera, bendera: Paraguay
🇶🇦	bendera, bendera: Qatar
🇷🇪	bendera, bendera: Reunion
🇷🇴	bendera, bendera: Romania
🇷🇸	bendera, bendera: Serbia
🇷🇺	bendera, bendera: Rusia
🇷🇼	bendera, bendera: Rwanda
🇸🇦	bendera, bendera: Arab Saudi
🇸🇧	bendera, bendera: Kepulauan Solomon
🇸🇨	bendera, bendera: Seychelles
🇸🇩	bendera, bendera: Sudan
🇸🇪	bendera, bendera: Sweden
🇸🇬	bendera, bendera: Singapura
🇸🇭	bendera, bendera: Saint Helena
🇸🇮	bendera, bendera: Slovenia
🇸🇯	bendera, bendera: Svalbard dan Jan Mayen
🇸🇰	bendera, bendera: Slovakia
🇸🇱	bendera, bendera: Sierra Leone
🇸🇲	bendera, bendera: San Marino
🇸🇳	bendera, bendera: Senegal
🇸🇴	bendera, bendera: Somalia
🇸🇷	bendera, bendera: Surinam
🇸🇸	bendera, bendera: Sudan Selatan
🇸🇹	bendera, bendera: Sao Tome dan Principe
🇸🇻	bendera, bendera: El Salvador
🇸🇽	bendera, bendera: Sint Maarten
🇸🇾	bendera, bendera: Syria
🇸🇿	bendera, bendera: Swaziland
🇹🇦	bendera, bendera: Tristan da Cunha
🇹🇨	bendera, bendera: Kepulauan Turks dan Caicos
🇹🇩	bendera, bendera: Chad
🇹🇫	bendera, bendera: Wilayah Selatan Perancis
🇹🇬	bendera, bendera: Togo
🇹🇭	bendera, bendera: Thailand
🇹🇯	bendera, bendera: Tajikistan
🇹🇰	bendera, bendera: Tokelau
🇹🇱	bendera, bendera: Timor-Leste
🇹🇲	bendera, bendera: Turkmenistan
🇹🇳	bendera, bendera: Tunisia
🇹🇴	bendera, bendera: Tonga
🇹🇷	bendera, bendera: Turki
🇹🇹	bendera, bendera: Trinidad dan Tobago
🇹🇻	bendera, bendera: Tuvalu
🇹🇼	bendera, bendera: Taiwan
🇹🇿	bendera, bendera: Tanzania
🇺🇦	bendera, bendera: Ukraine
🇺🇬	bendera, bendera: Uganda
🇺🇲	bendera, bendera: Kepulauan Terpencil A.S.
🇺🇳	bendera, bendera: Bangsa-bangsa Bersatu
