😀	tirjaygan yuz, tirjayish, yuz
👨🏿‍🍳	6-teri turi, bosh oshpaz, erkak, erkak oshpaz: 6-teri turi, kishi, oshpaz
👩‍🍳	ayol, ayol oshpaz, bosh oshpaz, oshpaz, xotin
👩🏻‍🍳	1–2-teri turi, ayol, ayol oshpaz: 1–2-teri turi, bosh oshpaz, oshpaz, xotin
👩🏼‍🍳	3-teri turi, ayol, ayol oshpaz: 3-teri turi, bosh oshpaz, oshpaz, xotin
👩🏽‍🍳	4-teri turi, ayol, ayol oshpaz: 4-teri turi, bosh oshpaz, oshpaz, xotin
👩🏾‍🍳	5-teri turi, ayol, ayol oshpaz: 5-teri turi, bosh oshpaz, oshpaz, xotin
👩🏿‍🍳	6-teri turi, ayol, ayol oshpaz: 6-teri turi, bosh oshpaz, oshpaz, xotin
👨‍🔧	elektrik, erkak mexanik, mexanik, santexnik, sotuvchi
👨🏻‍🔧	1–2-teri turi, elektrik, erkak mexanik, erkak mexanik: 1–2-teri turi, mexanik, santexnik, sotuvchi
👨🏼‍🔧	3-teri turi, elektrik, erkak mexanik, erkak mexanik: 3-teri turi, mexanik, santexnik, sotuvchi
👨🏽‍🔧	4-teri turi, elektrik, erkak mexanik, erkak mexanik: 4-teri turi, mexanik, santexnik, sotuvchi
👨🏾‍🔧	5-teri turi, elektrik, erkak mexanik, erkak mexanik: 5-teri turi, mexanik, santexnik, sotuvchi
👨🏿‍🔧	6-teri turi, elektrik, erkak mexanik, erkak mexanik: 6-teri turi, mexanik, santexnik, sotuvchi
👩‍🔧	ayol mexanik, elektrik, mexanik, santexnik, sotuvchi
👩🏻‍🔧	1–2-teri turi, ayol mexanik, ayol mexanik: 1–2-teri turi, elektrik, mexanik, santexnik, sotuvchi
👩🏼‍🔧	3-teri turi, ayol mexanik, ayol mexanik: 3-teri turi, elektrik, mexanik, santexnik, sotuvchi
👩🏽‍🔧	4-teri turi, ayol mexanik, ayol mexanik: 4-teri turi, elektrik, mexanik, santexnik, sotuvchi
👩🏾‍🔧	5-teri turi, ayol mexanik, ayol mexanik: 5-teri turi, elektrik, mexanik, santexnik, sotuvchi
👩🏿‍🔧	6-teri turi, ayol mexanik, ayol mexanik: 6-teri turi, elektrik, mexanik, santexnik, sotuvchi
👨‍🏭	erkak zavod ishchisi, ishchi, sanoat, yig‘uv, zavod
👨🏻‍🏭	1–2-teri turi, erkak zavod ishchisi, erkak zavod ishchisi: 1–2-teri turi, ishchi, sanoat, yig‘uv, zavod
👨🏼‍🏭	3-teri turi, erkak zavod ishchisi, erkak zavod ishchisi: 3-teri turi, ishchi, sanoat, yig‘uv, zavod
👨🏽‍🏭	4-teri turi, erkak zavod ishchisi, erkak zavod ishchisi: 4-teri turi, ishchi, sanoat, yig‘uv, zavod
👨🏾‍🏭	5-teri turi, erkak zavod ishchisi, erkak zavod ishchisi: 5-teri turi, ishchi, sanoat, yig‘uv, zavod
👨🏿‍🏭	6-teri turi, erkak zavod ishchisi, erkak zavod ishchisi: 6-teri turi, ishchi, sanoat, yig‘uv, zavod
👩‍🏭	ayol zavod ishchisi, ishchi, sanoat, yig‘uv, zavod
👩🏻‍🏭	1–2-teri turi, ayol zavod ishchisi, ayol zavod ishchisi: 1–2-teri turi, ishchi, sanoat, yig‘uv, zavod
👩🏼‍🏭	3-teri turi, ayol zavod ishchisi, ayol zavod ishchisi: 3-teri turi, ishchi, sanoat, yig‘uv, zavod
👩🏽‍🏭	4-teri turi, ayol zavod ishchisi, ayol zavod ishchisi: 4-teri turi, ishchi, sanoat, yig‘uv, zavod
👩🏾‍🏭	5-teri turi, ayol zavod ishchisi, ayol zavod ishchisi: 5-teri turi, ishchi, sanoat, yig‘uv, zavod
👩🏿‍🏭	6-teri turi, ayol zavod ishchisi, ayol zavod ishchisi: 6-teri turi, ishchi, sanoat, yig‘uv, zavod
👨‍💼	arxitektor, biznes, erkak ofis xodimi, menejer, ofis
👨🏻‍💼	1–2-teri turi, arxitektor, biznes, erkak ofis xodimi, erkak ofis xodimi: 1–2-teri turi, menejer, ofis
👨🏼‍💼	3-teri turi, arxitektor, biznes, erkak ofis xodimi, erkak ofis xodimi: 3-teri turi, menejer, ofis
👨🏽‍💼	4-teri turi, arxitektor, biznes, erkak ofis xodimi, erkak ofis xodimi: 4-teri turi, menejer, ofis
👨🏾‍💼	5-teri turi, arxitektor, biznes, erkak ofis xodimi, erkak ofis xodimi: 5-teri turi, menejer, ofis
👨🏿‍💼	6-teri turi, arxitektor, biznes, erkak ofis xodimi, erkak ofis xodimi: 6-teri turi, menejer, ofis
👩‍💼	arxitektor, ayol ofis xodimi, biznes, menejer, ofis
👩🏻‍💼	1–2-teri turi, arxitektor, ayol ofis xodimi, ayol ofis xodimi: 1–2-teri turi, biznes, menejer, ofis
👩🏼‍💼	3-teri turi, arxitektor, ayol ofis xodimi, ayol ofis xodimi: 3-teri turi, biznes, menejer, ofis
👩🏽‍💼	4-teri turi, arxitektor, ayol ofis xodimi, ayol ofis xodimi: 4-teri turi, biznes, menejer, ofis
👩🏾‍💼	5-teri turi, arxitektor, ayol ofis xodimi, ayol ofis xodimi: 5-teri turi, biznes, menejer, ofis
👩🏿‍💼	6-teri turi, arxitektor, ayol ofis xodimi, ayol ofis xodimi: 6-teri turi, biznes, menejer, ofis
👨‍🔬	biolog, erkak olim, kimyogar, matematik, muhandis
👨🏻‍🔬	1–2-teri turi, biolog, erkak olim, erkak olim: 1–2-teri turi, kimyogar, matematik, muhandis
👨🏼‍🔬	3-teri turi, biolog, erkak olim, erkak olim: 3-teri turi, kimyogar, matematik, muhandis
👨🏽‍🔬	4-teri turi, biolog, erkak olim, erkak olim: 4-teri turi, kimyogar, matematik, muhandis
👨🏾‍🔬	5-teri turi, biolog, erkak olim, erkak olim: 5-teri turi, kimyogar, matematik, muhandis
👨🏿‍🔬	6-teri turi, biolog, erkak olim, erkak olim: 6-teri turi, kimyogar, matematik, muhandis
👩‍🔬	ayol olim, biolog, kimyogar, matematik, muhandis
👩🏻‍🔬	1–2-teri turi, ayol olim, ayol olim: 1–2-teri turi, biolog, kimyogar, matematik, muhandis
👩🏼‍🔬	3-teri turi, ayol olim, ayol olim: 3-teri turi, biolog, kimyogar, matematik, muhandis
👩🏽‍🔬	4-teri turi, ayol olim, ayol olim: 4-teri turi, biolog, kimyogar, matematik, muhandis
👩🏾‍🔬	5-teri turi, ayol olim, ayol olim: 5-teri turi, biolog, kimyogar, matematik, muhandis
👩🏿‍🔬	6-teri turi, ayol olim, ayol olim: 6-teri turi, biolog, kimyogar, matematik, muhandis
👨‍💻	erkak texnolog, ishlab chiquvchi, ixtirochi, kodchi
👨🏻‍💻	1–2-teri turi, erkak texnolog, erkak texnolog: 1–2-teri turi, ishlab chiquvchi, ixtirochi, kodchi
👨🏼‍💻	3-teri turi, erkak texnolog, erkak texnolog: 3-teri turi, ishlab chiquvchi, ixtirochi, kodchi
👨🏽‍💻	4-teri turi, erkak texnolog, erkak texnolog: 4-teri turi, ishlab chiquvchi, ixtirochi, kodchi
👨🏾‍💻	5-teri turi, erkak texnolog, erkak texnolog: 5-teri turi, ishlab chiquvchi, ixtirochi, kodchi
👨🏿‍💻	6-teri turi, erkak texnolog, erkak texnolog: 6-teri turi, ishlab chiquvchi, ixtirochi, kodchi
👩‍💻	ayol texnolog, ishlab chiquvchi, ixtirochi, kodchi
👩🏻‍💻	1–2-teri turi, ayol texnolog, ayol texnolog: 1–2-teri turi, ishlab chiquvchi, ixtirochi, kodchi
👩🏼‍💻	3-teri turi, ayol texnolog, ayol texnolog: 3-teri turi, ishlab chiquvchi, ixtirochi, kodchi
👩🏽‍💻	4-teri turi, ayol texnolog, ayol texnolog: 4-teri turi, ishlab chiquvchi, ixtirochi, kodchi
👩🏾‍💻	5-teri turi, ayol texnolog, ayol texnolog: 5-teri turi, ishlab chiquvchi, ixtirochi, kodchi
👩🏿‍💻	6-teri turi, ayol texnolog, ayol texnolog: 6-teri turi, ishlab chiquvchi, ixtirochi, kodchi
👨‍🎤	aktor, erkak qo‘shiqchi, estrada artisti, qo‘shiqchi, rok
👨🏻‍🎤	1–2-teri turi, aktor, erkak qo‘shiqchi, erkak qo‘shiqchi: 1–2-teri turi, estrada artisti, qo‘shiqchi, rok
👨🏼‍🎤	3-teri turi, aktor, erkak qo‘shiqchi, erkak qo‘shiqchi: 3-teri turi, estrada artisti, qo‘shiqchi, rok
👨🏽‍🎤	4-teri turi, aktor, erkak qo‘shiqchi, erkak qo‘shiqchi: 4-teri turi, estrada artisti, qo‘shiqchi, rok
👨🏾‍🎤	5-teri turi, aktor, erkak qo‘shiqchi, erkak qo‘shiqchi: 5-teri turi, estrada artisti, qo‘shiqchi, rok
👨🏿‍🎤	6-teri turi, aktor, erkak qo‘shiqchi, erkak qo‘shiqchi: 6-teri turi, estrada artisti, qo‘shiqchi, rok
👩‍🎤	aktor, ayol qo‘shiqchi, estrada artisti, qo‘shiqchi, rok
👩🏻‍🎤	1–2-teri turi, aktor, ayol qo‘shiqchi, ayol qo‘shiqchi: 1–2-teri turi, estrada artisti, qo‘shiqchi, rok
👩🏼‍🎤	3-teri turi, aktor, ayol qo‘shiqchi, ayol qo‘shiqchi: 3-teri turi, estrada artisti, qo‘shiqchi, rok
👩🏽‍🎤	4-teri turi, aktor, ayol qo‘shiqchi, ayol qo‘shiqchi: 4-teri turi, estrada artisti, qo‘shiqchi, rok
👩🏾‍🎤	5-teri turi, aktor, ayol qo‘shiqchi, ayol qo‘shiqchi: 5-teri turi, estrada artisti, qo‘shiqchi, rok
👩🏿‍🎤	6-teri turi, aktor, ayol qo‘shiqchi, ayol qo‘shiqchi: 6-teri turi, estrada artisti, qo‘shiqchi, rok
👨‍🎨	artist, erkak, erkak rassom, kishi, palitra
👨🏻‍🎨	1–2-teri turi, artist, erkak, erkak rassom, erkak rassom: 1–2-teri turi, kishi, palitra
👨🏼‍🎨	3-teri turi, artist, erkak, erkak rassom, erkak rassom: 3-teri turi, kishi, palitra
👨🏽‍🎨	4-teri turi, artist, erkak, erkak rassom, erkak rassom: 4-teri turi, kishi, palitra
👨🏾‍🎨	5-teri turi, artist, erkak, erkak rassom, erkak rassom: 5-teri turi, kishi, palitra
👨🏿‍🎨	6-teri turi, artist, erkak, erkak rassom, erkak rassom: 6-teri turi, kishi, palitra
👩‍🎨	artist, ayol, ayol rassom, palitra, xotin
👩🏻‍🎨	1–2-teri turi, artist, ayol, ayol rassom, ayol rassom: 1–2-teri turi, palitra, xotin
👩🏼‍🎨	3-teri turi, artist, ayol, ayol rassom, ayol rassom: 3-teri turi, palitra, xotin
👩🏽‍🎨	4-teri turi, artist, ayol, ayol rassom, ayol rassom: 4-teri turi, palitra, xotin
👩🏾‍🎨	5-teri turi, artist, ayol, ayol rassom, ayol rassom: 5-teri turi, palitra, xotin
👩🏿‍🎨	6-teri turi, artist, ayol, ayol rassom, ayol rassom: 6-teri turi, palitra, xotin
👨‍✈	erkak, erkak uchuvchi, kishi, samolyot, uchuvchi
👨🏻‍✈	1–2-teri turi, erkak, erkak uchuvchi: 1–2-teri turi, kishi, samolyot, uchuvchi
👨🏼‍✈	3-teri turi, erkak, erkak uchuvchi: 3-teri turi, kishi, samolyot, uchuvchi
👨🏽‍✈	4-teri turi, erkak, erkak uchuvchi: 4-teri turi, kishi, samolyot, uchuvchi
👨🏾‍✈	5-teri turi, erkak, erkak uchuvchi: 5-teri turi, kishi, samolyot, uchuvchi
👨🏿‍✈	6-teri turi, erkak, erkak uchuvchi: 6-teri turi, kishi, samolyot, uchuvchi
👩‍✈	ayol, ayol uchuvchi, samolyot, uchuvchi, xotin
👩🏻‍✈	1–2-teri turi, ayol, ayol uchuvchi: 1–2-teri turi, samolyot, uchuvchi, xotin
👩🏼‍✈	3-teri turi, ayol, ayol uchuvchi: 3-teri turi, samolyot, uchuvchi, xotin
👩🏽‍✈	4-teri turi, ayol, ayol uchuvchi: 4-teri turi, samolyot, uchuvchi, xotin
👩🏾‍✈	5-teri turi, ayol, ayol uchuvchi: 5-teri turi, samolyot, uchuvchi, xotin
👩🏿‍✈	6-teri turi, ayol, ayol uchuvchi: 6-teri turi, samolyot, uchuvchi, xotin
👨‍🚀	erkak, erkak kosmonavt, fazo, kosmonavt, raketa
👨🏻‍🚀	1–2-teri turi, erkak, erkak kosmonavt: 1–2-teri turi, fazo, kosmonavt, raketa
👨🏼‍🚀	3-teri turi, erkak, erkak kosmonavt: 3-teri turi, fazo, kosmonavt, raketa
👨🏽‍🚀	4-teri turi, erkak, erkak kosmonavt: 4-teri turi, fazo, kosmonavt, raketa
👨🏾‍🚀	5-teri turi, erkak, erkak kosmonavt: 5-teri turi, fazo, kosmonavt, raketa
👨🏿‍🚀	6-teri turi, erkak, erkak kosmonavt: 6-teri turi, fazo, kosmonavt, raketa
👩‍🚀	ayol, ayol kosmonavt, fazo, kosmonavt, raketa
👩🏻‍🚀	1–2-teri turi, ayol, ayol kosmonavt: 1–2-teri turi, fazo, kosmonavt, raketa
👩🏼‍🚀	3-teri turi, ayol, ayol kosmonavt: 3-teri turi, fazo, kosmonavt, raketa
👩🏽‍🚀	4-teri turi, ayol, ayol kosmonavt: 4-teri turi, fazo, kosmonavt, raketa
👩🏾‍🚀	5-teri turi, ayol, ayol kosmonavt: 5-teri turi, fazo, kosmonavt, raketa
👩🏿‍🚀	6-teri turi, ayol, ayol kosmonavt: 6-teri turi, fazo, kosmonavt, raketa
👨‍🚒	erkak, erkak o‘t o‘chiruvchi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👨🏻‍🚒	1–2-teri turi, erkak, erkak o‘t o‘chiruvchi, erkak o‘t o‘chiruvchi: 1–2-teri turi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👨🏼‍🚒	3-teri turi, erkak, erkak o‘t o‘chiruvchi, erkak o‘t o‘chiruvchi: 3-teri turi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👨🏽‍🚒	4-teri turi, erkak, erkak o‘t o‘chiruvchi, erkak o‘t o‘chiruvchi: 4-teri turi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👨🏾‍🚒	5-teri turi, erkak, erkak o‘t o‘chiruvchi, erkak o‘t o‘chiruvchi: 5-teri turi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👨🏿‍🚒	6-teri turi, erkak, erkak o‘t o‘chiruvchi, erkak o‘t o‘chiruvchi: 6-teri turi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👩‍🚒	ayol, ayol o‘t o‘chiruvchi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👩🏻‍🚒	1–2-teri turi, ayol, ayol o‘t o‘chiruvchi, ayol o‘t o‘chiruvchi: 1–2-teri turi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👩🏼‍🚒	3-teri turi, ayol, ayol o‘t o‘chiruvchi, ayol o‘t o‘chiruvchi: 3-teri turi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👩🏽‍🚒	4-teri turi, ayol, ayol o‘t o‘chiruvchi, ayol o‘t o‘chiruvchi: 4-teri turi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👩🏾‍🚒	5-teri turi, ayol, ayol o‘t o‘chiruvchi, ayol o‘t o‘chiruvchi: 5-teri turi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👩🏿‍🚒	6-teri turi, ayol, ayol o‘t o‘chiruvchi, ayol o‘t o‘chiruvchi: 6-teri turi, o‘t o‘chirish mashinasi, o‘t o‘chiruvchi
👮	militsioner, mirshab, politsiya, politsiya xodimi
👮🏻	1–2-teri turi, militsioner, mirshab, politsiya, politsiya xodimi, politsiya xodimi: 1–2-teri turi
👮🏼	3-teri turi, militsioner, mirshab, politsiya, politsiya xodimi, politsiya xodimi: 3-teri turi
👮🏽	4-teri turi, militsioner, mirshab, politsiya, politsiya xodimi, politsiya xodimi: 4-teri turi
👮🏾	5-teri turi, militsioner, mirshab, politsiya, politsiya xodimi, politsiya xodimi: 5-teri turi
👮🏿	6-teri turi, militsioner, mirshab, politsiya, politsiya xodimi, politsiya xodimi: 6-teri turi
👮‍♂	erkak, erkak politsiyachi, politsiya, politsiyachi
👮🏻‍♂	1–2-teri turi, erkak, erkak politsiyachi: 1–2-teri turi, politsiya, politsiyachi
👮🏼‍♂	3-teri turi, erkak, erkak politsiyachi: 3-teri turi, politsiya, politsiyachi
👮🏽‍♂	4-teri turi, erkak, erkak politsiyachi: 4-teri turi, politsiya, politsiyachi
👮🏾‍♂	5-teri turi, erkak, erkak politsiyachi: 5-teri turi, politsiya, politsiyachi
👮🏿‍♂	6-teri turi, erkak, erkak politsiyachi: 6-teri turi, politsiya, politsiyachi
👮‍♀	ayol, ayol politsiyachi, politsiya, politsiyachi
👮🏻‍♀	1–2-teri turi, ayol, ayol politsiyachi: 1–2-teri turi, politsiya, politsiyachi
👮🏼‍♀	3-teri turi, ayol, ayol politsiyachi: 3-teri turi, politsiya, politsiyachi
👮🏽‍♀	4-teri turi, ayol, ayol politsiyachi: 4-teri turi, politsiya, politsiyachi
👮🏾‍♀	5-teri turi, ayol, ayol politsiyachi: 5-teri turi, politsiya, politsiyachi
👮🏿‍♀	6-teri turi, ayol, ayol politsiyachi: 6-teri turi, politsiya, politsiyachi
🕵️	izquvar, josus
🕵🏻	1–2-teri turi, izquvar, izquvar: 1–2-teri turi, josus
🕵🏼	3-teri turi, izquvar, izquvar: 3-teri turi, josus
🕵🏽	4-teri turi, izquvar, izquvar: 4-teri turi, josus
🕵🏾	5-teri turi, izquvar, izquvar: 5-teri turi, josus
🕵🏿	6-teri turi, izquvar, izquvar: 6-teri turi, josus
🕵‍♂	detektiv, erkak, erkak izquvar, izquvar, josus
🕵🏻‍♂	1–2-teri turi, detektiv, erkak, erkak izquvar: 1–2-teri turi, izquvar, josus
🕵🏼‍♂	3-teri turi, detektiv, erkak, erkak izquvar: 3-teri turi, izquvar, josus
🕵🏽‍♂	4-teri turi, detektiv, erkak, erkak izquvar: 4-teri turi, izquvar, josus
🕵🏾‍♂	5-teri turi, detektiv, erkak, erkak izquvar: 5-teri turi, izquvar, josus
🕵🏿‍♂	6-teri turi, detektiv, erkak, erkak izquvar: 6-teri turi, izquvar, josus
🕵‍♀	ayol, ayol izquvar, detektiv, izquvar, josus
🕵🏻‍♀	1–2-teri turi, ayol, ayol izquvar: 1–2-teri turi, detektiv, izquvar, josus
🕵🏼‍♀	3-teri turi, ayol, ayol izquvar: 3-teri turi, detektiv, izquvar, josus
🕵🏽‍♀	4-teri turi, ayol, ayol izquvar: 4-teri turi, detektiv, izquvar, josus
🕵🏾‍♀	5-teri turi, ayol, ayol izquvar: 5-teri turi, detektiv, izquvar, josus
🕵🏿‍♀	6-teri turi, ayol, ayol izquvar: 6-teri turi, detektiv, izquvar, josus
💂	qo‘riqchi, soqchi
💂🏻	1–2-teri turi, qo‘riqchi, qo‘riqchi: 1–2-teri turi, soqchi
💂🏼	3-teri turi, qo‘riqchi, qo‘riqchi: 3-teri turi, soqchi
💂🏽	4-teri turi, qo‘riqchi, qo‘riqchi: 4-teri turi, soqchi
💂🏾	5-teri turi, qo‘riqchi, qo‘riqchi: 5-teri turi, soqchi
💂🏿	6-teri turi, qo‘riqchi, qo‘riqchi: 6-teri turi, soqchi
💂‍♂	erkak, erkak qo‘riqchi, qo‘riqchi
💂🏻‍♂	1–2-teri turi, erkak, erkak qo‘riqchi: 1–2-teri turi, qo‘riqchi
💂🏼‍♂	3-teri turi, erkak, erkak qo‘riqchi: 3-teri turi, qo‘riqchi
💂🏽‍♂	4-teri turi, erkak, erkak qo‘riqchi: 4-teri turi, qo‘riqchi
💂🏾‍♂	5-teri turi, erkak, erkak qo‘riqchi: 5-teri turi, qo‘riqchi
💂🏿‍♂	6-teri turi, erkak, erkak qo‘riqchi: 6-teri turi, qo‘riqchi
💂‍♀	ayol, ayol qo‘riqchi, qo‘riqchi
💂🏻‍♀	1–2-teri turi, ayol, ayol qo‘riqchi: 1–2-teri turi, qo‘riqchi
💂🏼‍♀	3-teri turi, ayol, ayol qo‘riqchi: 3-teri turi, qo‘riqchi
💂🏽‍♀	4-teri turi, ayol, ayol qo‘riqchi: 4-teri turi, qo‘riqchi
💂🏾‍♀	5-teri turi, ayol, ayol qo‘riqchi: 5-teri turi, qo‘riqchi
💂🏿‍♀	6-teri turi, ayol, ayol qo‘riqchi: 6-teri turi, qo‘riqchi
👷	bosh kiyim, ishchi, qurilish, quruvchi
👷🏻	1–2-teri turi, bosh kiyim, ishchi, qurilish, quruvchi, quruvchi: 1–2-teri turi
👷🏼	3-teri turi, bosh kiyim, ishchi, qurilish, quruvchi, quruvchi: 3-teri turi
👷🏽	4-teri turi, bosh kiyim, ishchi, qurilish, quruvchi, quruvchi: 4-teri turi
👷🏾	5-teri turi, bosh kiyim, ishchi, qurilish, quruvchi, quruvchi: 5-teri turi
👷🏿	6-teri turi, bosh kiyim, ishchi, qurilish, quruvchi, quruvchi: 6-teri turi
👷‍♂	erkak, erkak quruvchi, qurilish, quruvchi
👷🏻‍♂	1–2-teri turi, erkak, erkak quruvchi: 1–2-teri turi, qurilish, quruvchi
👷🏼‍♂	3-teri turi, erkak, erkak quruvchi: 3-teri turi, qurilish, quruvchi
👷🏽‍♂	4-teri turi, erkak, erkak quruvchi: 4-teri turi, qurilish, quruvchi
👷🏾‍♂	5-teri turi, erkak, erkak quruvchi: 5-teri turi, qurilish, quruvchi
👷🏿‍♂	6-teri turi, erkak, erkak quruvchi: 6-teri turi, qurilish, quruvchi
👷‍♀	ayol, ayol quruvchi, qurilish, quruvchi
👷🏻‍♀	1–2-teri turi, ayol, ayol quruvchi: 1–2-teri turi, qurilish, quruvchi
👷🏼‍♀	3-teri turi, ayol, ayol quruvchi: 3-teri turi, qurilish, quruvchi
👷🏽‍♀	4-teri turi, ayol, ayol quruvchi: 4-teri turi, qurilish, quruvchi
👷🏾‍♀	5-teri turi, ayol, ayol quruvchi: 5-teri turi, qurilish, quruvchi
👷🏿‍♀	6-teri turi, ayol, ayol quruvchi: 6-teri turi, qurilish, quruvchi
🤴	shahzoda
🤴🏻	1–2-teri turi, shahzoda, shahzoda: 1–2-teri turi
🤴🏼	3-teri turi, shahzoda, shahzoda: 3-teri turi
🤴🏽	4-teri turi, shahzoda, shahzoda: 4-teri turi
🤴🏾	5-teri turi, shahzoda, shahzoda: 5-teri turi
🤴🏿	6-teri turi, shahzoda, shahzoda: 6-teri turi
👸	ertak, fantaziya, malika
👸🏻	1–2-teri turi, ertak, fantaziya, malika, malika: 1–2-teri turi
👸🏼	3-teri turi, ertak, fantaziya, malika, malika: 3-teri turi
👸🏽	4-teri turi, ertak, fantaziya, malika, malika: 4-teri turi
👸🏾	5-teri turi, ertak, fantaziya, malika, malika: 5-teri turi
👸🏿	6-teri turi, ertak, fantaziya, malika, malika: 6-teri turi
👳	erkak, salla, salla kiygan erkak
👳🏻	1–2-teri turi, erkak, salla, salla kiygan erkak, salla kiygan erkak: 1–2-teri turi
👳🏼	3-teri turi, erkak, salla, salla kiygan erkak, salla kiygan erkak: 3-teri turi
👳🏽	4-teri turi, erkak, salla, salla kiygan erkak, salla kiygan erkak: 4-teri turi
👳🏾	5-teri turi, erkak, salla, salla kiygan erkak, salla kiygan erkak: 5-teri turi
👳🏿	6-teri turi, erkak, salla, salla kiygan erkak, salla kiygan erkak: 6-teri turi
👳‍♂	erkak, salla, sallali erkak
👳🏻‍♂	1–2-teri turi, erkak, salla, sallali erkak, sallali erkak: 1–2-teri turi
👳🏼‍♂	3-teri turi, erkak, salla, sallali erkak, sallali erkak: 3-teri turi
👳🏽‍♂	4-teri turi, erkak, salla, sallali erkak, sallali erkak: 4-teri turi
👳🏾‍♂	5-teri turi, erkak, salla, sallali erkak, sallali erkak: 5-teri turi
👳🏿‍♂	6-teri turi, erkak, salla, sallali erkak, sallali erkak: 6-teri turi
👳‍♀	ayol, salla, sallali ayol
👳🏻‍♀	1–2-teri turi, ayol, salla, sallali ayol, sallali ayol: 1–2-teri turi
👳🏼‍♀	3-teri turi, ayol, salla, sallali ayol, sallali ayol: 3-teri turi
👳🏽‍♀	4-teri turi, ayol, salla, sallali ayol, sallali ayol: 4-teri turi
👳🏾‍♀	5-teri turi, ayol, salla, sallali ayol, sallali ayol: 5-teri turi
👳🏿‍♀	6-teri turi, ayol, salla, sallali ayol, sallali ayol: 6-teri turi
👲	bosh kiyim, erkak kishi, gua pi mao, xitoy bosh kiyimini kiygan kishi
👲🏻	1–2-teri turi, bosh kiyim, erkak kishi, gua pi mao, xitoy bosh kiyimini kiygan kishi, xitoy bosh kiyimini kiygan kishi: 1–2-teri turi
👲🏼	3-teri turi, bosh kiyim, erkak kishi, gua pi mao, xitoy bosh kiyimini kiygan kishi, xitoy bosh kiyimini kiygan kishi: 3-teri turi
👲🏽	4-teri turi, bosh kiyim, erkak kishi, gua pi mao, xitoy bosh kiyimini kiygan kishi, xitoy bosh kiyimini kiygan kishi: 4-teri turi
👲🏾	5-teri turi, bosh kiyim, erkak kishi, gua pi mao, xitoy bosh kiyimini kiygan kishi, xitoy bosh kiyimini kiygan kishi: 5-teri turi
👲🏿	6-teri turi, bosh kiyim, erkak kishi, gua pi mao, xitoy bosh kiyimini kiygan kishi, xitoy bosh kiyimini kiygan kishi: 6-teri turi
🧕	ro‘mol o‘ragan ayol
🧕🏻	1–2-teri turi, ro‘mol o‘ragan ayol, ro‘mol o‘ragan ayol: 1–2-teri turi
🧕🏼	3-teri turi, ro‘mol o‘ragan ayol, ro‘mol o‘ragan ayol: 3-teri turi
🧕🏽	4-teri turi, ro‘mol o‘ragan ayol, ro‘mol o‘ragan ayol: 4-teri turi
🧕🏾	5-teri turi, ro‘mol o‘ragan ayol, ro‘mol o‘ragan ayol: 5-teri turi
🧕🏿	6-teri turi, ro‘mol o‘ragan ayol, ro‘mol o‘ragan ayol: 6-teri turi
🤵	er, erkak, smoking, smoking kiygan erkak
🤵🏻	1–2-teri turi, er, erkak, smoking, smoking kiygan erkak, smoking kiygan erkak: 1–2-teri turi
