😀	arc, nevetés, nevető arc
💂🏻‍♀	nő, női őr, női őr: világos bőrtónus, világos bőrtónus, őr
💂🏼‍♀	közepesen világos bőrtónus, nő, női őr, női őr: közepesen világos bőrtónus, őr
💂🏽‍♀	közepes bőrtónus, nő, női őr, női őr: közepes bőrtónus, őr
💂🏾‍♀	közepesen sötét bőrtónus, nő, női őr, női őr: közepesen sötét bőrtónus, őr
💂🏿‍♀	nő, női őr, női őr: sötét bőrtónus, sötét bőrtónus, őr
👷	sisak, védősisak, építkezés, építőmunkás
👷🏻	sisak, világos bőrtónus, védősisak, építkezés, építőmunkás, építőmunkás: világos bőrtónus
👷🏼	közepesen világos bőrtónus, sisak, védősisak, építkezés, építőmunkás, építőmunkás: közepesen világos bőrtónus
👷🏽	közepes bőrtónus, sisak, védősisak, építkezés, építőmunkás, építőmunkás: közepes bőrtónus
👷🏾	közepesen sötét bőrtónus, sisak, védősisak, építkezés, építőmunkás, építőmunkás: közepesen sötét bőrtónus
👷🏿	sisak, sötét bőrtónus, védősisak, építkezés, építőmunkás, építőmunkás: sötét bőrtónus
👷‍♂	férfi, munkás, építkezés, építőmunkás, építőmunkás férfi
👷🏻‍♂	férfi, munkás, világos bőrtónus, építkezés, építőmunkás, építőmunkás férfi: világos bőrtónus
👷🏼‍♂	férfi, közepesen világos bőrtónus, munkás, építkezés, építőmunkás, építőmunkás férfi: közepesen világos bőrtónus
👷🏽‍♂	férfi, közepes bőrtónus, munkás, építkezés, építőmunkás, építőmunkás férfi: közepes bőrtónus
👷🏾‍♂	férfi, közepesen sötét bőrtónus, munkás, építkezés, építőmunkás, építőmunkás férfi: közepesen sötét bőrtónus
👷🏿‍♂	férfi, munkás, sötét bőrtónus, építkezés, építőmunkás, építőmunkás férfi: sötét bőrtónus
👷‍♀	munkás, nő, építkezés, építőmunkás, építőmunkás nő, építőmunkásnő
👷🏻‍♀	munkás, nő, világos bőrtónus, építkezés, építőmunkás, építőmunkás nő: világos bőrtónus, építőmunkásnő
👷🏼‍♀	közepesen világos bőrtónus, munkás, nő, építkezés, építőmunkás, építőmunkás nő: közepesen világos bőrtónus, építőmunkásnő
👷🏽‍♀	közepes bőrtónus, munkás, nő, építkezés, építőmunkás, építőmunkás nő: közepes bőrtónus, építőmunkásnő
👷🏾‍♀	közepesen sötét bőrtónus, munkás, nő, építkezés, építőmunkás, építőmunkás nő: közepesen sötét bőrtónus, építőmunkásnő
👷🏿‍♀	munkás, nő, sötét bőrtónus, építkezés, építőmunkás, építőmunkás nő: sötét bőrtónus, építőmunkásnő
🤴	herceg
🤴🏻	herceg, herceg: világos bőrtónus, világos bőrtónus
🤴🏼	herceg, herceg: közepesen világos bőrtónus, közepesen világos bőrtónus
🤴🏽	herceg, herceg: közepes bőrtónus, közepes bőrtónus
🤴🏾	herceg, herceg: közepesen sötét bőrtónus, közepesen sötét bőrtónus
🤴🏿	herceg, herceg: sötét bőrtónus, sötét bőrtónus
👸	fantasy, hercegnő, mese, mesehős
👸🏻	fantasy, hercegnő, hercegnő: világos bőrtónus, mese, mesehős, világos bőrtónus
👸🏼	fantasy, hercegnő, hercegnő: közepesen világos bőrtónus, közepesen világos bőrtónus, mese, mesehős
👸🏽	fantasy, hercegnő, hercegnő: közepes bőrtónus, közepes bőrtónus, mese, mesehős
👸🏾	fantasy, hercegnő, hercegnő: közepesen sötét bőrtónus, közepesen sötét bőrtónus, mese, mesehős
👸🏿	fantasy, hercegnő, hercegnő: sötét bőrtónus, mese, mesehős, sötét bőrtónus
👳	ember, turbán, turbános ember
👳🏻	ember, turbán, turbános ember, turbános ember: világos bőrtónus, világos bőrtónus
👳🏼	ember, közepesen világos bőrtónus, turbán, turbános ember, turbános ember: közepesen világos bőrtónus
👳🏽	ember, közepes bőrtónus, turbán, turbános ember, turbános ember: közepes bőrtónus
👳🏾	ember, közepesen sötét bőrtónus, turbán, turbános ember, turbános ember: közepesen sötét bőrtónus
👳🏿	ember, sötét bőrtónus, turbán, turbános ember, turbános ember: sötét bőrtónus
👳‍♂	férfi, turbán, turbános férfi
👳🏻‍♂	férfi, turbán, turbános férfi, turbános férfi: világos bőrtónus, világos bőrtónus
👳🏼‍♂	férfi, közepesen világos bőrtónus, turbán, turbános férfi, turbános férfi: közepesen világos bőrtónus
👳🏽‍♂	férfi, közepes bőrtónus, turbán, turbános férfi, turbános férfi: közepes bőrtónus
👳🏾‍♂	férfi, közepesen sötét bőrtónus, turbán, turbános férfi, turbános férfi: közepesen sötét bőrtónus
👳🏿‍♂	férfi, sötét bőrtónus, turbán, turbános férfi, turbános férfi: sötét bőrtónus
👳‍♀	nő, turbán, turbános nő
👳🏻‍♀	nő, turbán, turbános nő, turbános nő: világos bőrtónus, világos bőrtónus
👳🏼‍♀	közepesen világos bőrtónus, nő, turbán, turbános nő, turbános nő: közepesen világos bőrtónus
👳🏽‍♀	közepes bőrtónus, nő, turbán, turbános nő, turbános nő: közepes bőrtónus
👳🏾‍♀	közepesen sötét bőrtónus, nő, turbán, turbános nő, turbános nő: közepesen sötét bőrtónus
👳🏿‍♀	nő, sötét bőrtónus, turbán, turbános nő, turbános nő: sötét bőrtónus
👲	ember, kínai sapkás ember, sapka
👲🏻	ember, kínai sapkás ember, kínai sapkás ember: világos bőrtónus, sapka, világos bőrtónus
👲🏼	ember, kínai sapkás ember, kínai sapkás ember: közepesen világos bőrtónus, közepesen világos bőrtónus, sapka
👲🏽	ember, kínai sapkás ember, kínai sapkás ember: közepes bőrtónus, közepes bőrtónus, sapka
👲🏾	ember, kínai sapkás ember, kínai sapkás ember: közepesen sötét bőrtónus, közepesen sötét bőrtónus, sapka
👲🏿	ember, kínai sapkás ember, kínai sapkás ember: sötét bőrtónus, sapka, sötét bőrtónus
🧕	fejkendő, hidzsáb, mantilla, nő fejkendővel, tichel
🧕🏻	fejkendő, hidzsáb, mantilla, nő fejkendővel, nő fejkendővel: világos bőrtónus, tichel, világos bőrtónus
🧕🏼	fejkendő, hidzsáb, közepesen világos bőrtónus, mantilla, nő fejkendővel, nő fejkendővel: közepesen világos bőrtónus, tichel
🧕🏽	fejkendő, hidzsáb, közepes bőrtónus, mantilla, nő fejkendővel, nő fejkendővel: közepes bőrtónus, tichel
🧕🏾	fejkendő, hidzsáb, közepesen sötét bőrtónus, mantilla, nő fejkendővel, nő fejkendővel: közepesen sötét bőrtónus, tichel
🧕🏿	fejkendő, hidzsáb, mantilla, nő fejkendővel, nő fejkendővel: sötét bőrtónus, sötét bőrtónus, tichel
🤵	férfi, szmoking, szmokingos férfi, vőlegény
🤵🏻	férfi, szmoking, szmokingos férfi, szmokingos férfi: világos bőrtónus, világos bőrtónus, vőlegény
🤵🏼	férfi, közepesen világos bőrtónus, szmoking, szmokingos férfi, szmokingos férfi: közepesen világos bőrtónus, vőlegény
🤵🏽	férfi, közepes bőrtónus, szmoking, szmokingos férfi, szmokingos férfi: közepes bőrtónus, vőlegény
🤵🏾	férfi, közepesen sötét bőrtónus, szmoking, szmokingos férfi, szmokingos férfi: közepesen sötét bőrtónus, vőlegény
🤵🏿	férfi, szmoking, szmokingos férfi, szmokingos férfi: sötét bőrtónus, sötét bőrtónus, vőlegény
👰	esküvő, fátyol, lakodalom, menyasszony, menyasszony fátyollal
👰🏻	esküvő, fátyol, lakodalom, menyasszony, menyasszony fátyollal, menyasszony fátyollal: világos bőrtónus, világos bőrtónus
👰🏼	esküvő, fátyol, közepesen világos bőrtónus, lakodalom, menyasszony, menyasszony fátyollal, menyasszony fátyollal: közepesen világos bőrtónus
👰🏽	esküvő, fátyol, közepes bőrtónus, lakodalom, menyasszony, menyasszony fátyollal, menyasszony fátyollal: közepes bőrtónus
👰🏾	esküvő, fátyol, közepesen sötét bőrtónus, lakodalom, menyasszony, menyasszony fátyollal, menyasszony fátyollal: közepesen sötét bőrtónus
👰🏿	esküvő, fátyol, lakodalom, menyasszony, menyasszony fátyollal, menyasszony fátyollal: sötét bőrtónus, sötét bőrtónus
🤰	nő, terhes, terhes nő, várandós
🤰🏻	nő, terhes, terhes nő: világos bőrtónus, világos bőrtónus, várandós
🤰🏼	közepesen világos bőrtónus, nő, terhes, terhes nő: közepesen világos bőrtónus, várandós
🤰🏽	közepes bőrtónus, nő, terhes, terhes nő: közepes bőrtónus, várandós
🤰🏾	közepesen sötét bőrtónus, nő, terhes, terhes nő: közepesen sötét bőrtónus, várandós
🤰🏿	nő, sötét bőrtónus, terhes, terhes nő: sötét bőrtónus, várandós
🤱	baba, mell, szoptatás
🤱🏻	baba, mell, szoptatás, szoptatás: világos bőrtónus, világos bőrtónus
🤱🏼	baba, közepesen világos bőrtónus, mell, szoptatás, szoptatás: közepesen világos bőrtónus
🤱🏽	baba, közepes bőrtónus, mell, szoptatás, szoptatás: közepes bőrtónus
🤱🏾	baba, közepesen sötét bőrtónus, mell, szoptatás, szoptatás: közepesen sötét bőrtónus
🤱🏿	baba, mell, szoptatás, szoptatás: sötét bőrtónus, sötét bőrtónus
👼	angyal, arc, baba, babaangyal, mese
👼🏻	angyal, arc, baba, babaangyal, babaangyal: világos bőrtónus, mese, világos bőrtónus
👼🏼	angyal, arc, baba, babaangyal, babaangyal: közepesen világos bőrtónus, közepesen világos bőrtónus, mese
👼🏽	angyal, arc, baba, babaangyal, babaangyal: közepes bőrtónus, közepes bőrtónus, mese
👼🏾	angyal, arc, baba, babaangyal, babaangyal: közepesen sötét bőrtónus, közepesen sötét bőrtónus, mese
👼🏿	angyal, arc, baba, babaangyal, babaangyal: sötét bőrtónus, mese, sötét bőrtónus
🎅	arc, fej, mikulás, télapó, ünnep, ünneplés
🎅🏻	arc, fej, mikulás, mikulás: világos bőrtónus, télapó, világos bőrtónus, ünnep, ünneplés
🎅🏼	arc, fej, közepesen világos bőrtónus, mikulás, mikulás: közepesen világos bőrtónus, télapó, ünnep, ünneplés
🎅🏽	arc, fej, közepes bőrtónus, mikulás, mikulás: közepes bőrtónus, télapó, ünnep, ünneplés
🎅🏾	arc, fej, közepesen sötét bőrtónus, mikulás, mikulás: közepesen sötét bőrtónus, télapó, ünnep, ünneplés
🎅🏿	arc, fej, mikulás, mikulás: sötét bőrtónus, sötét bőrtónus, télapó, ünnep, ünneplés
🤶	anyó, karácsony, mikulás ruhás anyó
🤶🏻	anyó, karácsony, mikulás ruhás anyó, mikulás ruhás anyó: világos bőrtónus, világos bőrtónus
🤶🏼	anyó, karácsony, közepesen világos bőrtónus, mikulás ruhás anyó, mikulás ruhás anyó: közepesen világos bőrtónus
🤶🏽	anyó, karácsony, közepes bőrtónus, mikulás ruhás anyó, mikulás ruhás anyó: közepes bőrtónus
🤶🏾	anyó, karácsony, közepesen sötét bőrtónus, mikulás ruhás anyó, mikulás ruhás anyó: közepesen sötét bőrtónus
🤶🏿	anyó, karácsony, mikulás ruhás anyó, mikulás ruhás anyó: sötét bőrtónus, sötét bőrtónus
🦸	hős, hősnő, jó, szuperhős, szuperképesség
🦸🏻	hős, hősnő, jó, szuperhős, szuperhős: világos bőrtónus, szuperképesség, világos bőrtónus
🦸🏼	hős, hősnő, jó, közepesen világos bőrtónus, szuperhős, szuperhős: közepesen világos bőrtónus, szuperképesség
🦸🏽	hős, hősnő, jó, közepes bőrtónus, szuperhős, szuperhős: közepes bőrtónus, szuperképesség
🦸🏾	hős, hősnő, jó, közepesen sötét bőrtónus, szuperhős, szuperhős: közepesen sötét bőrtónus, szuperképesség
🦸🏿	hős, hősnő, jó, szuperhős, szuperhős: sötét bőrtónus, szuperképesség, sötét bőrtónus
🦸‍♂	férfi, férfi szuperhős, hős, hősnő, jó, szuperképesség
🦸🏻‍♂	férfi, férfi szuperhős, férfi szuperhős: világos bőrtónus, hős, hősnő, jó, szuperképesség, világos bőrtónus
🦸🏼‍♂	férfi, férfi szuperhős, férfi szuperhős: közepesen világos bőrtónus, hős, hősnő, jó, közepesen világos bőrtónus, szuperképesség
🦸🏽‍♂	férfi, férfi szuperhős, férfi szuperhős: közepes bőrtónus, hős, hősnő, jó, közepes bőrtónus, szuperképesség
🦸🏾‍♂	férfi, férfi szuperhős, férfi szuperhős: közepesen sötét bőrtónus, hős, hősnő, jó, közepesen sötét bőrtónus, szuperképesség
🦸🏿‍♂	férfi, férfi szuperhős, férfi szuperhős: sötét bőrtónus, hős, hősnő, jó, szuperképesség, sötét bőrtónus
🦸‍♀	hős, hősnő, jó, nő, női szuperhős, szuperképesség
🦸🏻‍♀	hős, hősnő, jó, nő, női szuperhős, női szuperhős: világos bőrtónus, szuperképesség, világos bőrtónus
🦸🏼‍♀	hős, hősnő, jó, közepesen világos bőrtónus, nő, női szuperhős, női szuperhős: közepesen világos bőrtónus, szuperképesség
🦸🏽‍♀	hős, hősnő, jó, közepes bőrtónus, nő, női szuperhős, női szuperhős: közepes bőrtónus, szuperképesség
🦸🏾‍♀	hős, hősnő, jó, közepesen sötét bőrtónus, nő, női szuperhős, női szuperhős: közepesen sötét bőrtónus, szuperképesség
🦸🏿‍♀	hős, hősnő, jó, nő, női szuperhős, női szuperhős: sötét bőrtónus, szuperképesség, sötét bőrtónus
🦹	bűnöző, főgonosz, gazember, gonosz, szuperképesség
🦹🏻	bűnöző, főgonosz, főgonosz: világos bőrtónus, gazember, gonosz, szuperképesség, világos bőrtónus
🦹🏼	bűnöző, főgonosz, főgonosz: közepesen világos bőrtónus, gazember, gonosz, közepesen világos bőrtónus, szuperképesség
🦹🏽	bűnöző, főgonosz, főgonosz: közepes bőrtónus, gazember, gonosz, közepes bőrtónus, szuperképesség
🦹🏾	bűnöző, főgonosz, főgonosz: közepesen sötét bőrtónus, gazember, gonosz, közepesen sötét bőrtónus, szuperképesség
🦹🏿	bűnöző, főgonosz, főgonosz: sötét bőrtónus, gazember, gonosz, szuperképesség, sötét bőrtónus
🦹‍♂	bűnöző, férfi, férfi főgonosz, gazember, gonosz, szuperképesség
🦹🏻‍♂	bűnöző, férfi, férfi főgonosz, férfi főgonosz: világos bőrtónus, gazember, gonosz, szuperképesség, világos bőrtónus
🦹🏼‍♂	bűnöző, férfi, férfi főgonosz, férfi főgonosz: közepesen világos bőrtónus, gazember, gonosz, közepesen világos bőrtónus, szuperképesség
🦹🏽‍♂	bűnöző, férfi, férfi főgonosz, férfi főgonosz: közepes bőrtónus, gazember, gonosz, közepes bőrtónus, szuperképesség
🦹🏾‍♂	bűnöző, férfi, férfi főgonosz, férfi főgonosz: közepesen sötét bőrtónus, gazember, gonosz, közepesen sötét bőrtónus, szuperképesség
🦹🏿‍♂	bűnöző, férfi, férfi főgonosz, férfi főgonosz: sötét bőrtónus, gazember, gonosz, szuperképesség, sötét bőrtónus
🦹‍♀	bűnöző, gazember, gonosz, nő, női főgonosz, szuperképesség
🦹🏻‍♀	bűnöző, gazember, gonosz, nő, női főgonosz, női főgonosz: világos bőrtónus, szuperképesség, világos bőrtónus
🦹🏼‍♀	bűnöző, gazember, gonosz, közepesen világos bőrtónus, nő, női főgonosz, női főgonosz: közepesen világos bőrtónus, szuperképesség
🦹🏽‍♀	bűnöző, gazember, gonosz, közepes bőrtónus, nő, női főgonosz, női főgonosz: közepes bőrtónus, szuperképesség
🦹🏾‍♀	bűnöző, gazember, gonosz, közepesen sötét bőrtónus, nő, női főgonosz, női főgonosz: közepesen sötét bőrtónus, szuperképesség
🦹🏿‍♀	bűnöző, gazember, gonosz, nő, női főgonosz, női főgonosz: sötét bőrtónus, szuperképesség, sötét bőrtónus
🧙	boszorkány, boszorkánymester, mágus, varázsló
🧙🏻	boszorkány, boszorkánymester, mágus, varázsló, varázsló: világos bőrtónus, világos bőrtónus
🧙🏼	boszorkány, boszorkánymester, közepesen világos bőrtónus, mágus, varázsló, varázsló: közepesen világos bőrtónus
🧙🏽	boszorkány, boszorkánymester, közepes bőrtónus, mágus, varázsló, varázsló: közepes bőrtónus
🧙🏾	boszorkány, boszorkánymester, közepesen sötét bőrtónus, mágus, varázsló, varázsló: közepesen sötét bőrtónus
🧙🏿	boszorkány, boszorkánymester, mágus, sötét bőrtónus, varázsló, varázsló: sötét bőrtónus
🧙‍♂	boszorkánymester, férfi varázsló, mágus
🧙🏻‍♂	boszorkánymester, férfi varázsló, férfi varázsló: világos bőrtónus, mágus, világos bőrtónus
🧙🏼‍♂	boszorkánymester, férfi varázsló, férfi varázsló: közepesen világos bőrtónus, közepesen világos bőrtónus, mágus
