😀	sourire, visage rieur
⚠️	avertissement, symbole d’avertissement
🚸	enfants, piétons, traversée d’enfants, école
⛔️	entrée interdite, interdiction, interdit, sens interdit
🚫	interdiction, interdit, symbole d’interdiction
🚳	interdiction, interdit, vélo, vélos interdits
🚭️	fumer, interdiction, interdiction de fumer, interdit
🚯	déchets, dépôt d’ordures interdit, interdiction, interdit
🚱	eau, eau non potable
🚷	interdiction, interdit, interdit aux piétons
📵	interdiction, interdit, portable, téléphone, téléphones portables interdits
🔞	18 ans et plus, dix-huit, interdiction, interdit, mineur
☢️	radioactif, symbole
☣️	danger, danger biologique, symbole
⬆️	direction, flèche, flèche haut, nord
↗️	direction, flèche, flèche haut droite, nord-est
➡️	direction, est, flèche, flèche droite
↘️	direction, flèche, flèche bas droite, sud-est
⬇️	direction, flèche, flèche bas, sud
↙️	direction, flèche, flèche bas gauche, sud-ouest
⬅️	direction, flèche, flèche gauche, ouest
↖️	direction, flèche, flèche haut gauche, nord-ouest
↕️	flèche, flèche haut bas
↔️	flèche, flèche gauche droite
↩️	flèche, flèche courbe gauche
↪️	flèche, flèche courbe droite
⤴️	flèche, flèche courbe haut
⤵️	flèche, flèche courbe bas
🔃	flèche, flèches dans le sens horaire, sens horaire, symbole Recharger
🔄	flèche, flèches dans le sens antihoraire, sens antihoraire
🔙	flèche, flèche Retour
🔚	flèche, flèche Fin
🔛	flèche, flèche Activé
🔜	flèche, flèche Bientôt
🔝	flèche, flèche En haut
🛐	culte, lieu de culte, religion
⚛️	athée, atome, symbole de l’atome
🕉️	hindou, om, religion
✡️	étoile, étoile de David, étoile de david
☸️	bouddhiste, dharma, religion, roue, roue du Dharma
☯️	religion, tao, yang, yin, yin yang
✝️	chrétien, croix, croix latine, religion
☦️	chrétien, croix, croix orthodoxe, religion
☪️	lune, lune et étoile, musulman, religion, étoile
☮️	paix, symbole de paix
🕎	chandelier, chandelier à sept branches, menora, religion
🔯	chance, étoile, étoile à 6 branches
♈️	bélier zodiaque, zodiaque
♉️	taureau, zodiaque
♊️	gémeaux, zodiaque
♋️	cancer, zodiaque
♌️	lion, zodiaque
♍️	vierge, zodiaque
♎️	balance, zodiaque
♏️	scorpion zodiaque, zodiaque
♐️	sagittaire, zodiaque
♑️	capricorne, zodiaque
♒️	verseau, zodiaque
♓️	poissons, zodiaque
⛎	ophiuchus, serpentaire, zodiaque
🔀	bouton lecture aléatoire, flèche, flèches croisées
🔁	bouton répétition, flèche, flèches en cercle, sens horaire
🔂	bouton répétition de la piste, flèche, flèches en cercle avec n°1, sens horaire
▶	bouton lecture, flèche, lecture, triangle
⏩	avance, avance rapide, bouton avance rapide, double flèche
⏭	bouton piste suivante, piste suivante, scène suivante, suivant, triangle
⏯	bouton lecture/pause, flèche, lecture, pause, triangle
◀	bouton marche arrière, bouton retour, retour
⏪	bouton retour rapide, flèche, retour, retour rapide
⏮	bouton piste précédente, piste précédente, précédent, scène précédente, triangle
🔼	flèche, petit triangle haut
⏫	flèche vers le haut, haut
🔽	flèche, petit triangle bas
⏬	bas, flèche vers le bas
⏸️	bouton pause, pause
⏹️	bouton stop, carré, stop
⏺️	bouton enregistrer, cercle, enregistrer
⏏️	bouton éjecter, éjecter
🎦	caméra, cinéma, film
🔅	luminosité, luminosité faible
🔆	luminosité, luminosité élevée
📶	barres de réseau, portable, réseau, téléphone
📳	mode vibreur, portable, téléphone, vibreur
📴	portable, téléphone, téléphone éteint
♀️	femme, symbole de la femme
♂️	homme, symbole de l’homme
⚕️	caducée, médecine, personnel
♾️	illimité, infini, universel, éternité
♻️	recyclage, symbole Recyclage
⚜	fleur de lys
🔱	ancre, bateau, trident
📛	badge, badge nominatif, nom
🔰	débutant, symbole japonais de débutant
⭕️	0, anneau, cercle, cercle rouge, o, rouge
✅	bouton coché, carré, coche, marque, oui, sélection, ✓
☑️	bouton, carré, case cochée, coche, oui, sélection, ✓
✔️	coche, oui, sélection, ✓
✖️	*, annuler, multiplier, non, signe multiplier, x, ×
❌	annuler, croix, multiplication, multiplier, x, ×
❎	bouton croix, croix, x, ×
➕	+, addition, arithmétique, mathématiques, plus, signe plus
➖	-, arithmétique, mathématiques, moins, signe moins, soustraction, −
➗	/, arithmétique, division, mathématiques, signe diviser, ÷
➰	boucle, bouclette
➿	boucle, double boucle
〽️	alternance, symbole
✳️	*, astérisque, astérisque huit branches, huit, étoile
✴️	*, astérisque, huit, étoile, étoile huit branches
❇️	*, briller, scintiller, éclat, étinceler
‼️	!!, double point d’exclamation, exclamation, ponctuation
⁉️	!, ?, exclamation, interrogation, points d’exclamation et d’interrogation, ponctuation, question
❓️	?, interrogation, point d’interrogation, ponctuation, question
❔	?, interrogation, point d’interrogation blanc, ponctuation, question
❕	!, exclamation, point d’exclamation blanc, ponctuation
❗️	!, exclamation, point d’exclamation, ponctuation
〰️	ligne ondulée, ponctuation, trait d’union ondulé, vague
©️	c, copyright, symbole copyright, ©
®️	marque commerciale, marque déposée, r, ®
™️	marque commerciale déposée, marque déposée
#⃣	touches, touches : #
*⃣	touches, touches : *
0⃣	touches, touches : 0
1⃣	touches, touches : 1
2⃣	touches, touches : 2
3⃣	touches, touches : 3
4⃣	touches, touches : 4
5⃣	touches, touches : 5
6⃣	touches, touches : 6
7⃣	touches, touches : 7
8⃣	touches, touches : 8
9⃣	touches, touches : 9
🔟	touches, touches : 10
🔠	lettres, lettres latines, majuscules, saisie
🔡	lettres, lettres latines, minuscules, saisie
🔢	1234, chiffres, saisie, saisie de chiffres
🔣	saisie, saisie de symboles, symboles
🔤	alphabet, alphabet latin, lettres, saisie
🅰️	A, groupe sanguin, groupe sanguin A
🆎	AB, groupe sanguin, groupe sanguin AB
🅱️	B, groupe sanguin, groupe sanguin B
🆑	bouton Effacer, effacer
🆒	bouton Cool, cool
🆓	bouton Gratuit, gratuit
ℹ️	i, informations, source d’informations
🆔	bouton Identifiant, identifiant
Ⓜ️	cercle, m, m encerclé
🆕	bouton Nouveau, nouveau
🆖	bouton Pas bien, interdit, mauvais
🅾️	O, groupe sanguin, groupe sanguin O
🆗	OK, bouton OK
🅿️	bouton P, parking
🆘	SOS, bouton SOS
🆙	bouton Vers le haut, nouveau, nouveauté
🆚	bouton VS, contre, versus, vs
🈁	bouton ici en japonais, ici, japonais
🈂️	bouton frais de service en japonais, frais de service, japonais
🈷	bouton montant mensuel en japonais, japonais, montant mensuel
🈶	bouton pas gratuit en japonais, japonais, pas gratuit, payant
🈯	bouton réservé en japonais, japonais, réservé
🉐	bonne affaire, bouton bonne affaire en japonais, japonais
🈹	bouton réduction en japonais, japonais, rabais, réduction
🈚	bouton gratuit en japonais, gratuit, japonais
🈲	bouton interdit en japonais, japonais
🉑	accepter, bouton accepter en japonais, japonais
🈸	application, bouton application en japonais, japonais
🈴	bouton note pour réussir en japonais, japonais, note pour réussir
🈳	bouton chambres disponibles en japonais, chambres disponibles, japonais
㊗️	bouton félicitations en japonais, félicitations, japonais
㊙️	bouton secret en japonais, japonais, secret
🈺	bouton ouvert pour affaires en japonais, japonais, ouvert pour affaires
🈵	bouton complet en japonais, complet, japonais
🔴	cercle, disque rouge, forme géométrique, géométrie, rond, rouge
🟠	cercle, disque orange, forme géométrique, géométrie, orange, rond
🟡	cercle, disque jaune, forme géométrique, géométrie, jaune, rond
🟢	cercle, disque vert, forme géométrique, géométrie, rond, vert
🔵	bleu, cercle, disque bleu, forme géométrique, géométrie, rond
🟣	cercle, disque violet, forme géométrique, géométrie, rond, violet
🟤	cercle, disque marron, forme géométrique, géométrie, marron, rond
⚫️	cercle, disque noir, forme géométrique, géométrie, noir, rond
⚪️	blanc, cercle, disque blanc, forme géométrique, géométrie, rond
🟥	carré rouge, forme géométrique, géométrie, rouge
🟧	carré orange, forme géométrique, géométrie, orange
🟨	carré jaune, forme géométrique, géométrie, jaune
🟩	carré vert, forme géométrique, géométrie, vert
🟦	bleu, carré bleu, forme géométrique, géométrie
🟪	carré violet, forme géométrique, géométrie, violet
🟫	carré marron, forme géométrique, géométrie, marron
⬛️	carré, forme géométrique, grand carré noir
⬜️	forme, grand carré blanc, géométrie
◼️	carré, carré moyen noir, forme géométrique
◻️	carré, carré moyen blanc, forme géométrique
◾️	carré, carré petit moyen noir, forme, géométrie
◽️	carré, carré petit moyen blanc, forme, géométrie
▪️	carré, forme géométrique, petit carré noir
▫️	carré, forme géométrique, petit carré blanc
🔶	forme géométrique, grand losange orange, losange
🔷	forme géométrique, grand losange bleu, grand losange orange, losange
🔸	forme géométrique, losange, petit losange orange
🔹	forme géométrique, losange, petit losange bleu
🔺	forme géométrique, rouge, triangle rouge pointant vers le haut
🔻	flèche, forme, géométrie, triangle rouge pointant vers le bas
💠	dessin, diamant, diamant avec un point, géométrique, intérieur
🔘	bouton, bouton radio, forme, géométrie, radio
🔳	bouton, carré, carré blanc, forme, géométrie
🔲	bouton, carré, carré noir, forme, géométrie
🏁	drapeau, drapeau à damier
🚩	drapeau, drapeau triangulaire, fanion
🎌	drapeaux, drapeaux croisés
🏴	drapeau, drapeau noir
🏳️	drapeau, drapeau blanc
🏳‍🌈	arc-en-ciel, drapeau, drapeau arc-en-ciel
🏴‍☠	drapeau de pirate, pillage, piller, pirate, trésor
🇦🇨	drapeau, drapeau : Île de l’Ascension
🇦🇩	drapeau, drapeau : Andorre
🇦🇪	drapeau, drapeau : Émirats arabes unis
🇦🇫	drapeau, drapeau : Afghanistan
🇦🇬	drapeau, drapeau : Antigua-et-Barbuda
🇦🇮	drapeau, drapeau : Anguilla
🇦🇱	drapeau, drapeau : Albanie
🇦🇲	drapeau, drapeau : Arménie
🇦🇴	drapeau, drapeau : Angola
🇦🇶	drapeau, drapeau : Antarctique
🇦🇷	drapeau, drapeau : Argentine
🇦🇸	drapeau, drapeau : Samoa américaines
🇦🇹	drapeau, drapeau : Autriche
🇦🇺	drapeau, drapeau : Australie
🇦🇼	drapeau, drapeau : Aruba
🇦🇽	drapeau, drapeau : Îles Åland
🇦🇿	drapeau, drapeau : Azerbaïdjan
🇧🇦	drapeau, drapeau : Bosnie-Herzégovine
🇧🇧	drapeau, drapeau : Barbade
🇧🇩	drapeau, drapeau : Bangladesh
🇧🇪	drapeau, drapeau : Belgique
🇧🇫	drapeau, drapeau : Burkina Faso
🇧🇬	drapeau, drapeau : Bulgarie
🇧🇭	drapeau, drapeau : Bahreïn
🇧🇮	drapeau, drapeau : Burundi
🇧🇯	drapeau, drapeau : Bénin
🇧🇱	drapeau, drapeau : Saint-Barthélemy
🇧🇲	drapeau, drapeau : Bermudes
🇧🇳	drapeau, drapeau : Brunéi Darussalam
🇧🇴	drapeau, drapeau : Bolivie
🇧🇶	drapeau, drapeau : Pays-Bas caribéens
🇧🇷	drapeau, drapeau : Brésil
🇧🇸	drapeau, drapeau : Bahamas
🇧🇹	drapeau, drapeau : Bhoutan
🇧🇻	drapeau, drapeau : Île Bouvet
🇧🇼	drapeau, drapeau : Botswana
🇧🇾	drapeau, drapeau : Biélorussie
🇧🇿	drapeau, drapeau : Belize
🇨🇦	drapeau, drapeau : Canada
🇨🇨	drapeau, drapeau : Îles Cocos
🇨🇩	drapeau, drapeau : Congo-Kinshasa
🇨🇫	drapeau, drapeau : République centrafricaine
🇨🇬	drapeau, drapeau : Congo-Brazzaville
🇨🇭	drapeau, drapeau : Suisse
🇨🇮	drapeau, drapeau : Côte d’Ivoire
🇨🇰	drapeau, drapeau : Îles Cook
🇨🇱	drapeau, drapeau : Chili
🇨🇲	drapeau, drapeau : Cameroun
🇨🇳	drapeau, drapeau : Chine
🇨🇴	drapeau, drapeau : Colombie
🇨🇵	drapeau, drapeau : Île Clipperton
🇨🇷	drapeau, drapeau : Costa Rica
🇨🇺	drapeau, drapeau : Cuba
🇨🇻	drapeau, drapeau : Cap-Vert
🇨🇼	drapeau, drapeau : Curaçao
🇨🇽	drapeau, drapeau : Île Christmas
🇨🇾	drapeau, drapeau : Chypre
🇨🇿	drapeau, drapeau : Tchéquie
🇩🇪	drapeau, drapeau : Allemagne
🇩🇬	drapeau, drapeau : Diego Garcia
🇩🇯	drapeau, drapeau : Djibouti
🇩🇰	drapeau, drapeau : Danemark
🇩🇲	drapeau, drapeau : Dominique
🇩🇴	drapeau, drapeau : République dominicaine
🇩🇿	drapeau, drapeau : Algérie
🇪🇦	drapeau, drapeau : Ceuta et Melilla
🇪🇨	drapeau, drapeau : Équateur
🇪🇪	drapeau, drapeau : Estonie
🇪🇬	drapeau, drapeau : Égypte
🇪🇭	drapeau, drapeau : Sahara occidental
🇪🇷	drapeau, drapeau : Érythrée
🇪🇸	drapeau, drapeau : Espagne
🇪🇹	drapeau, drapeau : Éthiopie
🇪🇺	drapeau, drapeau : Union européenne
🇫🇮	drapeau, drapeau : Finlande
🇫🇯	drapeau, drapeau : Fidji
🇫🇰	drapeau, drapeau : Îles Malouines
🇫🇲	drapeau, drapeau : États fédérés de Micronésie
🇫🇴	drapeau, drapeau : Îles Féroé
🇫🇷	drapeau, drapeau : France
🇬🇦	drapeau, drapeau : Gabon
🇬🇧	drapeau, drapeau : Royaume-Uni
🇬🇩	drapeau, drapeau : Grenade
🇬🇪	drapeau, drapeau : Géorgie
🇬🇫	drapeau, drapeau : Guyane française
🇬🇬	drapeau, drapeau : Guernesey
🇬🇭	drapeau, drapeau : Ghana
🇬🇮	drapeau, drapeau : Gibraltar
🇬🇱	drapeau, drapeau : Groenland
🇬🇲	drapeau, drapeau : Gambie
🇬🇳	drapeau, drapeau : Guinée
🇬🇵	drapeau, drapeau : Guadeloupe
🇬🇶	drapeau, drapeau : Guinée équatoriale
🇬🇷	drapeau, drapeau : Grèce
🇬🇸	drapeau, drapeau : Géorgie du Sud et îles Sandwich du Sud
🇬🇹	drapeau, drapeau : Guatemala
🇬🇺	drapeau, drapeau : Guam
🇬🇼	drapeau, drapeau : Guinée-Bissau
🇬🇾	drapeau, drapeau : Guyana
🇭🇰	drapeau, drapeau : R.A.S. chinoise de Hong Kong
🇭🇲	drapeau, drapeau : Îles Heard et McDonald
🇭🇳	drapeau, drapeau : Honduras
🇭🇷	drapeau, drapeau : Croatie
🇭🇹	drapeau, drapeau : Haïti
🇭🇺	drapeau, drapeau : Hongrie
🇮🇨	drapeau, drapeau : Îles Canaries
🇮🇩	drapeau, drapeau : Indonésie
🇮🇪	drapeau, drapeau : Irlande
🇮🇱	drapeau, drapeau : Israël
🇮🇲	drapeau, drapeau : Île de Man
🇮🇳	drapeau, drapeau : Inde
🇮🇴	drapeau, drapeau : Territoire britannique de l’océan Indien
🇮🇶	drapeau, drapeau : Irak
🇮🇷	drapeau, drapeau : Iran
🇮🇸	drapeau, drapeau : Islande
🇮🇹	drapeau, drapeau : Italie
🇯🇪	drapeau, drapeau : Jersey
🇯🇲	drapeau, drapeau : Jamaïque
🇯🇴	drapeau, drapeau : Jordanie
🇯🇵	drapeau, drapeau : Japon
🇰🇪	drapeau, drapeau : Kenya
🇰🇬	drapeau, drapeau : Kirghizistan
🇰🇭	drapeau, drapeau : Cambodge
🇰🇮	drapeau, drapeau : Kiribati
🇰🇲	drapeau, drapeau : Comores
🇰🇳	drapeau, drapeau : Saint-Christophe-et-Niévès
🇰🇵	drapeau, drapeau : Corée du Nord
🇰🇷	drapeau, drapeau : Corée du Sud
🇰🇼	drapeau, drapeau : Koweït
🇰🇾	drapeau, drapeau : Îles Caïmans
🇰🇿	drapeau, drapeau : Kazakhstan
🇱🇦	drapeau, drapeau : Laos
🇱🇧	drapeau, drapeau : Liban
🇱🇨	drapeau, drapeau : Sainte-Lucie
🇱🇮	drapeau, drapeau : Liechtenstein
🇱🇰	drapeau, drapeau : Sri Lanka
🇱🇷	drapeau, drapeau : Libéria
🇱🇸	drapeau, drapeau : Lesotho
🇱🇹	drapeau, drapeau : Lituanie
🇱🇺	drapeau, drapeau : Luxembourg
🇱🇻	drapeau, drapeau : Lettonie
🇱🇾	drapeau, drapeau : Libye
🇲🇦	drapeau, drapeau : Maroc
🇲🇨	drapeau, drapeau : Monaco
🇲🇩	drapeau, drapeau : Moldavie
🇲🇪	drapeau, drapeau : Monténégro
🇲🇫	drapeau, drapeau : Saint-Martin
🇲🇬	drapeau, drapeau : Madagascar
🇲🇭	drapeau, drapeau : Îles Marshall
🇲🇰	drapeau, drapeau : Macédoine
🇲🇱	drapeau, drapeau : Mali
🇲🇲	drapeau, drapeau : Myanmar (Birmanie)
🇲🇳	drapeau, drapeau : Mongolie
🇲🇴	drapeau, drapeau : R.A.S. chinoise de Macao
🇲🇵	drapeau, drapeau : Îles Mariannes du Nord
🇲🇶	drapeau, drapeau : Martinique
🇲🇷	drapeau, drapeau : Mauritanie
🇲🇸	drapeau, drapeau : Montserrat
🇲🇹	drapeau, drapeau : Malte
🇲🇺	drapeau, drapeau : Maurice
🇲🇻	drapeau, drapeau : Maldives
🇲🇼	drapeau, drapeau : Malawi
🇲🇽	drapeau, drapeau : Mexique
