😀	face, grin, grinning face
🚷	forbidden, no, no pedestrians, not, pedestrian, prohibited
📵	cell, forbidden, mobile, no, no mobile phones, phone
🔞	18, age restriction, eighteen, no one under eighteen, prohibited, underage
☢️	radioactive, sign
☣️	biohazard, sign
⬆️	arrow, cardinal, direction, north, up arrow
↗️	arrow, direction, intercardinal, northeast, up-right arrow
➡️	arrow, cardinal, direction, east, right arrow
↘️	arrow, direction, down-right arrow, intercardinal, southeast
⬇️	arrow, cardinal, direction, down, down arrow, south
↙️	arrow, direction, down-left arrow, intercardinal, southwest
⬅️	arrow, cardinal, direction, left arrow, west
↖️	arrow, direction, intercardinal, northwest, up-left arrow
↕️	arrow, up-down arrow
↔️	arrow, left-right arrow
↩️	arrow, right arrow curving left
↪️	arrow, left arrow curving right
⤴️	arrow, right arrow curving up
⤵️	arrow, down, right arrow curving down
🔃	arrow, clockwise, clockwise vertical arrows, reload
🔄	anticlockwise, arrow, counterclockwise, counterclockwise arrows button, withershins
🔙	BACK arrow, arrow, back
🔚	END arrow, arrow, end
🔛	ON! arrow, arrow, mark, on
🔜	SOON arrow, arrow, soon
🔝	TOP arrow, arrow, top, up
🛐	place of worship, religion, worship
⚛️	atheist, atom, atom symbol
🕉️	Hindu, om, religion
✡️	David, Jew, Jewish, religion, star, star of David
☸️	Buddhist, dharma, religion, wheel, wheel of dharma
☯️	religion, tao, taoist, yang, yin, yin yang
✝️	Christian, cross, latin cross, religion
☦️	Christian, cross, orthodox cross, religion
☪️	Muslim, islam, religion, star and crescent
☮️	peace, peace symbol
🕎	candelabrum, candlestick, menorah, religion
🔯	dotted six-pointed star, fortune, star
♈️	Aries, ram, zodiac
♉️	Taurus, bull, ox, zodiac
♊️	Gemini, twins, zodiac
♋️	Cancer, crab, zodiac
♌️	Leo, lion, zodiac
♍️	Virgo, zodiac
♎️	Libra, balance, justice, scales, zodiac
♏️	Scorpio, scorpion, scorpius, zodiac
♐️	Sagittarius, archer, zodiac
♑️	Capricorn, goat, zodiac
♒️	Aquarius, bearer, water, zodiac
♓️	Pisces, fish, zodiac
⛎	Ophiuchus, bearer, serpent, snake, zodiac
🔀	arrow, crossed, shuffle tracks button
🔁	arrow, clockwise, repeat, repeat button
🔂	arrow, clockwise, once, repeat single button
▶	arrow, play, play button, right, triangle
⏩	arrow, double, fast, fast-forward button, forward
⏭	arrow, next scene, next track, next track button, triangle
⏯	arrow, pause, play, play or pause button, right, triangle
◀	arrow, left, reverse, reverse button, triangle
⏪	arrow, double, fast reverse button, rewind
⏮	arrow, last track button, previous scene, previous track, triangle
🔼	arrow, button, red, upwards button
⏫	arrow, double, fast up button
🔽	arrow, button, down, downwards button, red
⏬	arrow, double, down, fast down button
⏸️	bar, double, pause, pause button, vertical
⏹️	square, stop, stop button
⏺️	circle, record, record button
⏏️	eject, eject button
🎦	camera, cinema, film, movie
🔅	brightness, dim, dim button, low
🔆	bright, bright button, brightness
📶	antenna, antenna bars, bar, cell, mobile, phone
📳	cell, mobile, mode, phone, telephone, vibration, vibration mode
📴	cell, mobile, mobile phone off, off, phone, telephone
♀️	female sign, woman
♂️	male sign, man
⚕️	aesculapius, medical symbol, medicine, staff
♾️	forever, infinity, unbounded, universal
♻️	recycle, recycling symbol
⚜	fleur-de-lis
🔱	anchor, emblem, ship, tool, trident, trident emblem
📛	badge, name, name badge
🔰	Japanese, Japanese symbol for beginner, beginner, chevron, leaf
⭕️	circle, hollow red circle, large, o, red
✅	button, check, check mark button, mark, ✓
☑️	box, check, check box with check, ✓
✔️	check, check mark, mark, ✓
✖️	cancel, multiplication, multiplication sign, multiply, sign, x, ×
❌	cancel, cross, cross mark, mark, multiplication, multiply, x, ×
❎	cross mark button, mark, square, x, ×
➕	+, math, plus, plus sign, sign
➖	-, math, minus, minus sign, sign, −
➗	division, division sign, math, sign, ÷
➰	curl, curly loop, loop
➿	curl, double, double curly loop, loop
〽️	mark, part, part alternation mark
✳️	*, asterisk, eight-spoked asterisk
✴️	*, eight-pointed star, star
❇️	*, sparkle
‼️	!, !!, bangbang, double exclamation mark, exclamation, mark
⁉️	!, !?, ?, exclamation, exclamation question mark, interrobang, mark, punctuation, question
❓️	?, mark, punctuation, question, question mark
❔	?, mark, outlined, punctuation, question, white question mark
❕	!, exclamation, mark, outlined, punctuation, white exclamation mark
❗️	!, exclamation, exclamation mark, mark, punctuation
〰️	dash, punctuation, wavy, wavy dash
©️	c, copyright
®️	r, registered
™️	mark, tm, trade mark, trademark
#⃣	keycap, keycap: #
*⃣	keycap, keycap: *
0⃣	keycap, keycap: 0
1⃣	keycap, keycap: 1
2⃣	keycap, keycap: 2
3⃣	keycap, keycap: 3
4⃣	keycap, keycap: 4
5⃣	keycap, keycap: 5
6⃣	keycap, keycap: 6
7⃣	keycap, keycap: 7
8⃣	keycap, keycap: 8
9⃣	keycap, keycap: 9
🔟	keycap, keycap: 10
🔠	ABCD, input, input latin uppercase, latin, letters, uppercase
🔡	abcd, input, input latin lowercase, latin, letters, lowercase
🔢	1234, input, input numbers, numbers
🔣	input, input symbols, 〒♪&%
🔤	abc, alphabet, input, input latin letters, latin, letters
🅰️	A button (blood type), a, blood type
🆎	AB button (blood type), ab, blood type
🅱️	B button (blood type), b, blood type
🆑	CL button, cl
🆒	COOL button, cool
🆓	FREE button, free
ℹ️	i, information
🆔	ID button, id, identity
Ⓜ️	circle, circled M, m
🆕	NEW button, new
🆖	NG button, ng
🅾️	O button (blood type), blood type, o
🆗	OK, OK button
🅿️	P button, parking
🆘	SOS button, help, sos
🆙	UP! button, mark, up
🆚	VS button, versus, vs
🈁	Japanese, Japanese “here” button, katakana, “here”, ココ
🈂️	Japanese, Japanese “service charge” button, katakana, “service charge”, サ
🈷	Japanese, Japanese “monthly amount” button, ideograph, “monthly amount”, 月
🈶	Japanese, Japanese “not free of charge” button, ideograph, “not free of charge”, 有
🈯	Japanese, Japanese “reserved” button, ideograph, “reserved”, 指
🉐	Japanese, Japanese “bargain” button, ideograph, “bargain”, 得
🈹	Japanese, Japanese “discount” button, ideograph, “discount”, 割
🈚	Japanese, Japanese “free of charge” button, ideograph, “free of charge”, 無
🈲	Japanese, Japanese “prohibited” button, ideograph, “prohibited”, 禁
🉑	Japanese, Japanese “acceptable” button, ideograph, “acceptable”, 可
🈸	Japanese, Japanese “application” button, ideograph, “application”, 申
🈴	Japanese, Japanese “passing grade” button, ideograph, “passing grade”, 合
🈳	Japanese, Japanese “vacancy” button, ideograph, “vacancy”, 空
㊗️	Japanese, Japanese “congratulations” button, ideograph, “congratulations”, 祝
㊙️	Japanese, Japanese “secret” button, ideograph, “secret”, 秘
🈺	Japanese, Japanese “open for business” button, ideograph, “open for business”, 営
🈵	Japanese, Japanese “no vacancy” button, ideograph, “no vacancy”, 満
🔴	circle, geometric, red, red circle
🟠	circle, orange, orange circle
🟡	circle, yellow, yellow circle
🟢	circle, green, green circle
🔵	blue, blue circle, circle, geometric
🟣	circle, purple, purple circle
🟤	brown, brown circle, circle
⚫️	black circle, circle, geometric
⚪️	circle, geometric, white circle
🟥	red, red square, square
🟧	orange, orange square, square
🟨	square, yellow, yellow square
🟩	green, green square, square
🟦	blue, blue square, square
🟪	purple, purple square, square
🟫	brown, brown square, square
⬛️	black large square, geometric, square
⬜️	geometric, square, white large square
◼️	black medium square, geometric, square
◻️	geometric, square, white medium square
◾️	black medium-small square, geometric, square
◽️	geometric, square, white medium-small square
▪️	black small square, geometric, square
▫️	geometric, square, white small square
🔶	diamond, geometric, large orange diamond, orange
🔷	blue, diamond, geometric, large blue diamond
🔸	diamond, geometric, orange, small orange diamond
🔹	blue, diamond, geometric, small blue diamond
🔺	geometric, red, red triangle pointed up
🔻	down, geometric, red, red triangle pointed down
💠	comic, diamond, diamond with a dot, geometric, inside
🔘	button, geometric, radio, radio button
🔳	button, geometric, outlined, square, white square button
🔲	black square button, button, geometric, square
🏁	checkered, chequered, chequered flag, racing
🚩	post, triangular flag
🎌	Japanese, celebration, cross, crossed, crossed flags
🏴	black flag, waving
🏳️	waving, white flag
🏳‍🌈	rainbow, rainbow flag
🏴‍☠	Jolly Roger, pirate, pirate flag, plunder, treasure
🇦🇨	flag, flag: Ascension Island
🇦🇩	flag, flag: Andorra
🇦🇪	flag, flag: United Arab Emirates
🇦🇫	flag, flag: Afghanistan
🇦🇬	flag, flag: Antigua & Barbuda
🇦🇮	flag, flag: Anguilla
🇦🇱	flag, flag: Albania
🇦🇲	flag, flag: Armenia
🇦🇴	flag, flag: Angola
🇦🇶	flag, flag: Antarctica
🇦🇷	flag, flag: Argentina
🇦🇸	flag, flag: American Samoa
🇦🇹	flag, flag: Austria
🇦🇺	flag, flag: Australia
🇦🇼	flag, flag: Aruba
🇦🇽	flag, flag: Åland Islands
🇦🇿	flag, flag: Azerbaijan
🇧🇦	flag, flag: Bosnia & Herzegovina
🇧🇧	flag, flag: Barbados
🇧🇩	flag, flag: Bangladesh
🇧🇪	flag, flag: Belgium
🇧🇫	flag, flag: Burkina Faso
🇧🇬	flag, flag: Bulgaria
🇧🇭	flag, flag: Bahrain
🇧🇮	flag, flag: Burundi
🇧🇯	flag, flag: Benin
🇧🇱	flag, flag: St. Barthélemy
🇧🇲	flag, flag: Bermuda
🇧🇳	flag, flag: Brunei
🇧🇴	flag, flag: Bolivia
🇧🇶	flag, flag: Caribbean Netherlands
🇧🇷	flag, flag: Brazil
🇧🇸	flag, flag: Bahamas
🇧🇹	flag, flag: Bhutan
🇧🇻	flag, flag: Bouvet Island
🇧🇼	flag, flag: Botswana
🇧🇾	flag, flag: Belarus
🇧🇿	flag, flag: Belize
🇨🇦	flag, flag: Canada
🇨🇨	flag, flag: Cocos (Keeling) Islands
🇨🇩	flag, flag: Congo - Kinshasa
🇨🇫	flag, flag: Central African Republic
🇨🇬	flag, flag: Congo - Brazzaville
🇨🇭	flag, flag: Switzerland
🇨🇮	flag, flag: Côte d’Ivoire
🇨🇰	flag, flag: Cook Islands
🇨🇱	flag, flag: Chile
🇨🇲	flag, flag: Cameroon
🇨🇳	flag, flag: China
🇨🇴	flag, flag: Colombia
🇨🇵	flag, flag: Clipperton Island
🇨🇷	flag, flag: Costa Rica
🇨🇺	flag, flag: Cuba
🇨🇻	flag, flag: Cape Verde
🇨🇼	flag, flag: Curaçao
🇨🇽	flag, flag: Christmas Island
🇨🇾	flag, flag: Cyprus
🇨🇿	flag, flag: Czechia
🇩🇪	flag, flag: Germany
🇩🇬	flag, flag: Diego Garcia
🇩🇯	flag, flag: Djibouti
🇩🇰	flag, flag: Denmark
🇩🇲	flag, flag: Dominica
🇩🇴	flag, flag: Dominican Republic
🇩🇿	flag, flag: Algeria
🇪🇦	flag, flag: Ceuta & Melilla
🇪🇨	flag, flag: Ecuador
🇪🇪	flag, flag: Estonia
🇪🇬	flag, flag: Egypt
🇪🇭	flag, flag: Western Sahara
🇪🇷	flag, flag: Eritrea
🇪🇸	flag, flag: Spain
🇪🇹	flag, flag: Ethiopia
🇪🇺	flag, flag: European Union
🇫🇮	flag, flag: Finland
🇫🇯	flag, flag: Fiji
🇫🇰	flag, flag: Falkland Islands
🇫🇲	flag, flag: Micronesia
🇫🇴	flag, flag: Faroe Islands
🇫🇷	flag, flag: France
🇬🇦	flag, flag: Gabon
🇬🇧	flag, flag: United Kingdom
🇬🇩	flag, flag: Grenada
🇬🇪	flag, flag: Georgia
🇬🇫	flag, flag: French Guiana
🇬🇬	flag, flag: Guernsey
🇬🇭	flag, flag: Ghana
🇬🇮	flag, flag: Gibraltar
🇬🇱	flag, flag: Greenland
🇬🇲	flag, flag: Gambia
🇬🇳	flag, flag: Guinea
🇬🇵	flag, flag: Guadeloupe
🇬🇶	flag, flag: Equatorial Guinea
🇬🇷	flag, flag: Greece
🇬🇸	flag, flag: South Georgia & South Sandwich Islands
🇬🇹	flag, flag: Guatemala
🇬🇺	flag, flag: Guam
🇬🇼	flag, flag: Guinea-Bissau
🇬🇾	flag, flag: Guyana
🇭🇰	flag, flag: Hong Kong SAR China
🇭🇲	flag, flag: Heard & McDonald Islands
🇭🇳	flag, flag: Honduras
🇭🇷	flag, flag: Croatia
🇭🇹	flag, flag: Haiti
🇭🇺	flag, flag: Hungary
🇮🇨	flag, flag: Canary Islands
🇮🇩	flag, flag: Indonesia
🇮🇪	flag, flag: Ireland
🇮🇱	flag, flag: Israel
🇮🇲	flag, flag: Isle of Man
🇮🇳	flag, flag: India
🇮🇴	flag, flag: British Indian Ocean Territory
🇮🇶	flag, flag: Iraq
🇮🇷	flag, flag: Iran
🇮🇸	flag, flag: Iceland
🇮🇹	flag, flag: Italy
🇯🇪	flag, flag: Jersey
🇯🇲	flag, flag: Jamaica
🇯🇴	flag, flag: Jordan
🇯🇵	flag, flag: Japan
🇰🇪	flag, flag: Kenya
🇰🇬	flag, flag: Kyrgyzstan
🇰🇭	flag, flag: Cambodia
🇰🇮	flag, flag: Kiribati
🇰🇲	flag, flag: Comoros
🇰🇳	flag, flag: St. Kitts & Nevis
🇰🇵	flag, flag: North Korea
🇰🇷	flag, flag: South Korea
🇰🇼	flag, flag: Kuwait
🇰🇾	flag, flag: Cayman Islands
🇰🇿	flag, flag: Kazakhstan
🇱🇦	flag, flag: Laos
🇱🇧	flag, flag: Lebanon
🇱🇨	flag, flag: St. Lucia
🇱🇮	flag, flag: Liechtenstein
🇱🇰	flag, flag: Sri Lanka
🇱🇷	flag, flag: Liberia
🇱🇸	flag, flag: Lesotho
🇱🇹	flag, flag: Lithuania
🇱🇺	flag, flag: Luxembourg
🇱🇻	flag, flag: Latvia
🇱🇾	flag, flag: Libya
🇲🇦	flag, flag: Morocco
🇲🇨	flag, flag: Monaco
🇲🇩	flag, flag: Moldova
🇲🇪	flag, flag: Montenegro
🇲🇫	flag, flag: St. Martin
🇲🇬	flag, flag: Madagascar
🇲🇭	flag, flag: Marshall Islands
🇲🇰	flag, flag: North Macedonia
🇲🇱	flag, flag: Mali
🇲🇲	flag, flag: Myanmar (Burma)
🇲🇳	flag, flag: Mongolia
🇲🇴	flag, flag: Macao SAR China
🇲🇵	flag, flag: Northern Mariana Islands
🇲🇶	flag, flag: Martinique
🇲🇷	flag, flag: Mauritania
🇲🇸	flag, flag: Montserrat
🇲🇹	flag, flag: Malta
🇲🇺	flag, flag: Mauritius
🇲🇻	flag, flag: Maldives
🇲🇼	flag, flag: Malawi
🇲🇽	flag, flag: Mexico
🇲🇾	flag, flag: Malaysia
🇲🇿	flag, flag: Mozambique
🇳🇦	flag, flag: Namibia
🇳🇨	flag, flag: New Caledonia
🇳🇪	flag, flag: Niger
🇳🇫	flag, flag: Norfolk Island
🇳🇬	flag, flag: Nigeria
🇳🇮	flag, flag: Nicaragua
🇳🇱	flag, flag: Netherlands
🇳🇴	flag, flag: Norway
🇳🇵	flag, flag: Nepal
🇳🇷	flag, flag: Nauru
🇳🇺	flag, flag: Niue
🇳🇿	flag, flag: New Zealand
🇴🇲	flag, flag: Oman
🇵🇦	flag, flag: Panama
🇵🇪	flag, flag: Peru
🇵🇫	flag, flag: French Polynesia
🇵🇬	flag, flag: Papua New Guinea
🇵🇭	flag, flag: Philippines
🇵🇰	flag, flag: Pakistan
🇵🇱	flag, flag: Poland
🇵🇲	flag, flag: St. Pierre & Miquelon
🇵🇳	flag, flag: Pitcairn Islands
🇵🇷	flag, flag: Puerto Rico
🇵🇸	flag, flag: Palestinian Territories
🇵🇹	flag, flag: Portugal
🇵🇼	flag, flag: Palau
🇵🇾	flag, flag: Paraguay
🇶🇦	flag, flag: Qatar
🇷🇪	flag, flag: Réunion
🇷🇴	flag, flag: Romania
🇷🇸	flag, flag: Serbia
🇷🇺	flag, flag: Russia
🇷🇼	flag, flag: Rwanda
🇸🇦	flag, flag: Saudi Arabia
🇸🇧	flag, flag: Solomon Islands
🇸🇨	flag, flag: Seychelles
🇸🇩	flag, flag: Sudan
🇸🇪	flag, flag: Sweden
🇸🇬	flag, flag: Singapore
🇸🇭	flag, flag: St. Helena
🇸🇮	flag, flag: Slovenia
🇸🇯	flag, flag: Svalbard & Jan Mayen
🇸🇰	flag, flag: Slovakia
🇸🇱	flag, flag: Sierra Leone
🇸🇲	flag, flag: San Marino
🇸🇳	flag, flag: Senegal
🇸🇴	flag, flag: Somalia
🇸🇷	flag, flag: Suriname
🇸🇸	flag, flag: South Sudan
🇸🇹	flag, flag: São Tomé & Príncipe
🇸🇻	flag, flag: El Salvador
🇸🇽	flag, flag: Sint Maarten
🇸🇾	flag, flag: Syria
🇸🇿	flag, flag: Eswatini
🇹🇦	flag, flag: Tristan da Cunha
🇹🇨	flag, flag: Turks & Caicos Islands
🇹🇩	flag, flag: Chad
🇹🇫	flag, flag: French Southern Territories
🇹🇬	flag, flag: Togo
🇹🇭	flag, flag: Thailand
🇹🇯	flag, flag: Tajikistan
🇹🇰	flag, flag: Tokelau
