😀	išsišiepti, išsišiepęs veidas, veidas
👩🏼‍🎤	aktorė, dainininkė, dainininkė: vidutinio gymio, moteris, rokas, vidutinio gymio, žvaigždė
👩🏽‍🎤	aktorė, dainininkė, dainininkė: rusvos odos, moteris, rokas, rusvos odos, žvaigždė
👩🏾‍🎤	aktorė, dainininkė, dainininkė: tamsios odos, moteris, rokas, tamsios odos, žvaigždė
👩🏿‍🎤	aktorė, dainininkė, dainininkė: itin tamsios odos, itin tamsios odos, moteris, rokas, žvaigždė
👨‍🎨	dailininkas, paletė, vyras
👨🏻‍🎨	dailininkas, dailininkas: šviesios odos, paletė, vyras, šviesios odos
👨🏼‍🎨	dailininkas, dailininkas: vidutinio gymio, paletė, vidutinio gymio, vyras
👨🏽‍🎨	dailininkas, dailininkas: rusvos odos, paletė, rusvos odos, vyras
👨🏾‍🎨	dailininkas, dailininkas: tamsios odos, paletė, tamsios odos, vyras
👨🏿‍🎨	dailininkas, dailininkas: itin tamsios odos, itin tamsios odos, paletė, vyras
👩‍🎨	dailininkė, moteris, paletė
👩🏻‍🎨	dailininkė, dailininkė: šviesios odos, moteris, paletė, šviesios odos
👩🏼‍🎨	dailininkė, dailininkė: vidutinio gymio, moteris, paletė, vidutinio gymio
👩🏽‍🎨	dailininkė, dailininkė: rusvos odos, moteris, paletė, rusvos odos
👩🏾‍🎨	dailininkė, dailininkė: tamsios odos, moteris, paletė, tamsios odos
👩🏿‍🎨	dailininkė, dailininkė: itin tamsios odos, itin tamsios odos, moteris, paletė
👨‍✈	lėktuvas, pilotas, vyras
👨🏻‍✈	lėktuvas, pilotas, pilotas: šviesios odos, vyras, šviesios odos
👨🏼‍✈	lėktuvas, pilotas, pilotas: vidutinio gymio, vidutinio gymio, vyras
👨🏽‍✈	lėktuvas, pilotas, pilotas: rusvos odos, rusvos odos, vyras
👨🏾‍✈	lėktuvas, pilotas, pilotas: tamsios odos, tamsios odos, vyras
👨🏿‍✈	itin tamsios odos, lėktuvas, pilotas, pilotas: itin tamsios odos, vyras
👩‍✈	lėktuvas, moteris, pilotė
👩🏻‍✈	lėktuvas, moteris, pilotė, pilotė: šviesios odos, šviesios odos
👩🏼‍✈	lėktuvas, moteris, pilotė, pilotė: vidutinio gymio, vidutinio gymio
👩🏽‍✈	lėktuvas, moteris, pilotė, pilotė: rusvos odos, rusvos odos
👩🏾‍✈	lėktuvas, moteris, pilotė, pilotė: tamsios odos, tamsios odos
👩🏿‍✈	itin tamsios odos, lėktuvas, moteris, pilotė, pilotė: itin tamsios odos
👨‍🚀	astronautas, raketa, vyras
👨🏻‍🚀	astronautas, astronautas: šviesios odos, raketa, vyras, šviesios odos
👨🏼‍🚀	astronautas, astronautas: vidutinio gymio, raketa, vidutinio gymio, vyras
👨🏽‍🚀	astronautas, astronautas: rusvos odos, raketa, rusvos odos, vyras
👨🏾‍🚀	astronautas, astronautas: tamsios odos, raketa, tamsios odos, vyras
👨🏿‍🚀	astronautas, astronautas: itin tamsios odos, itin tamsios odos, raketa, vyras
👩‍🚀	astronautė, moteris, raketa
👩🏻‍🚀	astronautė, astronautė: šviesios odos, moteris, raketa, šviesios odos
👩🏼‍🚀	astronautė, astronautė: vidutinio gymio, moteris, raketa, vidutinio gymio
👩🏽‍🚀	astronautė, astronautė: rusvos odos, moteris, raketa, rusvos odos
👩🏾‍🚀	astronautė, astronautė: tamsios odos, moteris, raketa, tamsios odos
👩🏿‍🚀	astronautė, astronautė: itin tamsios odos, itin tamsios odos, moteris, raketa
👨‍🚒	gaisrininkas, gaisrininkų automobilis, vyras
👨🏻‍🚒	gaisrininkas, gaisrininkas: šviesios odos, gaisrininkų automobilis, vyras, šviesios odos
👨🏼‍🚒	gaisrininkas, gaisrininkas: vidutinio gymio, gaisrininkų automobilis, vidutinio gymio, vyras
👨🏽‍🚒	gaisrininkas, gaisrininkas: rusvos odos, gaisrininkų automobilis, rusvos odos, vyras
👨🏾‍🚒	gaisrininkas, gaisrininkas: tamsios odos, gaisrininkų automobilis, tamsios odos, vyras
👨🏿‍🚒	gaisrininkas, gaisrininkas: itin tamsios odos, gaisrininkų automobilis, itin tamsios odos, vyras
👩‍🚒	gaisrininkė, gaisrininkų automobilis, moteris
👩🏻‍🚒	gaisrininkė, gaisrininkė: šviesios odos, gaisrininkų automobilis, moteris, šviesios odos
👩🏼‍🚒	gaisrininkė, gaisrininkė: vidutinio gymio, gaisrininkų automobilis, moteris, vidutinio gymio
👩🏽‍🚒	gaisrininkė, gaisrininkė: rusvos odos, gaisrininkų automobilis, moteris, rusvos odos
👩🏾‍🚒	gaisrininkė, gaisrininkė: tamsios odos, gaisrininkų automobilis, moteris, tamsios odos
👩🏿‍🚒	gaisrininkė, gaisrininkė: itin tamsios odos, gaisrininkų automobilis, itin tamsios odos, moteris
👮	pareigūnas, policija, policininkas
👮🏻	pareigūnas, policija, policininkas, policininkas: šviesios odos, šviesios odos
👮🏼	pareigūnas, policija, policininkas, policininkas: vidutinio gymio, vidutinio gymio
👮🏽	pareigūnas, policija, policininkas, policininkas: rusvos odos, rusvos odos
👮🏾	pareigūnas, policija, policininkas, policininkas: tamsios odos, tamsios odos
👮🏿	itin tamsios odos, pareigūnas, policija, policininkas, policininkas: itin tamsios odos
👮‍♂	pareigūnas, policija, policininkas, vyras, vyras policininkas
👮🏻‍♂	pareigūnas, policija, policininkas, vyras, vyras policininkas: šviesios odos, šviesios odos
👮🏼‍♂	pareigūnas, policija, policininkas, vidutinio gymio, vyras, vyras policininkas: vidutinio gymio
👮🏽‍♂	pareigūnas, policija, policininkas, rusvos odos, vyras, vyras policininkas: rusvos odos
👮🏾‍♂	pareigūnas, policija, policininkas, tamsios odos, vyras, vyras policininkas: tamsios odos
👮🏿‍♂	itin tamsios odos, pareigūnas, policija, policininkas, vyras, vyras policininkas: itin tamsios odos
👮‍♀	moteris, moteris policininkė, pareigūnė, policija, policininkė
👮🏻‍♀	moteris, moteris policininkė: šviesios odos, pareigūnė, policija, policininkė, šviesios odos
👮🏼‍♀	moteris, moteris policininkė: vidutinio gymio, pareigūnė, policija, policininkė, vidutinio gymio
👮🏽‍♀	moteris, moteris policininkė: rusvos odos, pareigūnė, policija, policininkė, rusvos odos
👮🏾‍♀	moteris, moteris policininkė: tamsios odos, pareigūnė, policija, policininkė, tamsios odos
👮🏿‍♀	itin tamsios odos, moteris, moteris policininkė: itin tamsios odos, pareigūnė, policija, policininkė
🕵️	detektyvas, šnipas
🕵🏻	detektyvas, detektyvas: šviesios odos, šnipas, šviesios odos
🕵🏼	detektyvas, detektyvas: vidutinio gymio, vidutinio gymio, šnipas
🕵🏽	detektyvas, detektyvas: rusvos odos, rusvos odos, šnipas
🕵🏾	detektyvas, detektyvas: tamsios odos, tamsios odos, šnipas
🕵🏿	detektyvas, detektyvas: itin tamsios odos, itin tamsios odos, šnipas
🕵‍♂	detektyvas, seklas, seklys, vyras, šnipas
🕵🏻‍♂	detektyvas, seklas, seklys, seklys: šviesios odos, vyras, šnipas, šviesios odos
🕵🏼‍♂	detektyvas, seklas, seklys, seklys: vidutinio gymio, vidutinio gymio, vyras, šnipas
🕵🏽‍♂	detektyvas, rusvos odos, seklas, seklys, seklys: rusvos odos, vyras, šnipas
🕵🏾‍♂	detektyvas, seklas, seklys, seklys: tamsios odos, tamsios odos, vyras, šnipas
🕵🏿‍♂	detektyvas, itin tamsios odos, seklas, seklys, seklys: itin tamsios odos, vyras, šnipas
🕵‍♀	detektyvė, moteris, seklė, šnipė
🕵🏻‍♀	detektyvė, moteris, seklė, seklė: šviesios odos, šnipė, šviesios odos
🕵🏼‍♀	detektyvė, moteris, seklė, seklė: vidutinio gymio, vidutinio gymio, šnipė
🕵🏽‍♀	detektyvė, moteris, rusvos odos, seklė, seklė: rusvos odos, šnipė
🕵🏾‍♀	detektyvė, moteris, seklė, seklė: tamsios odos, tamsios odos, šnipė
🕵🏿‍♀	detektyvė, itin tamsios odos, moteris, seklė, seklė: itin tamsios odos, šnipė
💂	sargyba, sargybinis
💂🏻	sargyba, sargybinis, sargybinis: šviesios odos, šviesios odos
💂🏼	sargyba, sargybinis, sargybinis: vidutinio gymio, vidutinio gymio
💂🏽	rusvos odos, sargyba, sargybinis, sargybinis: rusvos odos
💂🏾	sargyba, sargybinis, sargybinis: tamsios odos, tamsios odos
💂🏿	itin tamsios odos, sargyba, sargybinis, sargybinis: itin tamsios odos
💂‍♂	sargybinis, vyras, vyras sargybinis
💂🏻‍♂	sargybinis, vyras, vyras sargybinis: šviesios odos, šviesios odos
💂🏼‍♂	sargybinis, vidutinio gymio, vyras, vyras sargybinis: vidutinio gymio
💂🏽‍♂	rusvos odos, sargybinis, vyras, vyras sargybinis: rusvos odos
💂🏾‍♂	sargybinis, tamsios odos, vyras, vyras sargybinis: tamsios odos
💂🏿‍♂	itin tamsios odos, sargybinis, vyras, vyras sargybinis: itin tamsios odos
💂‍♀	moteris, sargybinė
💂🏻‍♀	moteris, sargybinė, sargybinė: šviesios odos, šviesios odos
💂🏼‍♀	moteris, sargybinė, sargybinė: vidutinio gymio, vidutinio gymio
💂🏽‍♀	moteris, rusvos odos, sargybinė, sargybinė: rusvos odos
💂🏾‍♀	moteris, sargybinė, sargybinė: tamsios odos, tamsios odos
💂🏿‍♀	itin tamsios odos, moteris, sargybinė, sargybinė: itin tamsios odos
👷	darbuotojas, kepurė, statyba, statybininkas
👷🏻	darbuotojas, kepurė, statyba, statybininkas, statybininkas: šviesios odos, šviesios odos
👷🏼	darbuotojas, kepurė, statyba, statybininkas, statybininkas: vidutinio gymio, vidutinio gymio
👷🏽	darbuotojas, kepurė, rusvos odos, statyba, statybininkas, statybininkas: rusvos odos
👷🏾	darbuotojas, kepurė, statyba, statybininkas, statybininkas: tamsios odos, tamsios odos
👷🏿	darbuotojas, itin tamsios odos, kepurė, statyba, statybininkas, statybininkas: itin tamsios odos
👷‍♂	darbininkas, statybininkas, vyras, vyras statybininkas
👷🏻‍♂	darbininkas, statybininkas, vyras, vyras statybininkas: šviesios odos, šviesios odos
👷🏼‍♂	darbininkas, statybininkas, vidutinio gymio, vyras, vyras statybininkas: vidutinio gymio
👷🏽‍♂	darbininkas, rusvos odos, statybininkas, vyras, vyras statybininkas: rusvos odos
👷🏾‍♂	darbininkas, statybininkas, tamsios odos, vyras, vyras statybininkas: tamsios odos
👷🏿‍♂	darbininkas, itin tamsios odos, statybininkas, vyras, vyras statybininkas: itin tamsios odos
👷‍♀	darbininkė, moteris, statybininkė
👷🏻‍♀	darbininkė, moteris, statybininkė, statybininkė: šviesios odos, šviesios odos
👷🏼‍♀	darbininkė, moteris, statybininkė, statybininkė: vidutinio gymio, vidutinio gymio
👷🏽‍♀	darbininkė, moteris, rusvos odos, statybininkė, statybininkė: rusvos odos
👷🏾‍♀	darbininkė, moteris, statybininkė, statybininkė: tamsios odos, tamsios odos
👷🏿‍♀	darbininkė, itin tamsios odos, moteris, statybininkė, statybininkė: itin tamsios odos
🤴	princas
🤴🏻	princas, princas: šviesios odos, šviesios odos
🤴🏼	princas, princas: vidutinio gymio, vidutinio gymio
🤴🏽	princas, princas: rusvos odos, rusvos odos
🤴🏾	princas, princas: tamsios odos, tamsios odos
🤴🏿	itin tamsios odos, princas, princas: itin tamsios odos
👸	fantazija, pasaka, princesė
👸🏻	fantazija, pasaka, princesė, princesė: šviesios odos, šviesios odos
👸🏼	fantazija, pasaka, princesė, princesė: vidutinio gymio, vidutinio gymio
👸🏽	fantazija, pasaka, princesė, princesė: rusvos odos, rusvos odos
👸🏾	fantazija, pasaka, princesė, princesė: tamsios odos, tamsios odos
👸🏿	fantazija, itin tamsios odos, pasaka, princesė, princesė: itin tamsios odos
👳	turbanas, vyras su turbanu
👳🏻	turbanas, vyras su turbanu, vyras su turbanu: šviesios odos, šviesios odos
👳🏼	turbanas, vidutinio gymio, vyras su turbanu, vyras su turbanu: vidutinio gymio
👳🏽	rusvos odos, turbanas, vyras su turbanu, vyras su turbanu: rusvos odos
👳🏾	tamsios odos, turbanas, vyras su turbanu, vyras su turbanu: tamsios odos
👳🏿	itin tamsios odos, turbanas, vyras su turbanu, vyras su turbanu: itin tamsios odos
👳‍♂	turbanas, vyras, vyriškis su turbanu
👳🏻‍♂	turbanas, vyras, vyriškis su turbanu, vyriškis su turbanu: šviesios odos, šviesios odos
👳🏼‍♂	turbanas, vidutinio gymio, vyras, vyriškis su turbanu, vyriškis su turbanu: vidutinio gymio
👳🏽‍♂	rusvos odos, turbanas, vyras, vyriškis su turbanu, vyriškis su turbanu: rusvos odos
👳🏾‍♂	tamsios odos, turbanas, vyras, vyriškis su turbanu, vyriškis su turbanu: tamsios odos
👳🏿‍♂	itin tamsios odos, turbanas, vyras, vyriškis su turbanu, vyriškis su turbanu: itin tamsios odos
👳‍♀	moteris, moteris su turbanu, turbanas
👳🏻‍♀	moteris, moteris su turbanu, moteris su turbanu: šviesios odos, turbanas, šviesios odos
👳🏼‍♀	moteris, moteris su turbanu, moteris su turbanu: vidutinio gymio, turbanas, vidutinio gymio
👳🏽‍♀	moteris, moteris su turbanu, moteris su turbanu: rusvos odos, rusvos odos, turbanas
👳🏾‍♀	moteris, moteris su turbanu, moteris su turbanu: tamsios odos, tamsios odos, turbanas
👳🏿‍♀	itin tamsios odos, moteris, moteris su turbanu, moteris su turbanu: itin tamsios odos, turbanas
👲	kepurė, kinietiška kepurėlė, vyras, vyras su kinietiška kepurėle
👲🏻	kepurė, kinietiška kepurėlė, vyras, vyras su kinietiška kepurėle, vyras su kinietiška kepurėle: šviesios odos, šviesios odos
👲🏼	kepurė, kinietiška kepurėlė, vidutinio gymio, vyras, vyras su kinietiška kepurėle, vyras su kinietiška kepurėle: vidutinio gymio
👲🏽	kepurė, kinietiška kepurėlė, rusvos odos, vyras, vyras su kinietiška kepurėle, vyras su kinietiška kepurėle: rusvos odos
👲🏾	kepurė, kinietiška kepurėlė, tamsios odos, vyras, vyras su kinietiška kepurėle, vyras su kinietiška kepurėle: tamsios odos
👲🏿	itin tamsios odos, kepurė, kinietiška kepurėlė, vyras, vyras su kinietiška kepurėle, vyras su kinietiška kepurėle: itin tamsios odos
🧕	moteris su skarele, skarelė
🧕🏻	moteris su skarele, moteris su skarele: šviesios odos, skarelė, šviesios odos
🧕🏼	moteris su skarele, moteris su skarele: vidutinio gymio, skarelė, vidutinio gymio
🧕🏽	moteris su skarele, moteris su skarele: rusvos odos, rusvos odos, skarelė
🧕🏾	moteris su skarele, moteris su skarele: tamsios odos, skarelė, tamsios odos
🧕🏿	itin tamsios odos, moteris su skarele, moteris su skarele: itin tamsios odos, skarelė
🤵	jaunikis, smokingas, vyras, vyras su smokingu
🤵🏻	jaunikis, smokingas, vyras, vyras su smokingu, vyras su smokingu: šviesios odos, šviesios odos
🤵🏼	jaunikis, smokingas, vidutinio gymio, vyras, vyras su smokingu, vyras su smokingu: vidutinio gymio
🤵🏽	jaunikis, rusvos odos, smokingas, vyras, vyras su smokingu, vyras su smokingu: rusvos odos
🤵🏾	jaunikis, smokingas, tamsios odos, vyras, vyras su smokingu, vyras su smokingu: tamsios odos
🤵🏿	itin tamsios odos, jaunikis, smokingas, vyras, vyras su smokingu, vyras su smokingu: itin tamsios odos
👰	nuotaka, nuotaka su veliumu, veliumas, vestuvės
👰🏻	nuotaka, nuotaka su veliumu, nuotaka su veliumu: šviesios odos, veliumas, vestuvės, šviesios odos
👰🏼	nuotaka, nuotaka su veliumu, nuotaka su veliumu: vidutinio gymio, veliumas, vestuvės, vidutinio gymio
👰🏽	nuotaka, nuotaka su veliumu, nuotaka su veliumu: rusvos odos, rusvos odos, veliumas, vestuvės
👰🏾	nuotaka, nuotaka su veliumu, nuotaka su veliumu: tamsios odos, tamsios odos, veliumas, vestuvės
👰🏿	itin tamsios odos, nuotaka, nuotaka su veliumu, nuotaka su veliumu: itin tamsios odos, veliumas, vestuvės
🤰	moteris, neščia, nėščia moteris
🤰🏻	moteris, neščia, nėščia moteris, nėščia moteris: šviesios odos, šviesios odos
🤰🏼	moteris, neščia, nėščia moteris, nėščia moteris: vidutinio gymio, vidutinio gymio
🤰🏽	moteris, neščia, nėščia moteris, nėščia moteris: rusvos odos, rusvos odos
🤰🏾	moteris, neščia, nėščia moteris, nėščia moteris: tamsios odos, tamsios odos
🤰🏿	itin tamsios odos, moteris, neščia, nėščia moteris, nėščia moteris: itin tamsios odos
🤱	krūtinė, kūdikis, maitinimas krūtimi, priežiūra
🤱🏻	krūtinė, kūdikis, maitinimas krūtimi, maitinimas krūtimi: šviesios odos, priežiūra, šviesios odos
🤱🏼	krūtinė, kūdikis, maitinimas krūtimi, maitinimas krūtimi: vidutinio gymio, priežiūra, vidutinio gymio
🤱🏽	krūtinė, kūdikis, maitinimas krūtimi, maitinimas krūtimi: rusvos odos, priežiūra, rusvos odos
🤱🏾	krūtinė, kūdikis, maitinimas krūtimi, maitinimas krūtimi: tamsios odos, priežiūra, tamsios odos
🤱🏿	itin tamsios odos, krūtinė, kūdikis, maitinimas krūtimi, maitinimas krūtimi: itin tamsios odos, priežiūra
👼	angelas, angeliukas, fantazija, kūdikis, pasaka, veidas
👼🏻	angelas, angeliukas, angeliukas: šviesios odos, fantazija, kūdikis, pasaka, veidas, šviesios odos
👼🏼	angelas, angeliukas, angeliukas: vidutinio gymio, fantazija, kūdikis, pasaka, veidas, vidutinio gymio
👼🏽	angelas, angeliukas, angeliukas: rusvos odos, fantazija, kūdikis, pasaka, rusvos odos, veidas
👼🏾	angelas, angeliukas, angeliukas: tamsios odos, fantazija, kūdikis, pasaka, tamsios odos, veidas
👼🏿	angelas, angeliukas, angeliukas: itin tamsios odos, fantazija, itin tamsios odos, kūdikis, pasaka, veidas
🎅	Kalėdos, Kalėdų senelis, senelis, tėvas, šventė
🎅🏻	Kalėdos, Kalėdų senelis, Kalėdų senelis: šviesios odos, senelis, tėvas, šventė, šviesios odos
🎅🏼	Kalėdos, Kalėdų senelis, Kalėdų senelis: vidutinio gymio, senelis, tėvas, vidutinio gymio, šventė
🎅🏽	Kalėdos, Kalėdų senelis, Kalėdų senelis: rusvos odos, rusvos odos, senelis, tėvas, šventė
🎅🏾	Kalėdos, Kalėdų senelis, Kalėdų senelis: tamsios odos, senelis, tamsios odos, tėvas, šventė
🎅🏿	Kalėdos, Kalėdų senelis, Kalėdų senelis: itin tamsios odos, itin tamsios odos, senelis, tėvas, šventė
🤶	Kalėdos, mama, ponia, ponia Claus, šventė
🤶🏻	Kalėdos, mama, ponia, ponia Claus, ponia Claus: šviesios odos, šventė, šviesios odos
🤶🏼	Kalėdos, mama, ponia, ponia Claus, ponia Claus: vidutinio gymio, vidutinio gymio, šventė
🤶🏽	Kalėdos, mama, ponia, ponia Claus, ponia Claus: rusvos odos, rusvos odos, šventė
🤶🏾	Kalėdos, mama, ponia, ponia Claus, ponia Claus: tamsios odos, tamsios odos, šventė
🤶🏿	Kalėdos, itin tamsios odos, mama, ponia, ponia Claus, ponia Claus: itin tamsios odos, šventė
