😀	syrtarma, syrtarýan ýüz, ýüz
👨🏻‍🏭	açyk deri reňki, erkek, erkek zawod işçisi, erkek zawod işçisi: açyk deri reňki, gurnama, işçi, senagat, zawod
👨🏼‍🏭	erkek, erkek zawod işçisi, erkek zawod işçisi: orta açyk deri reňki, gurnama, işçi, orta açyk deri reňki, senagat, zawod
👨🏽‍🏭	erkek, erkek zawod işçisi, erkek zawod işçisi: orta deri reňki, gurnama, işçi, orta deri reňki, senagat, zawod
👨🏾‍🏭	erkek, erkek zawod işçisi, erkek zawod işçisi: orta goýy deri reňki, gurnama, işçi, orta goýy deri reňki, senagat, zawod
👨🏿‍🏭	erkek, erkek zawod işçisi, erkek zawod işçisi: goýy deri reňki, goýy deri reňki, gurnama, işçi, senagat, zawod
👩‍🏭	gurnama, işçi, senagat, zawod, zenan, zenan zawod işçisi
👩🏻‍🏭	açyk deri reňki, gurnama, işçi, senagat, zawod, zenan, zenan zawod işçisi, zenan zawod işçisi: açyk deri reňki
👩🏼‍🏭	gurnama, işçi, orta açyk deri reňki, senagat, zawod, zenan, zenan zawod işçisi, zenan zawod işçisi: orta açyk deri reňki
👩🏽‍🏭	gurnama, işçi, orta deri reňki, senagat, zawod, zenan, zenan zawod işçisi, zenan zawod işçisi: orta deri reňki
👩🏾‍🏭	gurnama, işçi, orta goýy deri reňki, senagat, zawod, zenan, zenan zawod işçisi, zenan zawod işçisi: orta goýy deri reňki
👩🏿‍🏭	goýy deri reňki, gurnama, işçi, senagat, zawod, zenan, zenan zawod işçisi, zenan zawod işçisi: goýy deri reňki
👨‍💼	binagär, erkek, erkek ofis işgäri, işewürlik, ofis, ofis işgäri, ýolbaşçy
👨🏻‍💼	açyk deri reňki, binagär, erkek, erkek ofis işgäri, erkek ofis işgäri: açyk deri reňki, işewürlik, ofis, ofis işgäri, ýolbaşçy
👨🏼‍💼	binagär, erkek, erkek ofis işgäri, erkek ofis işgäri: orta açyk deri reňki, işewürlik, ofis, ofis işgäri, orta açyk deri reňki, ýolbaşçy
👨🏽‍💼	binagär, erkek, erkek ofis işgäri, erkek ofis işgäri: orta deri reňki, işewürlik, ofis, ofis işgäri, orta deri reňki, ýolbaşçy
👨🏾‍💼	binagär, erkek, erkek ofis işgäri, erkek ofis işgäri: orta goýy deri reňki, işewürlik, ofis, ofis işgäri, orta goýy deri reňki, ýolbaşçy
👨🏿‍💼	binagär, erkek, erkek ofis işgäri, erkek ofis işgäri: goýy deri reňki, goýy deri reňki, işewürlik, ofis, ofis işgäri, ýolbaşçy
👩‍💼	binagär, işewürlik, ofis, ofis işgäri, zenan, zenan ofis işgäri, ýolbaşçy
👩🏻‍💼	açyk deri reňki, binagär, işewürlik, ofis, ofis işgäri, zenan, zenan ofis işgäri, zenan ofis işgäri: açyk deri reňki, ýolbaşçy
👩🏼‍💼	binagär, işewürlik, ofis, ofis işgäri, orta açyk deri reňki, zenan, zenan ofis işgäri, zenan ofis işgäri: orta açyk deri reňki, ýolbaşçy
👩🏽‍💼	binagär, işewürlik, ofis, ofis işgäri, orta deri reňki, zenan, zenan ofis işgäri, zenan ofis işgäri: orta deri reňki, ýolbaşçy
👩🏾‍💼	binagär, işewürlik, ofis, ofis işgäri, orta goýy deri reňki, zenan, zenan ofis işgäri, zenan ofis işgäri: orta goýy deri reňki, ýolbaşçy
👩🏿‍💼	binagär, goýy deri reňki, işewürlik, ofis, ofis işgäri, zenan, zenan ofis işgäri, zenan ofis işgäri: goýy deri reňki, ýolbaşçy
👨‍🔬	alym, biolog, erkek, erkek alym, fizik, himik, inžener, matematik
👨🏻‍🔬	alym, açyk deri reňki, biolog, erkek, erkek alym: açyk deri reňki, fizik, himik, inžener, matematik
👨🏼‍🔬	alym, biolog, erkek, erkek alym: orta açyk deri reňki, fizik, himik, inžener, matematik, orta açyk deri reňki
👨🏽‍🔬	alym, biolog, erkek, erkek alym: orta deri reňki, fizik, himik, inžener, matematik, orta deri reňki
👨🏾‍🔬	alym, biolog, erkek, erkek alym: orta goýy deri reňki, fizik, himik, inžener, matematik, orta goýy deri reňki
👨🏿‍🔬	alym, biolog, erkek, erkek alym: goýy deri reňki, fizik, goýy deri reňki, himik, inžener, matematik
👩‍🔬	alym, biolog, fizik, himik, inžener, matematik, zenan, zenan alym
👩🏻‍🔬	alym, açyk deri reňki, biolog, fizik, himik, inžener, matematik, zenan, zenan alym: açyk deri reňki
👩🏼‍🔬	alym, biolog, fizik, himik, inžener, matematik, orta açyk deri reňki, zenan, zenan alym: orta açyk deri reňki
👩🏽‍🔬	alym, biolog, fizik, himik, inžener, matematik, orta deri reňki, zenan, zenan alym: orta deri reňki
👩🏾‍🔬	alym, biolog, fizik, himik, inžener, matematik, orta goýy deri reňki, zenan, zenan alym: orta goýy deri reňki
👩🏿‍🔬	alym, biolog, fizik, goýy deri reňki, himik, inžener, matematik, zenan, zenan alym: goýy deri reňki
👨‍💻	dörediji, erkek, erkek tehnolog, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog
👨🏻‍💻	açyk deri reňki, dörediji, erkek, erkek tehnolog: açyk deri reňki, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog
👨🏼‍💻	dörediji, erkek, erkek tehnolog: orta açyk deri reňki, orta açyk deri reňki, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog
👨🏽‍💻	dörediji, erkek, erkek tehnolog: orta deri reňki, orta deri reňki, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog
👨🏾‍💻	dörediji, erkek, erkek tehnolog: orta goýy deri reňki, orta goýy deri reňki, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog
👨🏿‍💻	dörediji, erkek, erkek tehnolog: goýy deri reňki, goýy deri reňki, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog
👩‍💻	dörediji, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog, zenan, zenan tehnolog
👩🏻‍💻	açyk deri reňki, dörediji, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog, zenan, zenan tehnolog: açyk deri reňki
👩🏼‍💻	dörediji, orta açyk deri reňki, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog, zenan, zenan tehnolog: orta açyk deri reňki
👩🏽‍💻	dörediji, orta deri reňki, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog, zenan, zenan tehnolog: orta deri reňki
👩🏾‍💻	dörediji, orta goýy deri reňki, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog, zenan, zenan tehnolog: orta goýy deri reňki
👩🏿‍💻	dörediji, goýy deri reňki, oýlap tapyjy, programma düzüji, programma üpjünçiligi, tehnolog, zenan, zenan tehnolog: goýy deri reňki
👨‍🎤	aktýor, aýdymçy, erkek, erkek aýdymçy, medeniýet işgäri, rok, ýyldyz
👨🏻‍🎤	aktýor, açyk deri reňki, aýdymçy, erkek, erkek aýdymçy: açyk deri reňki, medeniýet işgäri, rok, ýyldyz
👨🏼‍🎤	aktýor, aýdymçy, erkek, erkek aýdymçy: orta açyk deri reňki, medeniýet işgäri, orta açyk deri reňki, rok, ýyldyz
👨🏽‍🎤	aktýor, aýdymçy, erkek, erkek aýdymçy: orta deri reňki, medeniýet işgäri, orta deri reňki, rok, ýyldyz
👨🏾‍🎤	aktýor, aýdymçy, erkek, erkek aýdymçy: orta goýy deri reňki, medeniýet işgäri, orta goýy deri reňki, rok, ýyldyz
👨🏿‍🎤	aktýor, aýdymçy, erkek, erkek aýdymçy: goýy deri reňki, goýy deri reňki, medeniýet işgäri, rok, ýyldyz
👩‍🎤	aktýor, aýdymçy, medeniýet işgäri, rok, zenan, zenan aýdymçy, ýyldyz
👩🏻‍🎤	aktýor, açyk deri reňki, aýdymçy, medeniýet işgäri, rok, zenan, zenan aýdymçy: açyk deri reňki, ýyldyz
👩🏼‍🎤	aktýor, aýdymçy, medeniýet işgäri, orta açyk deri reňki, rok, zenan, zenan aýdymçy: orta açyk deri reňki, ýyldyz
👩🏽‍🎤	aktýor, aýdymçy, medeniýet işgäri, orta deri reňki, rok, zenan, zenan aýdymçy: orta deri reňki, ýyldyz
👩🏾‍🎤	aktýor, aýdymçy, medeniýet işgäri, orta goýy deri reňki, rok, zenan, zenan aýdymçy: orta goýy deri reňki, ýyldyz
👩🏿‍🎤	aktýor, aýdymçy, goýy deri reňki, medeniýet işgäri, rok, zenan, zenan aýdymçy: goýy deri reňki, ýyldyz
👨‍🎨	erkek, erkek suratkeş, palitra, suratkeş
👨🏻‍🎨	açyk deri reňki, erkek, erkek suratkeş: açyk deri reňki, palitra, suratkeş
👨🏼‍🎨	erkek, erkek suratkeş: orta açyk deri reňki, orta açyk deri reňki, palitra, suratkeş
👨🏽‍🎨	erkek, erkek suratkeş: orta deri reňki, orta deri reňki, palitra, suratkeş
👨🏾‍🎨	erkek, erkek suratkeş: orta goýy deri reňki, orta goýy deri reňki, palitra, suratkeş
👨🏿‍🎨	erkek, erkek suratkeş: goýy deri reňki, goýy deri reňki, palitra, suratkeş
👩‍🎨	palitra, suratkeş, zenan, zenan surarteş
👩🏻‍🎨	açyk deri reňki, palitra, suratkeş, zenan, zenan surarteş, zenan surarteş: açyk deri reňki
👩🏼‍🎨	orta açyk deri reňki, palitra, suratkeş, zenan, zenan surarteş, zenan surarteş: orta açyk deri reňki
👩🏽‍🎨	orta deri reňki, palitra, suratkeş, zenan, zenan surarteş, zenan surarteş: orta deri reňki
👩🏾‍🎨	orta goýy deri reňki, palitra, suratkeş, zenan, zenan surarteş, zenan surarteş: orta goýy deri reňki
👩🏿‍🎨	goýy deri reňki, palitra, suratkeş, zenan, zenan surarteş, zenan surarteş: goýy deri reňki
👨‍✈	erkek, erkek uçarman, uçar, uçarman
👨🏻‍✈	açyk deri reňki, erkek, erkek uçarman: açyk deri reňki, uçar, uçarman
👨🏼‍✈	erkek, erkek uçarman: orta açyk deri reňki, orta açyk deri reňki, uçar, uçarman
👨🏽‍✈	erkek, erkek uçarman: orta deri reňki, orta deri reňki, uçar, uçarman
👨🏾‍✈	erkek, erkek uçarman: orta goýy deri reňki, orta goýy deri reňki, uçar, uçarman
👨🏿‍✈	erkek, erkek uçarman: goýy deri reňki, goýy deri reňki, uçar, uçarman
👩‍✈	uçar, uçarman, zenan, zenan uçarman
👩🏻‍✈	açyk deri reňki, uçar, uçarman, zenan, zenan uçarman: açyk deri reňki
👩🏼‍✈	orta açyk deri reňki, uçar, uçarman, zenan, zenan uçarman: orta açyk deri reňki
👩🏽‍✈	orta deri reňki, uçar, uçarman, zenan, zenan uçarman: orta deri reňki
👩🏾‍✈	orta goýy deri reňki, uçar, uçarman, zenan, zenan uçarman: orta goýy deri reňki
👩🏿‍✈	goýy deri reňki, uçar, uçarman, zenan, zenan uçarman: goýy deri reňki
👨‍🚀	erkek, erkek kosmonawt, kosmonawt, raketa
👨🏻‍🚀	açyk deri reňki, erkek, erkek kosmonawt: açyk deri reňki, kosmonawt, raketa
👨🏼‍🚀	erkek, erkek kosmonawt: orta açyk deri reňki, kosmonawt, orta açyk deri reňki, raketa
👨🏽‍🚀	erkek, erkek kosmonawt: orta deri reňki, kosmonawt, orta deri reňki, raketa
👨🏾‍🚀	erkek, erkek kosmonawt: orta goýy deri reňki, kosmonawt, orta goýy deri reňki, raketa
👨🏿‍🚀	erkek, erkek kosmonawt: goýy deri reňki, goýy deri reňki, kosmonawt, raketa
👩‍🚀	kosmonawt, raketa, zenan, zenan kosmonawt
👩🏻‍🚀	açyk deri reňki, kosmonawt, raketa, zenan, zenan kosmonawt: açyk deri reňki
👩🏼‍🚀	kosmonawt, orta açyk deri reňki, raketa, zenan, zenan kosmonawt: orta açyk deri reňki
👩🏽‍🚀	kosmonawt, orta deri reňki, raketa, zenan, zenan kosmonawt: orta deri reňki
👩🏾‍🚀	kosmonawt, orta goýy deri reňki, raketa, zenan, zenan kosmonawt: orta goýy deri reňki
👩🏿‍🚀	goýy deri reňki, kosmonawt, raketa, zenan, zenan kosmonawt: goýy deri reňki
👨‍🚒	erkek, erkek ýangyn söndüriji, ýangyn söndüriji, ýangyn söndüriş ulagy
👨🏻‍🚒	açyk deri reňki, erkek, erkek ýangyn söndüriji, erkek ýangyn söndüriji: açyk deri reňki, ýangyn söndüriji, ýangyn söndüriş ulagy
👨🏼‍🚒	erkek, erkek ýangyn söndüriji, erkek ýangyn söndüriji: orta açyk deri reňki, orta açyk deri reňki, ýangyn söndüriji, ýangyn söndüriş ulagy
👨🏽‍🚒	erkek, erkek ýangyn söndüriji, erkek ýangyn söndüriji: orta deri reňki, orta deri reňki, ýangyn söndüriji, ýangyn söndüriş ulagy
👨🏾‍🚒	erkek, erkek ýangyn söndüriji, erkek ýangyn söndüriji: orta goýy deri reňki, orta goýy deri reňki, ýangyn söndüriji, ýangyn söndüriş ulagy
👨🏿‍🚒	erkek, erkek ýangyn söndüriji, erkek ýangyn söndüriji: goýy deri reňki, goýy deri reňki, ýangyn söndüriji, ýangyn söndüriş ulagy
👩‍🚒	zenan, zenan ýangyn söndüriji, ýangyn söndüriji, ýangyn söndüriş ulagy
👩🏻‍🚒	açyk deri reňki, zenan, zenan ýangyn söndüriji, zenan ýangyn söndüriji: açyk deri reňki, ýangyn söndüriji, ýangyn söndüriş ulagy
👩🏼‍🚒	orta açyk deri reňki, zenan, zenan ýangyn söndüriji, zenan ýangyn söndüriji: orta açyk deri reňki, ýangyn söndüriji, ýangyn söndüriş ulagy
👩🏽‍🚒	orta deri reňki, zenan, zenan ýangyn söndüriji, zenan ýangyn söndüriji: orta deri reňki, ýangyn söndüriji, ýangyn söndüriş ulagy
👩🏾‍🚒	orta goýy deri reňki, zenan, zenan ýangyn söndüriji, zenan ýangyn söndüriji: orta goýy deri reňki, ýangyn söndüriji, ýangyn söndüriş ulagy
👩🏿‍🚒	goýy deri reňki, zenan, zenan ýangyn söndüriji, zenan ýangyn söndüriji: goýy deri reňki, ýangyn söndüriji, ýangyn söndüriş ulagy
👮	milisioner, ofiser, polisiýa işgäri
👮🏻	açyk deri reňki, milisioner, ofiser, polisiýa işgäri, polisiýa işgäri: açyk deri reňki
👮🏼	milisioner, ofiser, orta açyk deri reňki, polisiýa işgäri, polisiýa işgäri: orta açyk deri reňki
👮🏽	milisioner, ofiser, orta deri reňki, polisiýa işgäri, polisiýa işgäri: orta deri reňki
👮🏾	milisioner, ofiser, orta goýy deri reňki, polisiýa işgäri, polisiýa işgäri: orta goýy deri reňki
👮🏿	goýy deri reňki, milisioner, ofiser, polisiýa işgäri, polisiýa işgäri: goýy deri reňki
👮‍♂	erkek, erkek polisiýa işgäri, milisioner, polisiýa işgäri
👮🏻‍♂	açyk deri reňki, erkek, erkek polisiýa işgäri, erkek polisiýa işgäri: açyk deri reňki, milisioner, polisiýa işgäri
👮🏼‍♂	erkek, erkek polisiýa işgäri, erkek polisiýa işgäri: orta açyk deri reňki, milisioner, orta açyk deri reňki, polisiýa işgäri
👮🏽‍♂	erkek, erkek polisiýa işgäri, erkek polisiýa işgäri: orta deri reňki, milisioner, orta deri reňki, polisiýa işgäri
👮🏾‍♂	erkek, erkek polisiýa işgäri, erkek polisiýa işgäri: orta goýy deri reňki, milisioner, orta goýy deri reňki, polisiýa işgäri
👮🏿‍♂	erkek, erkek polisiýa işgäri, erkek polisiýa işgäri: goýy deri reňki, goýy deri reňki, milisioner, polisiýa işgäri
👮‍♀	milisioner, polisiýa işgäri, zenan, zenan polisiýa işgäri
👮🏻‍♀	açyk deri reňki, milisioner, polisiýa işgäri, zenan, zenan polisiýa işgäri, zenan polisiýa işgäri: açyk deri reňki
👮🏼‍♀	milisioner, orta açyk deri reňki, polisiýa işgäri, zenan, zenan polisiýa işgäri, zenan polisiýa işgäri: orta açyk deri reňki
👮🏽‍♀	milisioner, orta deri reňki, polisiýa işgäri, zenan, zenan polisiýa işgäri, zenan polisiýa işgäri: orta deri reňki
👮🏾‍♀	milisioner, orta goýy deri reňki, polisiýa işgäri, zenan, zenan polisiýa işgäri, zenan polisiýa işgäri: orta goýy deri reňki
👮🏿‍♀	goýy deri reňki, milisioner, polisiýa işgäri, zenan, zenan polisiýa işgäri, zenan polisiýa işgäri: goýy deri reňki
🕵️	aňtawçy, detektiw, içaly
🕵🏻	açyk deri reňki, aňtawçy, aňtawçy: açyk deri reňki, detektiw, içaly
🕵🏼	aňtawçy, aňtawçy: orta açyk deri reňki, detektiw, içaly, orta açyk deri reňki
🕵🏽	aňtawçy, aňtawçy: orta deri reňki, detektiw, içaly, orta deri reňki
🕵🏾	aňtawçy, aňtawçy: orta goýy deri reňki, detektiw, içaly, orta goýy deri reňki
🕵🏿	aňtawçy, aňtawçy: goýy deri reňki, detektiw, goýy deri reňki, içaly
🕵‍♂	aňtawçy, detektiw, erkek, erkek aňtawçy, içaly
🕵🏻‍♂	açyk deri reňki, aňtawçy, detektiw, erkek, erkek aňtawçy: açyk deri reňki, içaly
🕵🏼‍♂	aňtawçy, detektiw, erkek, erkek aňtawçy: orta açyk deri reňki, içaly, orta açyk deri reňki
🕵🏽‍♂	aňtawçy, detektiw, erkek, erkek aňtawçy: orta deri reňki, içaly, orta deri reňki
🕵🏾‍♂	aňtawçy, detektiw, erkek, erkek aňtawçy: orta goýy deri reňki, içaly, orta goýy deri reňki
🕵🏿‍♂	aňtawçy, detektiw, erkek, erkek aňtawçy: goýy deri reňki, goýy deri reňki, içaly
🕵‍♀	aňtawçy, detektiw, içaly, zenan, zenan aňtawçy
🕵🏻‍♀	açyk deri reňki, aňtawçy, detektiw, içaly, zenan, zenan aňtawçy: açyk deri reňki
🕵🏼‍♀	aňtawçy, detektiw, içaly, orta açyk deri reňki, zenan, zenan aňtawçy: orta açyk deri reňki
🕵🏽‍♀	aňtawçy, detektiw, içaly, orta deri reňki, zenan, zenan aňtawçy: orta deri reňki
🕵🏾‍♀	aňtawçy, detektiw, içaly, orta goýy deri reňki, zenan, zenan aňtawçy: orta goýy deri reňki
🕵🏿‍♀	aňtawçy, detektiw, goýy deri reňki, içaly, zenan, zenan aňtawçy: goýy deri reňki
💂	sakçy
💂🏻	açyk deri reňki, sakçy, sakçy: açyk deri reňki
💂🏼	orta açyk deri reňki, sakçy, sakçy: orta açyk deri reňki
💂🏽	orta deri reňki, sakçy, sakçy: orta deri reňki
💂🏾	orta goýy deri reňki, sakçy, sakçy: orta goýy deri reňki
💂🏿	goýy deri reňki, sakçy, sakçy: goýy deri reňki
💂‍♂	erkek, erkek sakçy, sakçy
💂🏻‍♂	açyk deri reňki, erkek, erkek sakçy: açyk deri reňki, sakçy
💂🏼‍♂	erkek, erkek sakçy: orta açyk deri reňki, orta açyk deri reňki, sakçy
💂🏽‍♂	erkek, erkek sakçy: orta deri reňki, orta deri reňki, sakçy
💂🏾‍♂	erkek, erkek sakçy: orta goýy deri reňki, orta goýy deri reňki, sakçy
💂🏿‍♂	erkek, erkek sakçy: goýy deri reňki, goýy deri reňki, sakçy
💂‍♀	sakçy, zenan, zenan sakçy
💂🏻‍♀	açyk deri reňki, sakçy, zenan, zenan sakçy: açyk deri reňki
💂🏼‍♀	orta açyk deri reňki, sakçy, zenan, zenan sakçy: orta açyk deri reňki
💂🏽‍♀	orta deri reňki, sakçy, zenan, zenan sakçy: orta deri reňki
💂🏾‍♀	orta goýy deri reňki, sakçy, zenan, zenan sakçy: orta goýy deri reňki
💂🏿‍♀	goýy deri reňki, sakçy, zenan, zenan sakçy: goýy deri reňki
👷	gurluşyk, gurluşyk işçisi, işçi, papak
👷🏻	açyk deri reňki, gurluşyk, gurluşyk işçisi, gurluşyk işçisi: açyk deri reňki, işçi, papak
👷🏼	gurluşyk, gurluşyk işçisi, gurluşyk işçisi: orta açyk deri reňki, işçi, orta açyk deri reňki, papak
👷🏽	gurluşyk, gurluşyk işçisi, gurluşyk işçisi: orta deri reňki, işçi, orta deri reňki, papak
👷🏾	gurluşyk, gurluşyk işçisi, gurluşyk işçisi: orta goýy deri reňki, işçi, orta goýy deri reňki, papak
👷🏿	goýy deri reňki, gurluşyk, gurluşyk işçisi, gurluşyk işçisi: goýy deri reňki, işçi, papak
