😀	මුහුණ, සිනහ මුහුණ, සිනහව
📬️	තැපැල්, තැපැල් පෙට්ටිය, නංවන ලද කොඩියක් ඇති තැපැල් පෙට්ටිය, නංවන ලද කොඩියක් සහිත විවෘත තැපැල් පෙට්ටිය, පෝස්ට් බොක්ස්, විවෘත
📭️	තැපැල්, තැපැල් පෙට්ටිය, පහතට දැමූ, පහතට දැමූ කොඩියක් ඇති තැපැල් පෙට්ටි, පහතට දැමූ කොඩියක් සහිත විවෘත තැපැල් පෙට්ටිය, විවෘත
📮	තැපැල්, තැපැල් පෙට්ටිය
🗳️	ඡන්ද, ඡන්ද පත්‍රිකාව සහිත ඡන්ද පෙට්ටිය, පෙට්ටිය
✏️	පැන්සල
✒️	කළු කටු පෑන, තුඩ, පෑන
🖋️	තීන්ත පෑන, පෑන, ෆවුන්ටන්
🖊️	පෑන, බෝල්පොයින්ට්
🖌️	තීන්ත බුරුසුව, පින්තාරු කිරීම
🖍️	පාට හුණු, පාට හුණු කූර
📝	පැන්සල, මෙමෝව
💼	ලිපිපෙට්ටිය
📁	ගොනු ෆෝල්ඩරය, ගොනුව, ෆෝල්ඩරය
📂	ගොනුුව, විවෘත, විවෘත ගොනු ෆෝල්ඩරය, ෆෝල්ඩරය
🗂️	ඉන්ඩෙක්ස්, කාඩ් ඉන්ඩෙක්ස් ඩිවයිඩර්ස්, කාඩ්පත්, බෙදුම්
📅	දින දර්ශනය, දිනය
📆	කොළ ඉරන දින දර්ශනය, දින දර්ශනය
🗒️	පෑඩය, සටහන, ස්පයිරල්, ස්පයිරල් සටහන් පෑඩය
🗓️	දින දර්ශනය, පෑඩය, ස්පයිරල්, ස්පයිරල් දින දර්ශනය
📇	ඉන්ඩෙක්ස්, කාඩ්, කාඩ්පත් දර්ශකය, රෝලොඩෙක්ස්
📈	ඉහළට, නැඹුරුතාව, ප්‍රස්තාරය, ප්‍රස්තාරය ඉහළ නැගීම, වර්ධනය
📉	නැඹුරුතාව, පහළට, ප්‍රස්තාර සටහන, ප්‍රස්තාරය, ප්‍රස්තාරය පහළ බැසීම
📊	තීරු, තීරු ප්‍රස්තාරය, ප්‍රස්තාර සටහන, ප්‍රස්තාරය
📋️	කලිප්බෝඩ්, ක්ලිප්බෝඩ්
📌	පින්, පුෂ්පින්
📍	පින්, පුෂ්පින්, රවුම් පුෂ්පින්
📎	කඩදාසි ඇමුණුම් ක්ලිපය, පේපර්ක්ලිප්
🖇️	තීන්ත, පේපර් ක්ලිප්, සම්බන්ධිත කඩදාසි ඇමුණුම් ක්ලිප
📏	කෙලින් රූල, රූලර්, සෘජු දාරය
📐	කට්ටලය, ත්‍රිකෝණය, ත්‍රිකෝණාකාර රූල, රූලර්
✂️	කතුර, මෙවලම
🗃️	කාඩ්පත, කාඩ්පත් ගොනු පෙට්ටිය, ගොනුව, පෙට්ටිය
🗄️	කැබිනට්ටුව, ගොනු කැබිනට්ටුව, ගොනුව
🗑️	අපද්‍රව්‍ය කූඩය
🔒️	අගුල, වැසූ
🔓️	අගුල, අගුළු නොදැමූ, ඇරුණ අගුල, විවෘත
🔏	අගුල, තීන්ත, තුඩ, පෑන සහිත අගුල, රහස්‍යතාව
🔐	අගුල, ආරක්ෂිත, යතුර, යතුර සහිත වැසූ අගුල, වැසූ
🔑	අගුල, මුරපදය, යතුර
🗝️	අගුල, පැරණි, පැරණි යතුර, යතුර, හෝඩුවාව
🔨	මිටිය, මෙවලම
🪓	අත් පොරොව, කැපුම, දැව, පැළුම, පොරොව
⛏️	කටුව, මෙවලම, හෑරීම
⚒️	කටුව, මිටිය, මිටිය සහ කටුව, මෙවලම
🛠️	මිටිය සහ රෙංචිය, මිටිිය, මෙවලම, රෙංචිය
🗡️	ආයුධය, කිරිච්චිය, පිහිිය
⚔️	ආයුධ, කඩු, හරස්, හරහට තැබූ කඩු
🔫	ආයුධය, පිස්තෝලය, මෙවලම, රිවෝල්වරය
🏹	ආයුධය, ඊතලය, දුන්න, දුන්න සහ ඊතලය
🛡️	ආයුධය, පලිහ
🔧	මෙවලම, රෙංචිය
🔩	නට්, නට් ඇන්ඩ් බෝල්ට්, බෝල්ට්, මෙවලම
⚙️	ගියරය, මෙවලම
🗜️	අඬුව, මෙවලම, සම්පීඩකය
⚖️	තරාදි, තුලන තරාදිය, බර, රාශිය, සාධාරණත්වය
🦯	අන්ධ, ඒෂණ දණ්ඩ, ළඟාවිය හැකි බව
🔗	ගාන්චුව
⛓️	දම්වැල, දම්වැල්
🧰	කාර්මිකයා, පපුව, මෙවලම, මෙවලම් පෙට්ටිය
🧲	අශ්ව කරත්තය, ආකර්ෂණය, චුම්බකය, චුම්භක
⚗️	ආස්‍රැත පාත්‍රය, මෙවලම, රසායනික
🧪	අත්හදා බැලීම්, පරීක්ෂණ නලය, පරීක්ෂණාගාරය, රසායන විද්‍යාව, රසායනඥයා, විද්‍යාව
🧫	ජීවවිද්‍යාඥයා, ජීවවිද්‍යාව, පරීක්ෂණාගාරය, පෙට්‍ට්‍රි දීසිය, බැක්ටීරියා, වගාව
🧬	ජාන, ජාන විද්‍යාව, ජීවවිද්‍යාඥයා, ජීවිතය, ඩීඑන්ඒ, පරිණාමය
🔬	අණ්වීක්ෂය, මෙවලම
🔭	දුරේක්ෂය, මෙවලම
📡	ඇන්ටනාව, චන්ද්‍රිකා අැන්ටනාව, චන්ද්‍රිකාව, ඩිෂ්
💉	ඉඳිකටුව, ඖෂධ, මාත්‍රාව, ලෙඩ, සිරින්ජය
🩸	ඔසප් වීම, ඖෂධ, රුධිරය පරිත්‍යාගය, ලේ බින්දුව
💊	ඖෂධ, රෝගී, වර්තිකාව, වෛද්‍යවරයා
🩹	ඇලෙන වෙළුම් පටිය, වෙළුම් පටිය
🩺	ඖෂධ, දොස්තර, වෙද නළාව, හදවත
🚪	දොර
🛏️	ඇඳ, නින්ද, හෝටලය
🛋️	කවිච්චිය, කුඩා ඇඳ සහ ලාම්පුව, ලාම්පුව, හෝටලය
🪑	අසුන, ඉඳ ගැනීම, පුටුව
🚽	වැසිකිළිය
🚿	වතුර, වතුර මල
🛁	නාන බේසම, නෑම
🪒	තියුණු, දැළි පිහිය, රැවුල බෑම
🧴	මොයිස්චරයිසර්, ලෝෂන්, ලෝෂන් බෝතලය, ෂැම්පු, හිරු ක්‍රීම්
🧷	ආරක්ෂිත පින්, ඩයපර්, පැන්ක් රොක්
🧹	කොස්ස, පිරිසිදු කිරීම, පුලුල් කිරීම, මායාකාරී
🧺	කූඩය, ගොවිතැන් කිරීම, රෙදි සේදීම, විනෝද චාරිකාවක්
🧻	කඩදාසි තුවා, කඩදාසි රෝල්, ටොයිලට් පේපර්
🧼	නෑම, පිරිසිදු කිරීම, බාර්, සබන්, සබන් තැටිය, සබන් පෙන
🧽	අවශෝෂණය වීම, දිය උරාගන්නා, පිරිසිදු කිරීම, ස්පොන්ජ්
🧯	ගින්න, ගිනි නිවනය, නිවාදැමීම, නිවී යයි
🛒	කරත්තය, ට්‍රොලිය, සාප්පු කරත්තය, සාප්පු යෑම
🚬	දුම, දුම් බීම
⚰️	මරණය, මිනී පෙට්ටිය
⚱️	අවමඟුල, භෂ්මාවශේෂ බඳුන, මරණය
🗿	ප්‍රතිමාව, මුහුණ, මොආයි
🏧	ATM ලකුණ, atm, ටෙලර්, ස්වයංක්‍රිය
🚮	අපද්‍රව්‍ය, අපද්‍රව්‍ය බඳුන, අපද්‍රව්‍ය බඳුනට දමන ලකුණ
🚰	ජලය, පානය කළ හැකි, පානීය, පිරිසිදු පානීය ජලය
♿️	ප්‍රවේශය, රෝද පුටුව
🚹️	wc, පිරිමි, පිරිමියාගේ කාමරය, වැසිකිළිය, විවේක කාමරය
🚺️	wc, කාන්තා, කාන්තාවගේ කාමරය, වැසිකිළිය, විවේක කාමරය
🚻	wc, වැසිකිළිය, විවේක කාමරය
🚼️	ඇඳුම් මාරු කිරීම, ළදරු සංකේතය, ළදරුවා
🚾	wc, ජල මුද්‍රිත, ජල මුද්‍රිත වැසිකිළි කට්ටලය, ජලය, වැසිකිළිය, විවේක කාමරය
🛂	ගමන් බලපත්‍ර පාලනය, ගමන් බලපත්‍රය, පාලනය
🛃	රේගුව
🛄	ගමන් මළු, ගමන් මළු හිමිකම්, හිමිකම
🛅	ගමන් මල්ල, ගමන් මළු දමා යාම, මල්ල, ලොකර්
⚠️	අවවාදය
🚸	පදිකයා, පාර පැනීම, මාර්ග තදබදය, ළමයා, ළමයින් පාර හරහා මාරු වීම
⛔️	ඇතුළු වීම, ඇතුළු වීම තහනම්, එපා, තහනම්, මාර්ග තදබදය
🚫	ඇතුළු වීම, එපා, තහනම්, තහනම්ය, නැත
🚳	එපා, තහනම් කළ, නැත, බයික්, බයිසිකල්වලට තහනම්
🚭️	එපා, තහනම්, තහනම් කළ, දුම් බීම, දුම්බීම තහනම්
🚯	අපද්‍රව්‍ය, අපද්‍රව්‍ය දැමීම තහනම්, එපා, තහනම්, තහනම් කළ
🚱	ජලය, පානය කළ හැකි, පානීය, පානීය-නොවන ජලය
🚷	එපා, තහනම්, නැත, පදිකයන්ට තහනම්, පදිකයා
📵	එපා, ජංගම දුරකථන තහනම්, තහනම්, සෙල්
🔞	18, එපා, තහනම්, තහනම්ය, දහඅට, දහඅටට අඩු කිසිවෙක් නැත, නැත, වයස අඩු, වයස සීමා කිරීම
