😀	kenua, sura inayokenua, uso
👩🏾‍🔧	fundi bomba, fundi mitambo wa kike, fundi mitambo wa kike: ngozi nyeusi kiasi, mekanika, mwanamke, ngozi nyeusi kiasi, spana
👩🏿‍🔧	fundi bomba, fundi mitambo wa kike, fundi mitambo wa kike: ngozi nyeusi, mekanika, mwanamke, ngozi nyeusi, spana
👨‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamume na gesi ya kuchoma
👨🏻‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamume na gesi ya kuchoma, mwanamume na gesi ya kuchoma: ngozi nyeupe, ngozi nyeupe
👨🏼‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamume na gesi ya kuchoma, mwanamume na gesi ya kuchoma: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👨🏽‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamume na gesi ya kuchoma, mwanamume na gesi ya kuchoma: ngozi ya kahawia, ngozi ya kahawia
👨🏾‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamume na gesi ya kuchoma, mwanamume na gesi ya kuchoma: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👨🏿‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamume na gesi ya kuchoma, mwanamume na gesi ya kuchoma: ngozi nyeusi, ngozi nyeusi
👩‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamke na gesi ya kuchoma
👩🏻‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamke na gesi ya kuchoma, mwanamke na gesi ya kuchoma: ngozi nyeupe, ngozi nyeupe
👩🏼‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamke na gesi ya kuchoma, mwanamke na gesi ya kuchoma: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👩🏽‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamke na gesi ya kuchoma, mwanamke na gesi ya kuchoma: ngozi ya kahawia, ngozi ya kahawia
👩🏾‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamke na gesi ya kuchoma, mwanamke na gesi ya kuchoma: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👩🏿‍🏭	fundi, jua kali, kuchomelea, mfanyakazi, mwanamke na gesi ya kuchoma, mwanamke na gesi ya kuchoma: ngozi nyeusi, ngozi nyeusi
👨‍💼	mtu, mwanamume aliyevaa nadhifu, suti, tai
👨🏻‍💼	mtu, mwanamume aliyevaa nadhifu, mwanamume aliyevaa nadhifu: ngozi nyeupe, ngozi nyeupe, suti, tai
👨🏼‍💼	mtu, mwanamume aliyevaa nadhifu, mwanamume aliyevaa nadhifu: ngozi nyeupe kiasi, ngozi nyeupe kiasi, suti, tai
👨🏽‍💼	mtu, mwanamume aliyevaa nadhifu, mwanamume aliyevaa nadhifu: ngozi ya kahawia, ngozi ya kahawia, suti, tai
👨🏾‍💼	mtu, mwanamume aliyevaa nadhifu, mwanamume aliyevaa nadhifu: ngozi nyeusi kiasi, ngozi nyeusi kiasi, suti, tai
👨🏿‍💼	mtu, mwanamume aliyevaa nadhifu, mwanamume aliyevaa nadhifu: ngozi nyeusi, ngozi nyeusi, suti, tai
👩‍💼	mwanamke, mwanamke aliyevaa nadhifu, suti, tai
👩🏻‍💼	mwanamke, mwanamke aliyevaa nadhifu, mwanamke aliyevaa nadhifu: ngozi nyeupe, ngozi nyeupe, suti, tai
👩🏼‍💼	mwanamke, mwanamke aliyevaa nadhifu, mwanamke aliyevaa nadhifu: ngozi nyeupe kiasi, ngozi nyeupe kiasi, suti, tai
👩🏽‍💼	mwanamke, mwanamke aliyevaa nadhifu, mwanamke aliyevaa nadhifu: ngozi ya kahawia, ngozi ya kahawia, suti, tai
👩🏾‍💼	mwanamke, mwanamke aliyevaa nadhifu, mwanamke aliyevaa nadhifu: ngozi nyeusi kiasi, ngozi nyeusi kiasi, suti, tai
👩🏿‍💼	mwanamke, mwanamke aliyevaa nadhifu, mwanamke aliyevaa nadhifu: ngozi nyeusi, ngozi nyeusi, suti, tai
👨‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kiume
👨🏻‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kiume, mwanasayansi wa kiume: ngozi nyeupe, ngozi nyeupe
👨🏼‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kiume, mwanasayansi wa kiume: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👨🏽‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kiume, mwanasayansi wa kiume: ngozi ya kahawia, ngozi ya kahawia
👨🏾‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kiume, mwanasayansi wa kiume: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👨🏿‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kiume, mwanasayansi wa kiume: ngozi nyeusi, ngozi nyeusi
👩‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kike
👩🏻‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kike, mwanasayansi wa kike: ngozi nyeupe, ngozi nyeupe
👩🏼‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kike, mwanasayansi wa kike: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👩🏽‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kike, mwanasayansi wa kike: ngozi ya kahawia, ngozi ya kahawia
👩🏾‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kike, mwanasayansi wa kike: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👩🏿‍🔬	hadubini, miwani, mwanasayansi, mwanasayansi wa kike, mwanasayansi wa kike: ngozi nyeusi, ngozi nyeusi
👨‍💻	kompyuta ndogo, mwanateknolojia wa kiume, tarakilishi, tehama
👨🏻‍💻	kompyuta ndogo, mwanateknolojia wa kiume, mwanateknolojia wa kiume: ngozi nyeupe, ngozi nyeupe, tarakilishi, tehama
👨🏼‍💻	kompyuta ndogo, mwanateknolojia wa kiume, mwanateknolojia wa kiume: ngozi nyeupe kiasi, ngozi nyeupe kiasi, tarakilishi, tehama
👨🏽‍💻	kompyuta ndogo, mwanateknolojia wa kiume, mwanateknolojia wa kiume: ngozi ya kahawia, ngozi ya kahawia, tarakilishi, tehama
👨🏾‍💻	kompyuta ndogo, mwanateknolojia wa kiume, mwanateknolojia wa kiume: ngozi nyeusi kiasi, ngozi nyeusi kiasi, tarakilishi, tehama
👨🏿‍💻	kompyuta ndogo, mwanateknolojia wa kiume, mwanateknolojia wa kiume: ngozi nyeusi, ngozi nyeusi, tarakilishi, tehama
👩‍💻	kompyuta ndogo, mwanateknolojia wa kike, tarakilishi, tehama
👩🏻‍💻	kompyuta ndogo, mwanateknolojia wa kike, mwanateknolojia wa kike: ngozi nyeupe, ngozi nyeupe, tarakilishi, tehama
👩🏼‍💻	kompyuta ndogo, mwanateknolojia wa kike, mwanateknolojia wa kike: ngozi nyeupe kiasi, ngozi nyeupe kiasi, tarakilishi, tehama
👩🏽‍💻	kompyuta ndogo, mwanateknolojia wa kike, mwanateknolojia wa kike: ngozi ya kahawia, ngozi ya kahawia, tarakilishi, tehama
👩🏾‍💻	kompyuta ndogo, mwanateknolojia wa kike, mwanateknolojia wa kike: ngozi nyeusi kiasi, ngozi nyeusi kiasi, tarakilishi, tehama
👩🏿‍💻	kompyuta ndogo, mwanateknolojia wa kike, mwanateknolojia wa kike: ngozi nyeusi, ngozi nyeusi, tarakilishi, tehama
👨‍🎤	maikrofoni, msanii, mwanamume, mwimbaji, mwimbaji wa kiume
👨🏻‍🎤	maikrofoni, msanii, mwanamume, mwimbaji, mwimbaji wa kiume, mwimbaji wa kiume: ngozi nyeupe, ngozi nyeupe
👨🏼‍🎤	maikrofoni, msanii, mwanamume, mwimbaji, mwimbaji wa kiume, mwimbaji wa kiume: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👨🏽‍🎤	maikrofoni, msanii, mwanamume, mwimbaji, mwimbaji wa kiume, mwimbaji wa kiume: ngozi ya kahawia, ngozi ya kahawia
👨🏾‍🎤	maikrofoni, msanii, mwanamume, mwimbaji, mwimbaji wa kiume, mwimbaji wa kiume: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👨🏿‍🎤	maikrofoni, msanii, mwanamume, mwimbaji, mwimbaji wa kiume, mwimbaji wa kiume: ngozi nyeusi, ngozi nyeusi
👩‍🎤	maikrofoni, msanii, mwanamke, mwimbaji, mwimbaji wa kike
👩🏻‍🎤	maikrofoni, msanii, mwanamke, mwimbaji, mwimbaji wa kike, mwimbaji wa kike: ngozi nyeupe, ngozi nyeupe
👩🏼‍🎤	maikrofoni, msanii, mwanamke, mwimbaji, mwimbaji wa kike, mwimbaji wa kike: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👩🏽‍🎤	maikrofoni, msanii, mwanamke, mwimbaji, mwimbaji wa kike, mwimbaji wa kike: ngozi ya kahawia, ngozi ya kahawia
👩🏾‍🎤	maikrofoni, msanii, mwanamke, mwimbaji, mwimbaji wa kike, mwimbaji wa kike: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👩🏿‍🎤	maikrofoni, msanii, mwanamke, mwimbaji, mwimbaji wa kike, mwimbaji wa kike: ngozi nyeusi, ngozi nyeusi
👨‍🎨	mchoraji, mchoraji wa kiume, mwanamume na kibao cha kuchanganyia rangi, paleti, rangi, sanaa
👨🏻‍🎨	mchoraji, mchoraji wa kiume, mchoraji wa kiume: ngozi nyeupe, mwanamume na kibao cha kuchanganyia rangi, ngozi nyeupe, paleti, rangi, sanaa
👨🏼‍🎨	mchoraji, mchoraji wa kiume, mchoraji wa kiume: ngozi nyeupe kiasi, mwanamume na kibao cha kuchanganyia rangi, ngozi nyeupe kiasi, paleti, rangi, sanaa
👨🏽‍🎨	mchoraji, mchoraji wa kiume, mchoraji wa kiume: ngozi ya kahawia, mwanamume na kibao cha kuchanganyia rangi, ngozi ya kahawia, paleti, rangi, sanaa
👨🏾‍🎨	mchoraji, mchoraji wa kiume, mchoraji wa kiume: ngozi nyeusi kiasi, mwanamume na kibao cha kuchanganyia rangi, ngozi nyeusi kiasi, paleti, rangi, sanaa
👨🏿‍🎨	mchoraji, mchoraji wa kiume, mchoraji wa kiume: ngozi nyeusi, mwanamume na kibao cha kuchanganyia rangi, ngozi nyeusi, paleti, rangi, sanaa
👩‍🎨	mchoraji, mchoraji wa kike, mwanamke na kibao cha kuchanganyia rangi, paleti, rangi, sanaa
👩🏻‍🎨	mchoraji, mchoraji wa kike, mchoraji wa kike: ngozi nyeupe, mwanamke na kibao cha kuchanganyia rangi, ngozi nyeupe, paleti, rangi, sanaa
👩🏼‍🎨	mchoraji, mchoraji wa kike, mchoraji wa kike: ngozi nyeupe kiasi, mwanamke na kibao cha kuchanganyia rangi, ngozi nyeupe kiasi, paleti, rangi, sanaa
👩🏽‍🎨	mchoraji, mchoraji wa kike, mchoraji wa kike: ngozi ya kahawia, mwanamke na kibao cha kuchanganyia rangi, ngozi ya kahawia, paleti, rangi, sanaa
👩🏾‍🎨	mchoraji, mchoraji wa kike, mchoraji wa kike: ngozi nyeusi kiasi, mwanamke na kibao cha kuchanganyia rangi, ngozi nyeusi kiasi, paleti, rangi, sanaa
👩🏿‍🎨	mchoraji, mchoraji wa kike, mchoraji wa kike: ngozi nyeusi, mwanamke na kibao cha kuchanganyia rangi, ngozi nyeusi, paleti, rangi, sanaa
👨‍✈	mwanamume, ndege, rubani, rubani wa kiume
👨🏻‍✈	mwanamume, ndege, ngozi nyeupe, rubani, rubani wa kiume, rubani wa kiume: ngozi nyeupe
👨🏼‍✈	mwanamume, ndege, ngozi nyeupe kiasi, rubani, rubani wa kiume, rubani wa kiume: ngozi nyeupe kiasi
👨🏽‍✈	mwanamume, ndege, ngozi ya kahawia, rubani, rubani wa kiume, rubani wa kiume: ngozi ya kahawia
👨🏾‍✈	mwanamume, ndege, ngozi nyeusi kiasi, rubani, rubani wa kiume, rubani wa kiume: ngozi nyeusi kiasi
👨🏿‍✈	mwanamume, ndege, ngozi nyeusi, rubani, rubani wa kiume, rubani wa kiume: ngozi nyeusi
👩‍✈	mwanamke, ndege, rubani, rubani wa kike
👩🏻‍✈	mwanamke, ndege, ngozi nyeupe, rubani, rubani wa kike, rubani wa kike: ngozi nyeupe
👩🏼‍✈	mwanamke, ndege, ngozi nyeupe kiasi, rubani, rubani wa kike, rubani wa kike: ngozi nyeupe kiasi
👩🏽‍✈	mwanamke, ndege, ngozi ya kahawia, rubani, rubani wa kike, rubani wa kike: ngozi ya kahawia
👩🏾‍✈	mwanamke, ndege, ngozi nyeusi kiasi, rubani, rubani wa kike, rubani wa kike: ngozi nyeusi kiasi
👩🏿‍✈	mwanamke, ndege, ngozi nyeusi, rubani, rubani wa kike, rubani wa kike: ngozi nyeusi
👨‍🚀	anga, mwanaanga wa kiume, mwanamume, roketi
👨🏻‍🚀	anga, mwanaanga wa kiume, mwanaanga wa kiume: ngozi nyeupe, mwanamume, ngozi nyeupe, roketi
👨🏼‍🚀	anga, mwanaanga wa kiume, mwanaanga wa kiume: ngozi nyeupe kiasi, mwanamume, ngozi nyeupe kiasi, roketi
👨🏽‍🚀	anga, mwanaanga wa kiume, mwanaanga wa kiume: ngozi ya kahawia, mwanamume, ngozi ya kahawia, roketi
👨🏾‍🚀	anga, mwanaanga wa kiume, mwanaanga wa kiume: ngozi nyeusi kiasi, mwanamume, ngozi nyeusi kiasi, roketi
👨🏿‍🚀	anga, mwanaanga wa kiume, mwanaanga wa kiume: ngozi nyeusi, mwanamume, ngozi nyeusi, roketi
👩‍🚀	anga, mwanaanga wa kike, mwanamke, roketi
👩🏻‍🚀	anga, mwanaanga wa kike, mwanaanga wa kike: ngozi nyeupe, mwanamke, ngozi nyeupe, roketi
👩🏼‍🚀	anga, mwanaanga wa kike, mwanaanga wa kike: ngozi nyeupe kiasi, mwanamke, ngozi nyeupe kiasi, roketi
👩🏽‍🚀	anga, mwanaanga wa kike, mwanaanga wa kike: ngozi ya kahawia, mwanamke, ngozi ya kahawia, roketi
👩🏾‍🚀	anga, mwanaanga wa kike, mwanaanga wa kike: ngozi nyeusi kiasi, mwanamke, ngozi nyeusi kiasi, roketi
👩🏿‍🚀	anga, mwanaanga wa kike, mwanaanga wa kike: ngozi nyeusi, mwanamke, ngozi nyeusi, roketi
👨‍🚒	lori, moto, mwanamume, mzimamoto wa kiume, zimamoto
👨🏻‍🚒	lori, moto, mwanamume, mzimamoto wa kiume, mzimamoto wa kiume: ngozi nyeupe, ngozi nyeupe, zimamoto
👨🏼‍🚒	lori, moto, mwanamume, mzimamoto wa kiume, mzimamoto wa kiume: ngozi nyeupe kiasi, ngozi nyeupe kiasi, zimamoto
👨🏽‍🚒	lori, moto, mwanamume, mzimamoto wa kiume, mzimamoto wa kiume: ngozi ya kahawia, ngozi ya kahawia, zimamoto
👨🏾‍🚒	lori, moto, mwanamume, mzimamoto wa kiume, mzimamoto wa kiume: ngozi nyeusi kiasi, ngozi nyeusi kiasi, zimamoto
👨🏿‍🚒	lori, moto, mwanamume, mzimamoto wa kiume, mzimamoto wa kiume: ngozi nyeusi, ngozi nyeusi, zimamoto
👩‍🚒	lori, moto, mwanamke, mzimamoto wa kike, zimamoto
👩🏻‍🚒	lori, moto, mwanamke, mzimamoto wa kike, mzimamoto wa kike: ngozi nyeupe, ngozi nyeupe, zimamoto
👩🏼‍🚒	lori, moto, mwanamke, mzimamoto wa kike, mzimamoto wa kike: ngozi nyeupe kiasi, ngozi nyeupe kiasi, zimamoto
👩🏽‍🚒	lori, moto, mwanamke, mzimamoto wa kike, mzimamoto wa kike: ngozi ya kahawia, ngozi ya kahawia, zimamoto
👩🏾‍🚒	lori, moto, mwanamke, mzimamoto wa kike, mzimamoto wa kike: ngozi nyeusi kiasi, ngozi nyeusi kiasi, zimamoto
👩🏿‍🚒	lori, moto, mwanamke, mzimamoto wa kike, mzimamoto wa kike: ngozi nyeusi, ngozi nyeusi, zimamoto
👮	afisa, askari polisi, polisi
👮🏻	afisa, askari polisi, askari polisi: ngozi nyeupe, ngozi nyeupe, polisi
👮🏼	afisa, askari polisi, askari polisi: ngozi nyeupe kiasi, ngozi nyeupe kiasi, polisi
👮🏽	afisa, askari polisi, askari polisi: ngozi ya kahawia, ngozi ya kahawia, polisi
👮🏾	afisa, askari polisi, askari polisi: ngozi nyeusi kiasi, ngozi nyeusi kiasi, polisi
👮🏿	afisa, askari polisi, askari polisi: ngozi nyeusi, ngozi nyeusi, polisi
👮‍♂	askari, polisi, polisi wa kiume
👮🏻‍♂	askari, ngozi nyeupe, polisi, polisi wa kiume, polisi wa kiume: ngozi nyeupe
👮🏼‍♂	askari, ngozi nyeupe kiasi, polisi, polisi wa kiume, polisi wa kiume: ngozi nyeupe kiasi
👮🏽‍♂	askari, ngozi ya kahawia, polisi, polisi wa kiume, polisi wa kiume: ngozi ya kahawia
👮🏾‍♂	askari, ngozi nyeusi kiasi, polisi, polisi wa kiume, polisi wa kiume: ngozi nyeusi kiasi
👮🏿‍♂	askari, ngozi nyeusi, polisi, polisi wa kiume, polisi wa kiume: ngozi nyeusi
👮‍♀	askari, polisi, polisi wa kike
👮🏻‍♀	askari, ngozi nyeupe, polisi, polisi wa kike, polisi wa kike: ngozi nyeupe
👮🏼‍♀	askari, ngozi nyeupe kiasi, polisi, polisi wa kike, polisi wa kike: ngozi nyeupe kiasi
👮🏽‍♀	askari, ngozi ya kahawia, polisi, polisi wa kike, polisi wa kike: ngozi ya kahawia
👮🏾‍♀	askari, ngozi nyeusi kiasi, polisi, polisi wa kike, polisi wa kike: ngozi nyeusi kiasi
👮🏿‍♀	askari, ngozi nyeusi, polisi, polisi wa kike, polisi wa kike: ngozi nyeusi
🕵️	jasusi, mpelelezi
🕵🏻	jasusi, mpelelezi, mpelelezi: ngozi nyeupe, ngozi nyeupe
🕵🏼	jasusi, mpelelezi, mpelelezi: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🕵🏽	jasusi, mpelelezi, mpelelezi: ngozi ya kahawia, ngozi ya kahawia
🕵🏾	jasusi, mpelelezi, mpelelezi: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🕵🏿	jasusi, mpelelezi, mpelelezi: ngozi nyeusi, ngozi nyeusi
🕵‍♂	jasusi, jasusi mwanamume, mpelelezi
🕵🏻‍♂	jasusi, jasusi mwanamume, jasusi mwanamume: ngozi nyeupe, mpelelezi, ngozi nyeupe
🕵🏼‍♂	jasusi, jasusi mwanamume, jasusi mwanamume: ngozi nyeupe kiasi, mpelelezi, ngozi nyeupe kiasi
🕵🏽‍♂	jasusi, jasusi mwanamume, jasusi mwanamume: ngozi ya kahawia, mpelelezi, ngozi ya kahawia
🕵🏾‍♂	jasusi, jasusi mwanamume, jasusi mwanamume: ngozi nyeusi kiasi, mpelelezi, ngozi nyeusi kiasi
🕵🏿‍♂	jasusi, jasusi mwanamume, jasusi mwanamume: ngozi nyeusi, mpelelezi, ngozi nyeusi
🕵‍♀	jasusi, jasusi mwanamke, mpelelezi
🕵🏻‍♀	jasusi, jasusi mwanamke, jasusi mwanamke: ngozi nyeupe, mpelelezi, ngozi nyeupe
🕵🏼‍♀	jasusi, jasusi mwanamke, jasusi mwanamke: ngozi nyeupe kiasi, mpelelezi, ngozi nyeupe kiasi
🕵🏽‍♀	jasusi, jasusi mwanamke, jasusi mwanamke: ngozi ya kahawia, mpelelezi, ngozi ya kahawia
🕵🏾‍♀	jasusi, jasusi mwanamke, jasusi mwanamke: ngozi nyeusi kiasi, mpelelezi, ngozi nyeusi kiasi
🕵🏿‍♀	jasusi, jasusi mwanamke, jasusi mwanamke: ngozi nyeusi, mpelelezi, ngozi nyeusi
💂	mlinzi
💂🏻	mlinzi, mlinzi: ngozi nyeupe, ngozi nyeupe
💂🏼	mlinzi, mlinzi: ngozi nyeupe kiasi, ngozi nyeupe kiasi
💂🏽	mlinzi, mlinzi: ngozi ya kahawia, ngozi ya kahawia
💂🏾	mlinzi, mlinzi: ngozi nyeusi kiasi, ngozi nyeusi kiasi
💂🏿	mlinzi, mlinzi: ngozi nyeusi, ngozi nyeusi
💂‍♂	askari, bawabu, mlinzi, mlinzi mwanamume
💂🏻‍♂	askari, bawabu, mlinzi, mlinzi mwanamume, mlinzi mwanamume: ngozi nyeupe, ngozi nyeupe
💂🏼‍♂	askari, bawabu, mlinzi, mlinzi mwanamume, mlinzi mwanamume: ngozi nyeupe kiasi, ngozi nyeupe kiasi
💂🏽‍♂	askari, bawabu, mlinzi, mlinzi mwanamume, mlinzi mwanamume: ngozi ya kahawia, ngozi ya kahawia
💂🏾‍♂	askari, bawabu, mlinzi, mlinzi mwanamume, mlinzi mwanamume: ngozi nyeusi kiasi, ngozi nyeusi kiasi
💂🏿‍♂	askari, bawabu, mlinzi, mlinzi mwanamume, mlinzi mwanamume: ngozi nyeusi, ngozi nyeusi
💂‍♀	askari, bawabu, mlinzi, mlinzi wa kike
💂🏻‍♀	askari, bawabu, mlinzi, mlinzi wa kike, mlinzi wa kike: ngozi nyeupe, ngozi nyeupe
💂🏼‍♀	askari, bawabu, mlinzi, mlinzi wa kike, mlinzi wa kike: ngozi nyeupe kiasi, ngozi nyeupe kiasi
💂🏽‍♀	askari, bawabu, mlinzi, mlinzi wa kike, mlinzi wa kike: ngozi ya kahawia, ngozi ya kahawia
💂🏾‍♀	askari, bawabu, mlinzi, mlinzi wa kike, mlinzi wa kike: ngozi nyeusi kiasi, ngozi nyeusi kiasi
💂🏿‍♀	askari, bawabu, mlinzi, mlinzi wa kike, mlinzi wa kike: ngozi nyeusi, ngozi nyeusi
👷	kofia, mfanyakazi, mfanyakazi wa ujenzi, ujenzi
👷🏻	kofia, mfanyakazi, mfanyakazi wa ujenzi, mfanyakazi wa ujenzi: ngozi nyeupe, ngozi nyeupe, ujenzi
👷🏼	kofia, mfanyakazi, mfanyakazi wa ujenzi, mfanyakazi wa ujenzi: ngozi nyeupe kiasi, ngozi nyeupe kiasi, ujenzi
👷🏽	kofia, mfanyakazi, mfanyakazi wa ujenzi, mfanyakazi wa ujenzi: ngozi ya kahawia, ngozi ya kahawia, ujenzi
👷🏾	kofia, mfanyakazi, mfanyakazi wa ujenzi, mfanyakazi wa ujenzi: ngozi nyeusi kiasi, ngozi nyeusi kiasi, ujenzi
👷🏿	kofia, mfanyakazi, mfanyakazi wa ujenzi, mfanyakazi wa ujenzi: ngozi nyeusi, ngozi nyeusi, ujenzi
👷‍♂	kofia, mjenzi, mjenzi mwanamume, ujenzi
👷🏻‍♂	kofia, mjenzi, mjenzi mwanamume, mjenzi mwanamume: ngozi nyeupe, ngozi nyeupe, ujenzi
👷🏼‍♂	kofia, mjenzi, mjenzi mwanamume, mjenzi mwanamume: ngozi nyeupe kiasi, ngozi nyeupe kiasi, ujenzi
👷🏽‍♂	kofia, mjenzi, mjenzi mwanamume, mjenzi mwanamume: ngozi ya kahawia, ngozi ya kahawia, ujenzi
👷🏾‍♂	kofia, mjenzi, mjenzi mwanamume, mjenzi mwanamume: ngozi nyeusi kiasi, ngozi nyeusi kiasi, ujenzi
👷🏿‍♂	kofia, mjenzi, mjenzi mwanamume, mjenzi mwanamume: ngozi nyeusi, ngozi nyeusi, ujenzi
👷‍♀	kofia, mjenzi, mjenzi wa kike, ujenzi
👷🏻‍♀	kofia, mjenzi, mjenzi wa kike, mjenzi wa kike: ngozi nyeupe, ngozi nyeupe, ujenzi
👷🏼‍♀	kofia, mjenzi, mjenzi wa kike, mjenzi wa kike: ngozi nyeupe kiasi, ngozi nyeupe kiasi, ujenzi
👷🏽‍♀	kofia, mjenzi, mjenzi wa kike, mjenzi wa kike: ngozi ya kahawia, ngozi ya kahawia, ujenzi
👷🏾‍♀	kofia, mjenzi, mjenzi wa kike, mjenzi wa kike: ngozi nyeusi kiasi, ngozi nyeusi kiasi, ujenzi
👷🏿‍♀	kofia, mjenzi, mjenzi wa kike, mjenzi wa kike: ngozi nyeusi, ngozi nyeusi, ujenzi
🤴	mwana wa mfalme
🤴🏻	mwana wa mfalme, mwana wa mfalme: ngozi nyeupe, ngozi nyeupe
🤴🏼	mwana wa mfalme, mwana wa mfalme: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🤴🏽	mwana wa mfalme, mwana wa mfalme: ngozi ya kahawia, ngozi ya kahawia
🤴🏾	mwana wa mfalme, mwana wa mfalme: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🤴🏿	mwana wa mfalme, mwana wa mfalme: ngozi nyeusi, ngozi nyeusi
👸	binti mfalme, kichimbakazi, njozi
👸🏻	binti mfalme, binti mfalme: ngozi nyeupe, kichimbakazi, ngozi nyeupe, njozi
👸🏼	binti mfalme, binti mfalme: ngozi nyeupe kiasi, kichimbakazi, ngozi nyeupe kiasi, njozi
👸🏽	binti mfalme, binti mfalme: ngozi ya kahawia, kichimbakazi, ngozi ya kahawia, njozi
👸🏾	binti mfalme, binti mfalme: ngozi nyeusi kiasi, kichimbakazi, ngozi nyeusi kiasi, njozi
👸🏿	binti mfalme, binti mfalme: ngozi nyeusi, kichimbakazi, ngozi nyeusi, njozi
👳	kilemba, mwanamume, mwanaume aliyefunga kilemba
👳🏻	kilemba, mwanamume, mwanaume aliyefunga kilemba, mwanaume aliyefunga kilemba: ngozi nyeupe, ngozi nyeupe
👳🏼	kilemba, mwanamume, mwanaume aliyefunga kilemba, mwanaume aliyefunga kilemba: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👳🏽	kilemba, mwanamume, mwanaume aliyefunga kilemba, mwanaume aliyefunga kilemba: ngozi ya kahawia, ngozi ya kahawia
👳🏾	kilemba, mwanamume, mwanaume aliyefunga kilemba, mwanaume aliyefunga kilemba: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👳🏿	kilemba, mwanamume, mwanaume aliyefunga kilemba, mwanaume aliyefunga kilemba: ngozi nyeusi, ngozi nyeusi
👳‍♂	kilemba, mwanamume, mwanamume aliyefunga kilemba
👳🏻‍♂	kilemba, mwanamume, mwanamume aliyefunga kilemba, mwanamume aliyefunga kilemba: ngozi nyeupe, ngozi nyeupe
👳🏼‍♂	kilemba, mwanamume, mwanamume aliyefunga kilemba, mwanamume aliyefunga kilemba: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👳🏽‍♂	kilemba, mwanamume, mwanamume aliyefunga kilemba, mwanamume aliyefunga kilemba: ngozi ya kahawia, ngozi ya kahawia
👳🏾‍♂	kilemba, mwanamume, mwanamume aliyefunga kilemba, mwanamume aliyefunga kilemba: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👳🏿‍♂	kilemba, mwanamume, mwanamume aliyefunga kilemba, mwanamume aliyefunga kilemba: ngozi nyeusi, ngozi nyeusi
👳‍♀	kilemba, mwanamke, mwanamke aliyefunga kilemba
👳🏻‍♀	kilemba, mwanamke, mwanamke aliyefunga kilemba, mwanamke aliyefunga kilemba: ngozi nyeupe, ngozi nyeupe
👳🏼‍♀	kilemba, mwanamke, mwanamke aliyefunga kilemba, mwanamke aliyefunga kilemba: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👳🏽‍♀	kilemba, mwanamke, mwanamke aliyefunga kilemba, mwanamke aliyefunga kilemba: ngozi ya kahawia, ngozi ya kahawia
👳🏾‍♀	kilemba, mwanamke, mwanamke aliyefunga kilemba, mwanamke aliyefunga kilemba: ngozi nyeusi kiasi, ngozi nyeusi kiasi
